"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"2441",2441,0,1,277.807,305.1245420353,11216478,1,0,0
"2446",2446,0,1,221.846,548.434192890298,4765072.5,1,0,0
"2473",2473,0,1,291.853,273.090886397251,3490362.5,1,0,0
"2475",2475,0,1,251.294,356.279297459577,24398808,1,0,0
"2476",2476,0,1,302.953,356.279729222258,943031.5,1,0,0
"2487",2487,0,1,216.657,553.389216325254,4902342.5,1,0,0
"2488",2488,0,1,268.817,553.389997214656,1523987.375,1,0,0
"2494",2494,0,1,277.807,220.118122396,92376672,1,0,0
"2499",2499,0,1,231.015,806.568888179821,14250494,1,0,0
"2501",2501,0,1,270.811,806.569183454993,1709799.25,1,3091,0
"2503",2503,0,1,269.798,193.143550966764,4522177,1,0,0
"2509",2509,0,1,230.021,772.62009296052,6673001,1,0,0
"2519",2519,0,1,278.774,198.087482135474,37254636,1,1022,0
"2525",2525,0,1,272.792,569.36387451828,7226247.5,1,2679,0
"2529",2529,0,1,240.052,387.180053139292,7183235.5,1,0,0
"2534",2534,0,1,240.052,404.206548985467,30565062,1,0,0
"2535",2535,0,1,294.812,404.206650224648,2109967.25,1,0,0
"2537",2537,0,1,283.667,404.206723759953,2056766.75,1,0,0
"2539",2539,0,1,237.039,432.237822790113,64695464,1,0,0
"2540",2540,0,1,293.818,432.237985264403,3682473.75,1,0,0
"2542",2542,0,1,238.049,453.167213300358,2003086.375,1,0,0
"2556",2556,0,1,294.812,141.065902686239,1689991.125,1,493,0
"2562",2562,0,1,274.782,162.058424644418,58212544,1,0,0
"2564",2564,0,1,308.885,872.309129439035,1018191.5625,1,3176,0
"2568",2568,0,1,324.942,634.21055855175,1065555.375,1,2788,0
"2603",2603,0,1,277.807,192.159677171824,54984964,1,0,0
"2608",2608,0,1,305.909,261.088131936565,7845167,1,0,0
"2609",2609,0,1,305.909,277.061991841197,91881856,1,0,0
"2635",2635,0,1,317.898,953.402791642601,2230162.25,1,3246,0
"2680",2680,0,1,307.886,991.358767321676,1730189.75,1,3270,0
"2712",2712,0,1,356.849,273.091068960388,2152234.5,1,0,0
"2759",2759,0,1,344.941,162.058512659191,1996654,1,0,0
"2817",2817,0,1,418.606,741.53038682587,1528779.375,1,2965,0
"2831",2831,0,1,284.646,182.081332636866,2551930,1,0,0
"2835",2835,0,1,375.85,182.081359261636,1944574.125,1,0,0
"2837",2837,0,1,358.849,182.081510912623,2101192.75,1,0,0
"2849",2849,0,1,303.955,299.044106331778,1185003.125,1,1732,0
"2856",2856,0,1,419.608,559.039426949719,842980.6875,1,2654,0
"2869",2869,0,1,419.608,195.12284030708,1466626.625,1,0,0
"2874",2874,0,1,420.621,306.181256874392,924027.4375,1,1782,0
"2876",2876,0,1,419.608,703.574509265469,7491232,1,2876,0
"2917",2917,0,1,419.608,521.083748169857,7839962.5,1,2548,0
"2945",2945,0,1,424.607,536.19646007786,12485336,1,2599,0
"2947",2947,0,1,424.607,167.093075856146,8742326,1,0,0
"2949",2949,0,1,347.918,192.159687925041,23672872,1,0,0
"2950",2950,0,1,389.793,192.15957872191,10639706,1,972,0
"2951",2951,0,1,421.699,192.159683149371,6936095,1,0,0
"2952",2952,0,1,375.85,192.159624077221,11084408,1,0,0
"2953",2953,0,1,423.639,220.118320400396,22967512,1,0,0
"2954",2954,0,1,355.855,220.118076421788,863667.5625,1,0,0
"2955",2955,0,1,391.782,220.118031344699,1800576.125,1,1205,0
"2978",2978,0,1,381.9,83.0603886297537,13820579,1,0,0
"2987",2987,0,1,423.639,123.055481770845,72183136,1,325,0
"2988",2988,0,1,393.783,123.055315431311,8091679,1,0,0
"2993",2993,0,1,340.967,130.050071349993,1207678,1,0,0
"2996",2996,0,1,422.672,130.086465278607,32309230,1,0,0
"2998",2998,0,1,422.672,134.081333196598,117679688,1,0,0
"3000",3000,0,1,392.789,134.081204150177,15000716,1,0,0
"3002",3002,0,1,378.86,134.081253009946,9669711,1,432,0
"3006",3006,0,1,424.607,146.081447970036,6177066,1,0,0
"3012",3012,0,1,358.849,171.112965960623,2698276,1,0,0
"3013",3013,0,1,392.789,171.112868918903,1887926.375,1,763,0
"3014",3014,0,1,330.934,171.113165988566,2440826.5,1,0,0
"3018",3018,0,1,424.607,198.087715197868,37007580,1,0,0
"3023",3023,0,1,352.877,239.106054519295,340265856,1,0,0
"3025",3025,0,1,393.783,239.105893927761,106726144,1,0,0
"3027",3027,0,1,330.934,239.106304468031,685179392,1,0,0
"3028",3028,0,1,315.941,240.109540322144,73988984,1,0,0
"3033",3033,0,1,330.934,240.109668586366,57891136,1,0,0
"3039",3039,0,1,352.877,256.132481304122,2075368.75,1,0,0
"3045",3045,0,1,353.846,261.088036853453,4936651.5,1,0,0
"3046",3046,0,1,393.783,261.087856542581,2442512,1,1501,0
"3048",3048,0,1,378.86,261.087965653886,2664651.75,1,0,0
"3052",3052,0,1,342.916,277.061961038158,113729896,1,0,0
"3053",3053,0,1,379.838,277.061811634314,68395376,1,0,0
"3055",3055,0,1,416.629,277.061689072566,42804564,1,0,0
"3057",3057,0,1,305.909,284.163896235701,3613467,1,0,0
"3059",3059,0,1,332.938,284.164017943361,2915957.75,1,0,0
"3060",3060,0,1,346.919,284.163811891054,2493059.75,1,0,0
"3062",3062,0,1,400.739,284.163622525771,1373735.375,1,0,0
"3069",3069,0,1,424.607,305.124818115948,7302571.5,1,1775,0
"3072",3072,0,1,425.577,477.205336631712,156518320,1,0,0
"3074",3074,0,1,393.783,477.204691802127,9566394,1,0,0
"3075",3075,0,1,316.933,477.205109611068,120384936,1,0,0
"3082",3082,0,1,309.899,499.187273072594,3488139.5,1,2492,0
"3084",3084,0,1,328.942,515.161352315248,26832364,1,2523,0
"3091",3091,0,1,352.877,715.303578427911,2963634.5,1,0,0
"3092",3092,0,1,378.86,715.303621357959,897222.0625,1,0,0
"3097",3097,0,1,308.885,753.259966778177,10824967,1,2992,0
"3103",3103,0,1,427.531,193.108896684412,2504199.75,1,0,0
"3139",3139,0,1,425.577,141.066161507519,6263658,1,494,0
"3152",3152,0,1,446.617,873.309706779415,1016398.75,1,3182,0
"3160",3160,0,1,451.641,975.385240118004,1189923.375,1,3259,0
"3176",3176,0,1,458.701,853.331917189287,1880037.5,1,0,0
"3202",3202,0,1,451.641,326.378685546916,12217363,1,0,0
"3203",3203,0,1,433.523,326.378801601586,6958064.5,1,1885,0
"3219",3219,0,1,462.692,239.106236664821,1286333440,1,0,0
"3222",3222,0,1,463.703,240.109648727336,107802224,1,0,0
"3225",3225,0,1,464.736,241.110393139679,9551611,1,0,0
"3226",3226,0,1,462.692,242.105257206904,5172433,1,0,0
"3228",3228,0,1,463.703,256.13276182562,9681648,1,0,0
"3229",3229,0,1,468.785,277.062140519591,94246288,1,0,0
"3231",3231,0,1,463.703,477.205295241715,210391328,1,0,0
"3240",3240,0,1,461.698,715.304370643125,28765070,1,0,0
"3242",3242,0,1,443.6,715.304111441598,18965200,1,0,0
"3247",3247,0,1,459.687,732.331020087167,1454691.875,1,0,0
"3255",3255,0,1,465.739,991.359625770319,3623423.5,1,0,0
"3256",3256,0,1,432.514,991.360012140185,2912853.25,1,0,0
"3263",3263,0,1,466.768,872.310361525999,1372816.625,1,3177,0
"3265",3265,0,1,437.569,342.170048162767,1809327.25,1,1968,0
"3347",3347,0,1,475.77,284.163707648283,3074105.75,1,0,0
"3368",3368,0,1,482.747,218.138758039948,6660800.5,1,1193,0
"3444",3444,0,1,496.476,227.125012423985,31445966,1,0,0
"3449",3449,0,1,485.691,157.060851452228,7118005.5,1,634,0
