Topic 0,55.05463,72.08081,72.04454,60.04462,114.09157,130.08621,209.12927,213.15948,73.08427,358.8932,111.03844,111.97435,111.11681,111.04408,581.24011,111.03217,112.03688,110.07154,110.06016
Topic 1,117.07007,129.13849,100.02146,525.18262,112.02157,279.23224,53.00263,190.03278,112.11211,176.03761,130.03203,180.07466,173.07068,265.2529,56.96516,581.24011,111.03217,111.04408,111.03844
Topic 2,70.06522,116.07038,60.04462,85.06493,98.06016,85.08417,144.92751,144.10206,112.03688,87.09995,201.03096,110.07154,111.11681,111.04408,111.03844,111.03217,110.06016,132.10193,112.02157
Topic 3,102.05495,250.09412,380.87419,161.09238,296.95319,153.05209,135.08055,253.0155,153.0735,314.96326,99.02612,80.0577,67.05437,116.07038,110.07154,111.03217,112.0756,111.04408,111.11681
Topic 4,57.07027,275.17484,125.07123,126.05484,209.12798,302.18589,376.2598,292.2007,218.12855,83.0604,133.06055,68.04963,160.07539,165.05452,121.96643,111.03217,110.07154,581.24011,110.06016
Topic 5,56.04978,61.0109,74.02364,88.0216,88.03924,163.04247,160.04279,74.05999,210.0504,134.02736,134.08107,111.03217,111.11681,112.03688,112.02157,111.97435,111.04408,110.03489,110.06016
Topic 6,57.03389,254.24767,188.07016,350.34067,159.11249,152.03271,257.09528,146.05983,145.0522,282.27991,284.29495,200.20092,242.24841,100.02146,99.1,109.1012,98.06016,110.03489,110.06016
Topic 7,128.95362,62.98202,234.91806,61.9741,358.8932,340.88334,274.91071,262.22424,208.08345,224.97266,202.92152,335.02905,151.04785,98.07128,74.0965,446.84814,109.05081,109.06494,109.10096
Topic 8,136.06208,119.0355,97.02856,137.04588,94.03995,92.02414,232.08309,428.03557,82.04007,250.09253,125.05999,58.07357,348.0694,103.05431,348.07153,120.96624,398.88528,95.06056,234.9987
Topic 9,57.07027,67.05437,84.04433,117.05458,74.0965,121.02878,93.05727,199.17049,155.07907,95.04342,73.02847,144.99335,99.04398,211.10808,261.22037,122.08134,111.97435,111.11681,111.04408
Topic 10,53.039,103.05431,120.08082,51.02339,81.03355,121.08422,131.0492,173.09654,89.02212,173.1364,310.09515,175.15262,164.09331,106.08653,145.10117,121.05084,166.08614,122.02703,98.98411
Topic 11,85.0285,87.02636,111.11681,216.98711,166.08403,110.07154,111.04408,111.03844,111.03217,110.06016,112.02157,110.03489,109.1012,109.10096,109.06494,109.05081,111.97435,112.03688,107.06847
Topic 12,62.92924,83.04912,189.88126,187.88317,57.05759,111.04408,209.11789,59.04942,237.11222,60.05278,198.11235,85.06493,223.01253,340.88217,112.07333,58.06095,254.17448,111.03844,112.02157
Topic 13,71.04923,60.05589,115.03896,153.06807,173.08249,340.88217,176.94272,232.07727,147.07899,199.09837,125.07907,160.06094,146.07156,54.04221,158.07166,115.02133,111.97435,111.03217,111.03844
Topic 14,62.98202,128.95362,117.98743,159.99578,213.0224,231.03268,143.0192,214.00636,195.9963,111.97435,80.94772,147.117,340.0488,253.01399,132.00348,109.05081,111.03844,111.03217,109.10096
Topic 15,115.05408,252.92793,117.05745,142.0651,143.07269,285.05133,167.11606,144.04422,144.08102,170.05992,278.21106,109.05081,124.93737,146.05983,120.03207,256.9801,255.04147,313.04767,237.03076
Topic 16,177.03317,231.04386,85.03964,76.03923,185.03852,100.11215,83.04333,120.03831,149.02328,355.07443,231.04289,111.03844,68.04963,111.11681,111.03217,110.07154,111.97435,110.06016,110.03489
Topic 17,142.03227,105.06083,218.12855,129.06981,104.05782,125.07123,73.02847,128.0473,59.0733,131.08549,97.06493,110.07154,110.06016,110.03489,109.1012,111.03844,111.04408,111.11681,111.97435
Topic 18,53.039,80.04951,96.04435,78.03391,68.04963,81.06985,104.05279,85.07609,301.04056,174.01386,126.11063,133.03214,100.11215,110.06016,98.98411,110.07154,111.03217,111.03844,111.04408
