Topic 0,87.04402,255.15861,61.01043,51.0234,124.04932,134.04714,292.18571,288.16077,288.15845,124.03882,163.10673,144.08172,150.01866,137.05947,72.05491,251.0246,156.08096,230.08244,118.08466
Topic 1,84.08095,84.08029,84.08162,84.07979,130.0861,130.08681,70.06509,126.06809,225.12277,198.05971,275.1604,85.06464,346.12305,114.09159,115.05418,115.94831,115.03889,117.03887,117.03947
Topic 2,130.0657,130.06499,130.06429,111.04418,126.05501,130.0664,130.06359,155.02648,93.05722,148.0752,86.07043,125.07109,162.04191,292.18808,137.00463,176.06948,309.1868,148.07605,132.04433
Topic 3,86.05937,86.06012,86.06089,57.03372,146.08056,146.0814,86.07136,163.05913,174.05602,71.04926,157.01364,195.13984,84.06374,126.02313,163.06111,195.13725,316.11273,115.94831,117.03887
Topic 4,110.03482,139.00213,174.12142,198.02987,59.04841,185.08119,189.1115,87.0553,124.05194,151.06101,174.05058,174.04949,124.03947,151.06189,119.06813,180.0857,180.08684,59.04798,114.08928
Topic 5,81.0698,81.07033,95.08553,67.05435,123.11625,123.1169,71.06096,91.05424,87.04457,114.09102,151.11209,151.06366,171.0782,123.11757,171.07714,130.05093,114.06849,115.94831,115.05418
Topic 6,60.05587,110.03482,125.0349,288.15613,119.03422,72.08171,151.06013,114.05509,150.08052,166.06954,203.06919,166.0736,76.03871,119.03484,119.03545,239.11723,119.03607,125.03538,115.03889
Topic 7,65.03868,57.03417,131.01774,126.06473,117.03887,162.04093,161.02938,176.87659,126.06742,111.05405,65.16923,186.02089,251.02271,111.05517,111.05628,126.0542,139.0029,157.04916,88.11299
Topic 8,103.039,103.03814,103.04001,149.02586,149.02413,149.02498,177.05534,138.05492,138.05415,177.05423,61.08425,127.0865,155.10809,104.04219,171.07501,149.02153,149.02326,106.0311,120.01143
Topic 9,70.06509,70.06565,70.06458,112.07581,112.07504,142.08679,142.08599,103.05023,163.06012,185.08,112.07628,55.01816,97.53559,114.09217,117.03887,115.94831,115.05418,117.03947,115.03889
Topic 10,90.05476,90.05558,90.05393,55.05455,147.04668,203.11035,209.08047,209.0819,166.04829,202.10784,118.08774,125.09505,169.00451,90.05637,82.02883,170.07884,91.05841,91.05758,114.05509
Topic 11,92.04941,94.06605,193.12341,150.07442,156.07643,156.07735,126.02044,182.06367,94.06416,114.06849,137.09606,111.00773,151.0751,74.02354,117.10129,58.06456,181.07081,195.13854,120.06573
Topic 12,105.03374,132.076,149.06058,138.05569,68.99658,199.09694,77.07838,77.07902,196.06089,187.13407,281.09951,84.08029,118.08466,110.07263,162.03995,109.101,108.04467,174.05384,61.02861
Topic 13,100.07554,100.07626,83.04914,191.04397,101.05976,191.04522,123.08033,125.03403,98.06076,216.03342,188.07099,128.07046,117.10189,124.05128,191.04641,169.00556,93.06988,83.04986,83.04843
Topic 14,125.01528,53.03894,141.01011,125.01612,125.01462,113.01551,113.01489,136.02073,152.0262,136.02168,125.06976,125.01411,256.03457,138.03798,125.01345,182.06367,124.04997,356.05215,81.03271
