Topic 0,81.03346,53.03903,109.02857,51.02341,141.05457,76.03925,150.09181,79.01791,176.07097,145.06052,50.01553,129.01827,128.07063,129.05433,128.9536,128.10706,129.0659,129.06974,128.08163
Topic 1,96.08091,70.0652,142.0862,195.07677,94.05246,124.07557,229.15404,225.08641,66.03403,116.04711,142.086,140.03441,237.08635,89.10735,71.06052,94.02866,148.06076,92.07816,179.0817
Topic 2,67.05436,81.06984,95.08559,91.0543,195.13744,213.14902,113.05986,127.07572,135.05006,117.03944,215.0163,119.01881,184.04568,161.02939,145.03464,100.02429,128.10706,689.20856,128.9536
Topic 3,72.08076,118.08645,216.1227,244.11707,112.03946,98.09658,183.11266,262.12796,87.03159,128.10706,305.08353,145.0762,196.09641,122.0319,144.98749,202.06888,128.0473,128.07063,128.9536
Topic 4,119.03544,136.06204,94.03996,137.04584,150.07711,92.02451,192.06518,109.05071,164.07085,89.03878,145.02813,117.03344,123.06639,67.02932,82.04006,61.01086,157.05006,75.02651,177.05436
Topic 5,89.0598,59.04941,133.08593,103.07555,87.04404,147.10164,177.11236,91.0543,117.05448,177.1102,120.07638,279.15976,191.12781,130.05021,129.99619,128.10706,130.06501,129.06974,129.0659
Topic 6,80.04957,122.05998,109.05234,134.06011,108.04447,136.07565,53.03903,94.06525,152.07075,112.03946,108.08077,106.06524,126.0547,124.07557,150.09106,81.0573,178.08661,93.0573,124.03954
Topic 7,85.02846,97.02857,69.03368,127.03902,145.04962,61.02871,163.06026,325.11368,91.03902,129.05433,128.10706,128.9536,129.01827,689.20856,129.0659,129.06974,129.99619,128.08163,128.04936
Topic 8,86.09636,132.10199,88.03923,97.02857,258.13281,230.13929,276.14491,87.03159,112.03946,202.07144,182.08405,60.04461,76.03925,212.20056,127.11179,128.9536,129.05433,129.0659,128.10706
Topic 9,68.04959,72.04449,114.09148,90.05512,114.05508,62.92921,121.96603,206.08367,205.07581,219.09125,140.04956,247.08688,167.0607,185.07079,207.09182,164.07085,90.0912,107.95033,143.08939
Topic 10,87.04404,69.03368,86.05994,97.02857,248.11227,230.1029,153.05466,60.05585,182.08178,195.06514,177.05436,194.08168,88.04739,123.0441,410.16591,111.05531,69.05739,104.0708,128.08163
Topic 11,98.98405,73.06476,136.06204,146.05312,180.06288,86.03165,127.0152,74.06813,156.11349,155.08161,137.06494,113.10725,243.09807,83.06055,229.11774,139.08702,183.07634,173.02083,129.0659
Topic 12,71.0492,99.04423,119.08546,319.15345,107.08539,301.14435,146.09659,175.09973,111.11675,217.08591,104.99226,175.07565,124.9998,100.95879,91.0543,112.08682,128.04936,128.0473,689.20856
Topic 13,91.0543,130.06501,144.08098,146.05981,118.06515,143.07312,144.10237,117.05751,115.05407,172.07579,162.05481,200.07032,147.06789,119.07301,189.88109,133.05238,117.07009,192.06518,128.04936
Topic 14,84.08084,70.0652,112.07556,130.08615,128.07063,140.07061,242.10179,100.07561,214.10712,273.1443,260.1127,225.12306,144.13846,232.117,211.10524,214.12317,170.11784,127.1234,291.15427
Topic 15,120.08072,103.05425,166.08595,91.0543,292.1179,132.08104,264.1235,310.12868,217.13419,219.06549,277.14661,142.03223,245.12769,259.13678,231.14255,288.1225,180.10221,173.06,147.11293
Topic 16,68.99725,129.01827,175.07565,139.00287,111.00791,179.03385,179.07025,367.18921,129.06974,329.1346,157.01279,157.04919,83.01279,229.11774,215.10631,101.0233,385.19785,203.07101,247.1292
Topic 17,102.05492,97.02857,144.06554,216.08642,144.99323,275.11005,234.097,246.09717,188.09208,112.07322,162.07637,112.03946,264.10764,186.07647,156.06544,120.06577,169.134,204.09883,357.15207
Topic 18,96.04434,95.06052,68.04959,164.08221,82.05253,192.10168,78.03387,113.0708,164.10712,238.11787,148.04807,83.06055,150.09106,238.07092,106.02892,159.07629,105.03671,134.08095,141.0658
Topic 19,57.07026,259.13272,343.19032,91.0543,235.13328,361.20023,179.1179,174.03879,71.06052,88.08703,158.1291,172.10809,581.24042,304.16544,207.11296,347.18652,245.1167,147.117,525.18207
Topic 20,110.06005,82.0651,94.06525,126.09159,60.05585,130.09733,128.10706,110.09665,172.09734,95.06834,111.06329,180.08812,123.09165,93.0573,93.05285,97.04777,200.12817,66.04218,94.06047
Topic 21,69.06995,91.0543,57.07026,261.14842,289.14337,221.08084,345.20695,239.09131,293.13878,277.14413,327.19487,287.12776,278.14699,311.14905,205.08688,305.13882,381.24161,203.06967,109.10154
Topic 22,91.0543,131.08543,103.05425,158.09225,105.06995,176.10728,162.06649,201.12812,112.08682,119.07301,129.06974,118.06515,222.0867,158.09691,207.06509,204.07674,244.13329,217.0493,134.07141
Topic 23,79.05429,91.0543,105.06995,69.06995,313.17879,397.23628,128.06234,202.0975,332.1225,329.17442,133.06345,202.10704,148.05061,371.18301,383.1828,158.07158,265.108,184.09666,353.17267
Topic 24,98.0602,70.0652,125.07113,154.0736,153.066,114.1025,209.12913,60.05585,263.07025,196.09514,143.0314,181.13333,213.08723,236.12492,348.17972,154.08362,298.12625,201.06065,280.11536
Topic 25,115.05407,132.08104,118.06515,117.05751,132.0444,142.06518,160.07584,160.07532,94.06525,195.09224,285.12405,188.07008,203.11794,257.12857,206.08367,122.02358,177.10233,94.02866,226.0164
Topic 26,65.03882,121.02859,149.02336,179.03385,121.03996,93.03342,197.04516,91.0543,299.09053,71.08561,180.03754,235.09564,114.06612,300.09583,92.99721,151.03904,155.03397,211.09653,251.09142
Topic 27,57.07026,85.06491,91.0543,359.18409,152.07075,185.08141,127.11179,102.09161,495.26337,223.13261,551.3313,327.07715,186.05843,148.09676,127.07507,263.16351,126.0547,104.01646,439.20297
Topic 28,110.03485,55.02945,134.03245,135.02995,128.04524,82.04006,153.04036,109.05071,176.99294,155.03121,166.07274,266.07465,67.02932,152.05653,167.05656,80.02441,112.03946,107.03532,149.04581
Topic 29,57.03386,73.02851,115.03886,69.03368,133.04952,93.05468,61.02871,164.09322,113.03457,70.02875,96.00812,123.06639,121.05077,198.08685,152.03256,122.05862,162.07729,89.07905,71.0685
Topic 30,110.07148,83.06038,93.04486,138.05499,82.05253,156.07645,83.06055,168.06564,150.05529,81.04483,182.09683,228.10152,165.06952,162.10272,180.08128,167.07295,210.09209,178.13406,166.06161
Topic 31,91.0543,167.034,57.07026,275.1271,205.08554,149.02336,163.07509,289.14337,115.05407,209.08051,181.08591,359.18409,191.07047,117.07009,363.18433,345.17059,265.14426,278.05667,271.13271
Topic 32,84.04436,130.05021,142.04986,173.09209,238.07092,248.10115,85.04779,165.05447,235.05988,225.07512,179.07025,183.06563,151.03904,253.07091,137.07094,174.07584,95.01307,317.08377,241.1387
Topic 33,56.0498,83.06038,81.04483,54.03418,109.03987,110.02381,126.06611,101.07099,240.09761,111.05531,99.05544,127.04987,82.02875,109.04785,108.05568,110.04295,97.07617,113.02115,168.063
Topic 34,53.00259,55.01823,57.07026,89.00567,115.02123,331.19128,73.02851,129.0659,143.01655,105.00045,161.0265,147.07639,263.12683,275.1271,143.01581,119.08958,225.07642,281.13828,119.08322
Topic 35,95.04914,142.12288,160.034,206.08367,205.07581,263.08038,281.09161,85.04779,85.04156,180.08006,314.18265,137.07919,57.05326,276.13174,83.06038,137.05971,172.00642,258.1207,262.15207
Topic 36,82.0651,67.04184,92.04964,65.03882,80.04957,143.08154,175.1194,113.05414,166.04957,148.0394,113.04813,186.07647,96.02733,129.0659,160.9666,146.09239,128.08163,171.07616,134.04489
Topic 37,70.0652,116.07078,84.04436,181.09748,209.09197,227.10325,153.10225,213.12399,101.07099,337.15033,317.11346,213.1227,221.09171,133.07578,129.05433,128.9536,128.10706,128.08163,134.07141
Topic 38,55.05464,104.04971,109.06481,173.11697,139.07529,58.04163,130.05021,129.99619,129.06974,129.0659,129.05433,129.01827,128.9536,128.10706,128.08163,128.07063,128.06234,128.04936,126.09159
Topic 39,86.05994,83.04907,128.07063,111.04401,74.06018,158.08102,97.02857,188.09208,59.06876,60.07657,206.10191,62.06021,129.05433,59.06251,60.07038,59.07177,200.0854,248.10115,368.15567
Topic 40,104.10705,86.09636,71.07303,60.08101,121.07602,221.01836,124.9998,107.06061,60.04461,131.06044,124.99947,184.07278,280.09073,258.11087,258.10931,149.07085,167.08119,119.06071,111.05531
Topic 41,117.05448,73.02851,131.07039,59.04941,73.06476,103.03889,87.04404,89.0598,145.08603,141.10234,164.92978,85.03968,169.09752,170.08092,99.09155,74.02361,113.03457,114.04266,88.99729
Topic 42,134.09648,162.09129,198.11213,82.0651,180.10221,85.08426,123.0441,112.08682,198.0658,136.05072,154.08638,126.09159,170.07138,378.17447,195.00329,131.0896,157.06322,117.09116,61.08438
Topic 43,112.05069,69.04484,95.02403,94.03996,67.02932,68.01323,52.0186,244.09335,266.07465,182.02681,210.02119,228.09833,192.06261,208.04015,127.03219,128.10706,126.09159,129.05433,128.9536
Topic 44,93.07,121.06464,91.0543,53.03903,103.05425,166.12263,105.03368,296.14893,61.01086,282.13382,176.09184,60.04461,138.1281,183.1492,182.10049,78.03717,103.02102,184.97987,162.07637
Topic 45,91.0543,119.04909,147.04424,100.07561,136.07565,107.04911,88.07571,127.09815,255.1244,160.07532,190.10733,130.06501,182.08178,146.08157,326.12259,123.0441,165.05447,273.13406,308.11307
