"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","fragment_bin_id","loss_bin_id"
"13902",13902,13887,2,531.601,119.089393615723,0.904381111664133,1,0,0,"119.08943",NA
"13923",13923,13908,2,531.601,119.089393615723,0.904381111664133,1,0,0,"119.08943","117.07869"
"5353",5353,5337,2,725.191,121.064788818359,1,1,0,0,"121.0649","45.05781"
"32162",32162,32144,2,675.981,85.0282363891602,1,1,0,0,"85.02832",NA
"16943",16943,16933,2,473.471,84.044189453125,1,1,0,0,"84.0442","174.0637"
"7943",7943,7928,2,858.993,84.0806655883789,1,1,0,0,"84.08071","105.0787"
"18281",18281,18263,2,635.641,70.0651473999023,0.197973528743277,1,0,0,"70.06514","196.05773"
"13202",13202,13198,2,577.913,70.0650787353516,1,1,0,0,"70.06514","161.0686"
"1192",1192,1177,2,420.709,126.055648803711,0.320456747394278,1,0,0,"126.05563",NA
"17269",17269,17246,2,605.529,105.110076904297,1,1,0,0,"105.10998","154.00294"
"4454",4454,4442,2,511.439,111.055229187012,1,1,0,0,"111.0554","46.00533"
"2553",2553,2538,2,546.501,92.0494918823242,0.0842917049933117,1,0,0,"92.04948","46.00533"
"16986",16986,16969,2,605.529,184.074371337891,0.0760832758052616,1,0,0,"184.0744","74.0363"
"18280",18280,18263,2,635.641,69.0336532592773,0.173916473994186,1,0,0,"69.03367","197.08987"
"16911",16911,16893,2,610.472,184.074478149414,0.0675367039011703,1,0,0,"184.0744",NA
"13206",13206,13198,2,577.913,116.071136474609,0.841789243936591,1,0,0,"116.07116","115.06297"
"755",755,750,2,577.913,70.0651245117188,0.291005258278343,1,0,0,"70.06514",NA
"768",768,763,2,577.913,70.0651245117188,0.291005258278343,1,0,0,"70.06514","47.0088"
"1615",1615,1600,2,630.639,129.065719604492,0.148746169559059,1,0,0,"129.06583",NA
"27050",27050,27021,2,662.136,145.049835205078,0.508836055952418,1,0,0,"145.04994",NA
"168",168,156,2,388.206,96.0441360473633,1,1,0,0,"96.04415",NA
"182",182,170,2,401.145,96.0441360473633,1,1,0,0,"96.04415",NA
"32175",32175,32144,2,675.981,145.049896240234,0.708672216600385,1,0,0,"145.04994",NA
"18291",18291,18263,2,635.641,86.0601272583008,0.150284464864847,1,0,0,"86.06015","180.06319"
"2661",2661,2623,2,546.501,139.05842590332,1,1,0,0,"139.05843",NA
"31583",31583,31560,2,678.465,85.0282516479492,1,1,0,0,"85.02832",NA
"31633",31633,31610,2,662.136,85.0282516479492,1,1,0,0,"85.02832",NA
"4775",4775,4761,2,467.264,160.132369995117,1,1,0,0,"160.13255",NA
"12282",12282,12270,2,415.749,84.0441513061523,0.399044511887236,1,0,0,"84.0442","142.07406"
"4106",4106,4084,2,256.009,121.064834594727,1,1,0,0,"121.0649","31.04217"
"235",235,233,2,932.018,59.0733604431152,0.0275192347122281,1,0,0,"59.07332",NA
"3454",3454,3442,2,774.137,87.0438613891602,1,1,0,0,"87.04392","59.07355"
"2557",2557,2538,2,546.501,96.0441055297852,0.0654235939129802,1,0,0,"96.04415","42.01066"
"1603",1603,1600,2,630.639,56.0497627258301,0.126877092617977,1,0,0,"56.04977","73.01615"
"21196",21196,21183,2,609.237,221.01904296875,1,1,0,0,"221.019","59.07253"
"18296",18296,18263,2,635.641,97.0283279418945,0.133741729764929,1,0,0,"97.02837","169.09506"
"2891",2891,2880,2,369.902,70.0650482177734,1,1,0,0,"70.06514","74.03698"
"2925",2925,2914,2,358.329,70.0650482177734,1,1,0,0,"70.06514","74.03698"
"406",406,384,2,491.109,110.05973815918,1,1,0,0,"110.05979",NA
"1759",1759,1746,2,566.547,130.085723876953,0.176683728959377,1,0,0,"130.0858",NA
"17145",17145,17134,2,480.921,84.0441055297852,1,1,0,0,"84.0442",NA
