Topic 0,87.00869,87.00798,87.00965,98.06141,115.00377,175.02573,175.02463,190.01791,190.01915,86.02391,86.02462,130.06675,128.05067,130.06464,130.06746,130.06535,718.74914,130.06605,78.95725
Topic 1,71.04964,113.02443,95.05007,71.04918,115.07644,115.07721,95.05066,165.09227,71.05022,113.06159,113.06102,165.09328,165.09126,113.06216,113.02508,115.07602,97.06574,113.06045,113.06273
Topic 2,58.02914,58.02873,82.02948,126.09254,126.09187,126.09321,126.09388,155.04667,155.04576,111.08189,58.02956,154.01497,99.04507,99.04423,86.02462,154.01588,154.01406,99.0461,78.95725
Topic 3,119.05026,119.05113,119.0494,163.04039,163.0394,119.05173,95.93439,95.93532,95.93332,163.0413,119.04917,130.06535,115.04028,78.95725,128.04998,128.05067,130.06464,130.06746,130.06605
Topic 4,57.97494,57.97538,57.97449,110.02546,153.03138,153.03227,110.02442,153.03048,153.03317,153.02958,58.97838,131.01151,70.31701,63.32778,56.91833,84.984,90.46229,116.88718,117.01072
Topic 5,138.00202,138.00125,138.00279,181.02018,181.02133,181.01902,138.00049,181.02251,138.00356,130.06605,128.04998,85.06549,115.03957,115.04028,155.04667,78.95725,130.06464,128.05067,130.06675
Topic 6,111.00873,111.00987,111.00765,137.02476,137.024,137.02553,137.02325,137.0263,137.02249,137.02706,137.02173,168.06589,168.06485,110.03616,110.03506,97.0405,168.06692,155.04667,155.04576
Topic 7,101.02442,136.94032,136.93956,136.94108,151.92701,151.92789,136.9388,151.92612,136.94183,151.9288,101.02386,101.02514,115.04028,718.74914,78.95725,115.03957,128.05067,130.06464,130.06746
Topic 8,145.06227,145.06128,145.06322,127.05068,127.05168,145.06053,145.06388,149.04553,718.74914,128.05067,78.95725,128.04998,130.06464,130.06746,130.06535,130.06675,130.06605,111.08189,58.02956
Topic 9,149.09716,149.0963,149.09802,149.09889,149.09543,272.1303,272.12817,159.04526,159.04621,272.13243,159.04431,272.12604,159.04716,113.02443,149.09975,130.06675,130.06535,130.06746,718.74914
Topic 10,111.02014,111.01886,111.02136,81.95261,81.95191,81.95349,81.9612,111.01801,135.0296,111.02193,115.03957,115.04028,78.95725,128.04998,128.05067,111.08189,130.06605,58.02956,85.06549
Topic 11,127.05168,127.05068,127.05254,72.04481,72.04539,72.04423,84.04525,127.05297,84.04598,130.06675,85.06549,58.02956,111.08189,132.06678,130.06605,115.03898,115.04074,115.03957,130.06535
Topic 12,85.02909,85.02986,85.02828,57.03383,85.03058,154.06294,154.06204,112.04087,112.0403,93.04574,154.06385,112.04143,130.06464,128.04998,128.05067,718.74914,130.06746,130.06535,130.06675
