Id,Label
100,doc_338.34169_233.227
101,doc_126.06624_479.488
102,doc_319.19042_208.697
103,topic_28
104,topic_29
105,doc_119.08965_568.665
106,topic_27
107,topic_24
108,doc_146.11756_325.502
109,topic_22
110,doc_255.09736_1076.09
111,topic_20
112,topic_21
113,doc_219.13393_670.77
114,doc_244.07899_547.98
115,doc_492.19261_650.793
116,doc_85.02839_669.781
117,topic_85
118,doc_404.20673_241.536
119,doc_180.08794_443.301
120,doc_134.08116_404.875
121,topic_6
122,doc_393.13652_515.409
123,doc_439.1283_208.697
124,topic_240
125,topic_93
126,doc_260.14913_972.508
127,doc_116.07048_578.163
128,topic_4
129,doc_218.12476_691.613
130,doc_158.12879_187.957
131,doc_366.22731_210.369
132,doc_311.1368_254.771
133,doc_294.1546_380.61
134,topic_99
135,doc_180.0866_603.508
136,doc_180.08662_465.402
137,doc_344.13393_534.05
138,doc_337.17174_694.864
139,doc_363.18438_791.985
140,doc_312.11119_482.456
141,doc_226.1549_883.854
142,doc_440.17634_568.665
143,doc_221.09196_513.775
144,doc_309.16547_796.424
145,doc_144.06557_437.038
146,doc_173.1285_374.23
147,doc_236.09166_349.996
148,doc_176.09176_474.762
149,doc_190.10733_387.071
150,doc_146.08117_590.713
151,doc_287.13889_411.438
152,doc_538.28041_241.536
153,doc_498.26006_619.436
154,doc_239.15012_556.072
155,doc_145.04956_393.576
156,topic_158
157,doc_173.12851_333.702
158,doc_277.11822_290.983
159,doc_261.09027_299.24
160,doc_318.12953_570.233
161,topic_152
162,topic_151
163,doc_220.11798_374.23
164,topic_157
165,doc_590.22941_658.95
166,topic_105
167,topic_154
168,doc_324.12893_705.821
169,doc_307.17645_565.722
170,doc_273.21704_246.483
171,doc_296.09899_567.28
172,doc_514.31665_205.41
173,doc_668.2608_662.16
174,doc_294.15451_471.593
175,doc_452.21375_419.222
176,doc_260.11281_422.465
177,doc_339.25308_216.95
178,doc_344.22788_284.365
179,doc_211.03671_390.305
180,doc_264.07443_417.639
181,doc_369.20378_248.128
182,doc_387.18013_241.536
183,doc_210.17_277.93
184,doc_257.04205_241.536
185,doc_176.12221_999.442
186,topic_118
187,doc_237.09024_674.743
188,doc_226.12844_465.402
189,doc_240.12286_437.038
190,doc_211.14411_323.903
191,doc_647.45872_220.295
192,doc_399.14458_660.522
193,topic_114
194,doc_117.09101_277.93
195,doc_337.17161_710.377
196,doc_246.11238_264.755
197,doc_428.17624_650.793
198,doc_417.1674_226.502
199,doc_152.10694_183.681
200,topic_112
201,topic_44
202,doc_218.13866_633.586
203,doc_316.16158_513.775
204,doc_433.25846_238.237
205,doc_254.10221_294.27
206,doc_244.14033_1107.85
207,doc_260.15478_754.395
208,doc_194.08106_471.593
209,doc_146.09237_644.357
210,doc_149.02337_239.89
211,doc_152.07066_412.921
212,doc_264.10764_552.842
213,doc_175.14411_842.825
214,doc_168.06552_670.77
215,doc_189.12336_564.091
216,doc_293.13821_205.41
217,doc_294.16413_733.37
218,doc_489.22746_228.159
219,doc_475.23279_212.026
220,doc_176.96148_649.151
221,doc_240.12294_302.542
222,doc_414.19714_416.08
223,doc_258.15598_1076.09
224,doc_210.11246_295.922
225,doc_465.10293_513.775
226,doc_253.14331_234.884
227,topic_110
228,topic_13
229,doc_300.08445_390.305
230,doc_184.07328_729.738
231,doc_131.12912_825.457
232,doc_212.09509_739.434
233,topic_165
234,doc_123.05532_414.504
235,doc_228.12308_263.096
236,doc_180.08663_565.722
237,topic_162
238,doc_666.5125_223.606
239,doc_367.15_504.302
240,doc_180.10187_273.033
241,doc_180.13824_1037.05
242,doc_584.35683_271.396
243,doc_522.20296_662.16
244,doc_244.1765_927.424
245,doc_198.0972_627.372
246,doc_436.14511_564.091
247,doc_180.13825_1189.26
248,doc_218.08116_325.502
249,doc_365.19167_313.268
250,doc_374.79834_645.99
251,doc_299.16084_955.415
252,topic_236
253,doc_253.12801_468.549
254,doc_208.05985_444.82
255,doc_198.09723_696.858
256,doc_241.14337_248.128
257,doc_252.10771_619.436
258,doc_199.16928_229.964
259,doc_414.19704_310.69
260,doc_321.05963_438.661
261,doc_251.16003_636.638
262,doc_319.15411_231.552
263,doc_233.14949_674.743
264,doc_120.06555_633.586
265,doc_449.2355_205.41
266,topic_237
267,doc_471.21859_779.232
268,topic_68
269,topic_168
270,doc_262.12836_501.043
271,doc_402.15072_560.934
272,topic_167
273,doc_134.08115_383.864
274,doc_338.1444_468.549
275,topic_147
276,doc_425.13602_241.536
277,doc_180.13824_1076.09
278,doc_218.10224_518.554
279,topic_172
280,doc_340.17556_254.771
281,doc_457.22196_208.697
282,topic_234
283,doc_180.13824_1144.76
284,doc_235.11892_416.08
285,doc_116.07059_876.985
286,doc_156.0768_752.158
287,doc_239.1486_292.609
288,topic_35
289,doc_121.06478_196.185
290,doc_291.16314_505.911
291,doc_471.22375_289.342
292,doc_229.15463_297.637
293,topic_197
294,doc_308.17038_286.004
295,topic_17
296,doc_131.12912_1037.05
297,topic_193
298,topic_37
299,topic_191
300,doc_148.0604_598.691
301,topic_214
302,topic_215
303,topic_216
304,doc_309.16551_711.245
305,doc_361.12404_493.109
306,doc_104.10696_1012.39
307,doc_627.18648_587.564
308,doc_366.19963_224.227
309,topic_39
310,doc_277.21609_246.483
311,topic_69
312,doc_117.05465_414.504
313,doc_235.16508_532.509
314,topic_62
315,topic_63
316,topic_60
317,doc_163.06003_551.208
318,topic_66
319,doc_254.16096_1189.26
320,doc_230.10228_469.996
321,topic_65
322,doc_136.11211_186.676
323,doc_264.08993_274.685
324,doc_342.13956_665.33
325,doc_175.11897_1050.21
326,topic_232
327,doc_342.13946_633.586
328,doc_270.11809_526.543
329,doc_170.08113_435.357
330,doc_265.14325_207.039
331,doc_236.09164_380.61
