0, "Fragment ion related to 3-hydroxy-carboxilic acid substructure" 
147, "2-oxo-butyric acid (2-oxo-butyrate) fragment"
86, "Loss of carboxilic acid group - suggests free CO2 group"
287, "Fragment related to small organic acid" 
116, "Fragment of phosphonate - indicates phosphate substructure"
233, "Fragment consisting of aldehyde and hydroxyl group - common structural motif in sugar fragmentation"
54, "Fragment  of sulphate anion, fragmented from aliphatic chain"
137, "Loss of [hexose-H2O] - indication of hexose conjugation"
257, "Loss of water molecule (H2O) - indication of free hydroxyl group"
5, "Combined loss of CO2 and H20, possibly suggests two carboxylic acid groups in the fragmented metabolite"
163, "Fragment related to pyruvic acid (pyruvate) or oxaloacetate"
111, "Loss related to lactic acid (lactate)"
63, "Loss possibly indicative of fumaric acid (fumarate)"
72, "Bicarbonate fragment -possibly related to small oxygen rich organic acids"
195, "Fragment ion indicative for carboxylic acid group with a 3-carbon alkyl chain attached"
286, "Fragment and loss related to proline substructure - EF fits"
6, "Fragment of sulphate ion, fragmented from aromatic structure"
167, "Fragments indicating lactic acid (lactate) substructure"
178, "Fragment ion indicating alanine substructure"
139, "Fragments related to nicotinic acid (nicotinate) substructure"
152, "Fragment related to 2-hydroxycarboxilic acid related substructure"
297, "Fragment related to 2-hydroxyethanoic acid substructure"
255, "Loss possibly indicating hydrated hexose loss"
217, "Loss of C=O"
42, "Fragments suggesting hexose substructure"
271, "Glycine related fragment"
284, "Fragment indicative for ethylcarboxylate substructure"
128, "Fragment indicative of leucine substructure"
298, "Loss of two CO2 molecules – indicative for two free carboxylic acid groups"
254, "Loss indicating [pentose (C5-sugar)-H2O] loss"
119, "Fragments possibly related to threose substructure"
76, "Fragment indicative of glutamine substructure"
1, "Fragments related to polysaccharides - this mass2motif contains doubly charged species"
69, "Fragments related to polysaccharides - this mass2motif contains singly charged species"
1, "Fragments related to polysaccharides - this mass2motif contains doubly charged species"
226, "Fragments indicative for guanine (C5H4N5O) substructure"
25, "Fragments indicative for caffeoylquinic acid like metabolites"
9, "Fragments indicative for citric acid (citrate) substructure"
58, "Loss of acetyl group  - indicative for the conjugation of acetic acid"
3, "Fragments indicative to phenylalanine substructure"
34, "Fragment possibly suggests hydroxyphenylethylene substructure"
7, "Fragments indicative for sulphate group substructure"
