Source,Target,Weight,Type
461,640,0.399,Directed
461,385,0.132,Directed
461,901,0.129,Directed
717,669,0.879,Directed
1022,164,0.649,Directed
246,457,0.584,Directed
246,983,0.074,Directed
361,524,0.078,Directed
361,164,0.061,Directed
361,233,0.092,Directed
361,942,0.377,Directed
361,557,0.184,Directed
361,464,0.158,Directed
1025,438,0.220,Directed
1025,399,0.220,Directed
1025,524,0.224,Directed
1025,1094,0.224,Directed
123,673,0.630,Directed
43,164,0.421,Directed
43,301,0.390,Directed
142,426,0.212,Directed
142,983,0.113,Directed
142,164,0.117,Directed
142,272,0.107,Directed
142,927,0.093,Directed
142,1094,0.099,Directed
142,786,0.103,Directed
142,778,0.107,Directed
888,742,0.060,Directed
888,952,0.846,Directed
888,1094,0.061,Directed
500,201,0.057,Directed
500,932,0.097,Directed
500,778,0.591,Directed
732,1041,0.103,Directed
732,1039,0.083,Directed
732,268,0.436,Directed
732,937,0.124,Directed
732,557,0.053,Directed
732,487,0.101,Directed
265,748,0.058,Directed
265,1039,0.051,Directed
265,937,0.071,Directed
265,547,0.063,Directed
265,669,0.530,Directed
265,3,0.104,Directed
265,608,0.061,Directed
175,664,0.576,Directed
175,932,0.071,Directed
175,443,0.078,Directed
175,233,0.090,Directed
175,464,0.147,Directed
688,664,0.344,Directed
688,932,0.119,Directed
688,164,0.079,Directed
688,233,0.146,Directed
688,942,0.250,Directed
844,1039,0.432,Directed
844,193,0.244,Directed
844,164,0.218,Directed
354,860,0.429,Directed
354,983,0.052,Directed
354,1094,0.093,Directed
83,413,0.069,Directed
83,691,0.074,Directed
83,385,0.069,Directed
83,164,0.074,Directed
83,927,0.069,Directed
83,1094,0.140,Directed
83,1070,0.440,Directed
532,426,0.391,Directed
532,940,0.140,Directed
532,164,0.145,Directed
532,786,0.137,Directed
532,778,0.120,Directed
281,1039,0.394,Directed
281,227,0.394,Directed
225,635,0.662,Directed
225,1094,0.058,Directed
766,633,0.100,Directed
766,193,0.190,Directed
766,526,0.104,Directed
766,164,0.100,Directed
766,613,0.077,Directed
766,811,0.324,Directed
766,973,0.059,Directed
513,201,0.270,Directed
513,587,0.082,Directed
513,942,0.138,Directed
513,557,0.097,Directed
267,932,0.121,Directed
267,70,0.338,Directed
267,983,0.148,Directed
267,1094,0.145,Directed
267,786,0.175,Directed
849,70,0.179,Directed
849,886,0.175,Directed
849,927,0.175,Directed
849,786,0.373,Directed
534,70,0.208,Directed
534,1094,0.076,Directed
534,93,0.312,Directed
291,748,0.137,Directed
291,932,0.059,Directed
291,233,0.069,Directed
291,942,0.628,Directed
291,557,0.070,Directed
219,1039,0.383,Directed
219,557,0.392,Directed
1000,779,0.296,Directed
1000,164,0.256,Directed
1000,942,0.307,Directed
746,635,0.697,Directed
746,547,0.052,Directed
746,901,0.050,Directed
746,927,0.054,Directed
746,1094,0.088,Directed
540,1007,0.383,Directed
540,634,0.095,Directed
540,547,0.084,Directed
540,477,0.110,Directed
540,164,0.090,Directed
540,927,0.101,Directed
540,490,0.092,Directed
718,395,0.574,Directed
718,932,0.088,Directed
718,164,0.097,Directed
718,233,0.099,Directed
718,490,0.097,Directed
1030,1051,0.135,Directed
1030,321,0.098,Directed
1030,125,0.122,Directed
1030,547,0.095,Directed
1030,901,0.098,Directed
1030,164,0.100,Directed
1030,927,0.100,Directed
1030,1094,0.203,Directed
439,749,0.839,Directed
60,917,0.268,Directed
60,164,0.124,Directed
60,156,0.546,Directed
218,740,0.154,Directed
218,748,0.148,Directed
218,937,0.448,Directed
218,547,0.144,Directed
1100,862,0.654,Directed
606,748,0.088,Directed
606,316,0.417,Directed
606,983,0.080,Directed
606,1094,0.060,Directed
424,748,0.099,Directed
424,316,0.388,Directed
424,937,0.089,Directed
424,983,0.100,Directed
424,1094,0.089,Directed
115,749,0.260,Directed
115,385,0.059,Directed
115,125,0.058,Directed
115,901,0.149,Directed
115,164,0.052,Directed
115,619,0.068,Directed
115,3,0.080,Directed
115,608,0.051,Directed
115,1094,0.079,Directed
153,295,0.304,Directed
153,657,0.494,Directed
644,637,0.251,Directed
644,524,0.078,Directed
644,164,0.053,Directed
644,673,0.434,Directed
644,786,0.073,Directed
644,973,0.073,Directed
805,164,0.202,Directed
805,786,0.182,Directed
805,124,0.517,Directed
959,749,0.274,Directed
959,321,0.160,Directed
959,927,0.166,Directed
959,1094,0.315,Directed
7,749,0.423,Directed
7,1094,0.467,Directed
1053,1039,0.105,Directed
1053,547,0.097,Directed
1053,983,0.234,Directed
1053,164,0.101,Directed
1053,1094,0.206,Directed
1053,925,0.206,Directed
842,748,0.084,Directed
842,937,0.271,Directed
842,193,0.091,Directed
842,28,0.082,Directed
842,547,0.084,Directed
842,480,0.091,Directed
842,673,0.082,Directed
842,1094,0.088,Directed
842,301,0.066,Directed
1046,298,0.698,Directed
1046,164,0.198,Directed
962,28,0.241,Directed
962,835,0.430,Directed
962,520,0.213,Directed
172,28,0.126,Directed
172,547,0.149,Directed
172,520,0.081,Directed
172,299,0.573,Directed
592,639,0.586,Directed
592,608,0.306,Directed
814,639,0.618,Directed
814,901,0.136,Directed
814,608,0.174,Directed
243,749,0.310,Directed
243,940,0.117,Directed
243,385,0.144,Directed
243,901,0.136,Directed
243,608,0.127,Directed
243,716,0.119,Directed
8,816,0.601,Directed
8,399,0.166,Directed
8,983,0.163,Directed
802,639,0.660,Directed
802,164,0.146,Directed
802,786,0.122,Directed
433,639,0.319,Directed
433,901,0.267,Directed
433,608,0.315,Directed
152,547,0.107,Directed
152,299,0.794,Directed
1080,1093,0.526,Directed
1080,657,0.281,Directed
97,525,0.108,Directed
97,1093,0.408,Directed
97,657,0.324,Directed
379,633,0.369,Directed
379,385,0.127,Directed
379,837,0.423,Directed
472,633,0.056,Directed
472,837,0.622,Directed
472,302,0.151,Directed
870,419,0.634,Directed
870,932,0.063,Directed
870,164,0.066,Directed
870,233,0.057,Directed
870,557,0.070,Directed
870,490,0.074,Directed
1061,293,0.613,Directed
624,557,0.628,Directed
485,639,0.569,Directed
485,608,0.290,Directed
570,1051,0.280,Directed
570,840,0.157,Directed
570,293,0.317,Directed
570,557,0.157,Directed
9,633,0.556,Directed
9,385,0.080,Directed
9,613,0.054,Directed
9,811,0.204,Directed
9,786,0.071,Directed
800,28,0.649,Directed
242,413,0.074,Directed
242,28,0.071,Directed
242,525,0.748,Directed
242,927,0.068,Directed
165,749,0.064,Directed
165,346,0.051,Directed
165,166,0.320,Directed
165,3,0.092,Directed
165,1094,0.061,Directed
797,1040,0.111,Directed
797,1039,0.128,Directed
797,524,0.111,Directed
797,193,0.479,Directed
797,973,0.109,Directed
611,1051,0.071,Directed
611,840,0.082,Directed
611,525,0.809,Directed
986,166,0.483,Directed
986,1094,0.341,Directed
307,164,0.344,Directed
307,272,0.479,Directed
698,1051,0.059,Directed
698,413,0.063,Directed
698,525,0.846,Directed
431,786,0.805,Directed
191,816,0.692,Directed
191,862,0.129,Directed
191,413,0.124,Directed
941,749,0.290,Directed
941,901,0.170,Directed
941,927,0.167,Directed
941,1094,0.296,Directed
510,311,0.078,Directed
510,413,0.082,Directed
510,525,0.798,Directed
1064,547,0.156,Directed
1064,480,0.508,Directed
1064,620,0.153,Directed
1064,301,0.095,Directed
753,816,0.161,Directed
753,640,0.489,Directed
753,937,0.113,Directed
753,547,0.085,Directed
753,299,0.063,Directed
238,28,0.064,Directed
238,547,0.114,Directed
238,299,0.741,Directed
701,28,0.093,Directed
701,547,0.111,Directed
701,299,0.721,Directed
415,1051,0.141,Directed
415,749,0.274,Directed
415,321,0.082,Directed
415,547,0.076,Directed
415,620,0.070,Directed
415,3,0.080,Directed
415,608,0.142,Directed
415,716,0.070,Directed
173,352,0.170,Directed
173,272,0.562,Directed
173,927,0.184,Directed
455,525,0.801,Directed
454,1040,0.071,Directed
454,1039,0.069,Directed
454,640,0.559,Directed
454,937,0.098,Directed
454,547,0.081,Directed
454,620,0.080,Directed
57,749,0.304,Directed
57,321,0.078,Directed
57,640,0.080,Directed
57,385,0.086,Directed
57,547,0.074,Directed
57,3,0.078,Directed
57,608,0.075,Directed
57,716,0.077,Directed
57,1094,0.119,Directed
378,1007,0.080,Directed
378,816,0.540,Directed
378,399,0.157,Directed
378,983,0.154,Directed
649,1039,0.100,Directed
649,640,0.848,Directed
906,639,0.341,Directed
906,164,0.279,Directed
906,233,0.253,Directed
900,228,0.323,Directed
900,932,0.124,Directed
900,677,0.326,Directed
900,557,0.158,Directed
555,28,0.100,Directed
555,299,0.812,Directed
1016,749,0.248,Directed
1016,385,0.155,Directed
1016,125,0.152,Directed
1016,901,0.131,Directed
1016,1094,0.248,Directed
885,749,0.484,Directed
885,385,0.225,Directed
885,3,0.205,Directed
337,1007,0.776,Directed
559,749,0.256,Directed
559,901,0.071,Directed
559,927,0.147,Directed
559,716,0.207,Directed
559,1094,0.251,Directed
393,1051,0.066,Directed
393,749,0.293,Directed
393,385,0.081,Directed
393,840,0.063,Directed
393,3,0.138,Directed
393,716,0.319,Directed
957,749,0.301,Directed
957,385,0.087,Directed
957,3,0.156,Directed
957,716,0.419,Directed
909,1051,0.085,Directed
909,749,0.222,Directed
909,385,0.101,Directed
909,125,0.101,Directed
909,355,0.075,Directed
909,3,0.144,Directed
909,716,0.139,Directed
