Topic 48,fragment_103.05449,fragment_120.08041,fragment_103.03991,fragment_102.09092,fragment_166.08632,loss_199.06926,fragment_144.13788,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,fragment_144.9935,fragment_144.992,fragment_145.02839,fragment_145.0321
Topic 49,fragment_145.04997,fragment_85.02833,fragment_163.06062,fragment_91.03921,fragment_115.03913,fragment_144.13788,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,loss_199.06926,fragment_143.0739,fragment_144.9935,fragment_145.02839
Topic 50,fragment_140.07024,loss_154.13594,fragment_185.09247,fragment_155.08107,loss_89.05962,fragment_152.07031,fragment_186.05895,loss_59.04757,fragment_126.05565,fragment_85.03953,fragment_104.01683,fragment_204.06922,loss_160.07338,fragment_157.09711,fragment_61.01085,loss_78.03146,fragment_172.17063,fragment_227.11212,fragment_112.07583
Topic 51,fragment_65.03877,loss_199.06926,fragment_144.992,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,fragment_144.13788,fragment_144.9935,fragment_146.09623,fragment_145.02839,fragment_145.0321,fragment_145.04997,fragment_145.06489
Topic 52,fragment_91.05413,fragment_437.20718,loss_199.06926,fragment_144.13788,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,fragment_144.992,fragment_146.09279,fragment_144.9935,fragment_145.02839,fragment_145.0321,fragment_145.04997
Topic 53,loss_75.0684,loss_45.05793,fragment_53.03889,loss_73.0525,loss_113.08407,fragment_166.12285,loss_115.0998,loss_85.08914,loss_89.08399,loss_99.06814,fragment_228.12345,fragment_91.05413,fragment_141.02265,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074
Topic 54,loss_71.07342,fragment_244.11768,fragment_58.02903,fragment_161.06855,fragment_143.05747,fragment_114.0658,fragment_143.0739,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,loss_199.06926,fragment_144.11326,fragment_144.13788,fragment_144.992
Topic 55,loss_144.04206,loss_190.04798,loss_178.04751,fragment_258.13332,loss_195.07466,loss_199.06926,fragment_144.08044,fragment_143.05747,fragment_143.07219,fragment_143.0739,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.10184,fragment_144.08074,fragment_143.03192,fragment_144.11326
Topic 56,loss_148.07347,fragment_117.07034,fragment_147.11654,fragment_347.09545,fragment_365.10727,fragment_509.15049,loss_150.08907,fragment_119.0857,fragment_235.05246,fragment_441.29446,fragment_203.05179,fragment_113.0602,fragment_165.12818,fragment_132.09296,loss_198.12539,fragment_175.11123,fragment_527.15802,fragment_144.08074,fragment_143.11762
Topic 57,fragment_74.06037,fragment_56.04978,fragment_102.05469,fragment_136.04336,fragment_102.05571,fragment_228.08729,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,fragment_144.992,fragment_144.13788,fragment_144.9935,fragment_145.02839
Topic 58,fragment_134.09682,fragment_80.04949,fragment_221.1404,fragment_161.10742,loss_120.07822,fragment_91.05413,fragment_119.07336,fragment_134.07171,loss_105.07856,fragment_107.06036,loss_132.0896,fragment_180.07604,loss_18.00904,fragment_119.06096,fragment_110.06086,fragment_204.11311,fragment_119.05979,fragment_136.08649,loss_103.0638
Topic 59,fragment_277.21754,fragment_91.05413,fragment_105.07017,fragment_69.07013,fragment_133.10085,fragment_97.06464,fragment_85.06477,fragment_99.08011,fragment_127.07538,fragment_221.08119,fragment_279.12271,fragment_131.08638,fragment_151.1108,loss_198.12539,loss_154.13594,fragment_173.13225,fragment_147.11813,fragment_97.10101,fragment_111.08093
Topic 60,fragment_87.03159,fragment_292.11665,fragment_132.08134,fragment_166.08632,fragment_310.12707,fragment_130.06466,fragment_264.12442,fragment_244.09625,loss_196.05806,loss_184.05828,fragment_117.05718,loss_199.06926,fragment_144.08044,fragment_178.08711,fragment_246.11232,fragment_100.03928,fragment_88.03967,fragment_112.03881,loss_183.0892
Topic 61,loss_135.05318,loss_163.08425,loss_116.04727,fragment_117.05484,fragment_184.07218,fragment_124.9993,fragment_282.10975,fragment_173.12814,fragment_145.02839,fragment_145.0321,fragment_143.05747,fragment_143.07219,fragment_143.0739,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_145.10132,fragment_144.07733
Topic 62,fragment_101.05975,loss_146.05776,loss_185.09038,loss_195.07466,fragment_136.06241,fragment_59.04942,loss_163.08425,fragment_119.03519,loss_181.05929,loss_197.08977,fragment_75.04398,loss_188.07961,fragment_94.03985,fragment_147.06556,fragment_178.08536,fragment_143.11762,fragment_144.06586,loss_199.06926,fragment_143.08514
Topic 63,loss_84.04249,loss_36.02194,fragment_85.02833,fragment_93.05445,fragment_308.11162,fragment_141.01856,loss_64.01685,fragment_280.11613,loss_196.05806,fragment_148.07578,fragment_281.15008,fragment_75.04398,fragment_87.03159,loss_150.05297,fragment_112.03985,fragment_146.0609,fragment_194.08209,loss_198.07419,fragment_58.02903
Topic 64,fragment_60.04476,loss_132.04205,loss_123.05299,loss_93.04256,loss_184.05828,loss_108.0422,fragment_115.0508,fragment_211.0709,loss_112.03662,fragment_118.04962,fragment_172.06128,loss_166.04767,fragment_144.07733,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_143.0739,fragment_143.07219,fragment_144.06586
Topic 65,fragment_57.03369,fragment_85.02833,loss_199.06926,fragment_144.13788,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,fragment_144.992,fragment_143.07219,fragment_144.9935,fragment_145.02839,fragment_145.0321,fragment_145.04997
