Topic 15,fragment_78.959,fragment_96.97007,fragment_152.99612,mzdiff_74.03707,loss_74.03698,loss_46.0419,fragment_140.01224,mzdiff_18.01065,fragment_214.04898,loss_92.04764,mzdiff_27.99497,mzdiff_56.02632,mzdiff_46.04201,fragment_77.77178,fragment_168.04305,fragment_111.02078,fragment_138.98108,mzdiff_18.01118,mzdiff_28.03087
Topic 16,fragment_271.02589,fragment_243.02982,fragment_145.09917,fragment_315.0528,fragment_242.02339,loss_220.05876,loss_43.98881,loss_164.04742,fragment_180.06621,fragment_314.04692,fragment_300.03038,fragment_109.02994,fragment_123.04539,fragment_301.03802,fragment_245.08358,fragment_314.04214,fragment_255.03065,fragment_270.01738,fragment_257.04707
Topic 17,loss_180.06351,fragment_74.02448,fragment_129.10367,fragment_78.91881,fragment_131.04625,fragment_357.21781,fragment_80.91679,fragment_113.03591,fragment_228.16143,fragment_343.19835,fragment_114.02009,mzdiff_18.01012,mzdiff_56.06271,fragment_118.05114,fragment_158.08203,mzdiff_18.01215,fragment_141.06788,fragment_145.09917,fragment_145.06295
Topic 18,fragment_124.04034,loss_116.04741,fragment_66.03468,fragment_94.03029,fragment_125.03545,loss_86.03709,mzdiff_58.00544,loss_144.04304,fragment_78.03467,loss_132.04241,fragment_97.04072,fragment_151.05146,mzdiff_30.00987,mzdiff_27.99546,mzdiff_30.01033,mzdiff_27.99576,loss_88.05276,fragment_122.02532,fragment_84.00889
Topic 19,loss_162.05307,loss_90.03211,loss_120.0427,fragment_172.09804,loss_90.03124,fragment_202.10775,mzdiff_72.02077,mzdiff_30.01074,fragment_153.03019,mzdiff_42.01122,fragment_188.09321,fragment_183.04261,fragment_158.08203,fragment_260.06711,mzdiff_30.00987,mzdiff_72.02191,mzdiff_46.02058,mzdiff_30.01121,fragment_142.08713
Topic 20,fragment_211.13591,fragment_229.14544,fragment_179.03479,fragment_183.13891,fragment_99.08149,fragment_111.01973,fragment_171.10273,mzdiff_18.00944,fragment_176.03987,fragment_132.02203,fragment_139.11345,fragment_311.22161,fragment_293.21409,fragment_134.03906,fragment_127.11365,fragment_214.07297,fragment_104.02656,fragment_180.03873,fragment_89.04022
Topic 21,fragment_119.03506,loss_282.09596,fragment_221.06619,fragment_383.12068,fragment_113.02446,fragment_545.17114,mzdiff_18.0109,mzdiff_48.02136,mzdiff_162.05467,fragment_707.22646,mzdiff_42.0118,mzdiff_60.0213,loss_444.14938,loss_222.07405,mzdiff_324.10744,mzdiff_222.07439,mzdiff_162.0527,mzdiff_264.08527,loss_342.1168
Topic 22,fragment_55.01843,mzdiff_27.99546,fragment_57.03411,fragment_83.01371,mzdiff_15.99528,fragment_131.03489,fragment_87.00873,fragment_99.0085,fragment_58.00546,mzdiff_46.00549,fragment_97.02986,fragment_85.02956,fragment_81.03449,fragment_69.03444,mzdiff_31.99009,mzdiff_48.02136,mzdiff_17.97437,mzdiff_15.9948,mzdiff_43.99027
Topic 23,fragment_154.06233,fragment_93.04614,mzdiff_43.98964,fragment_110.07274,fragment_116.05025,fragment_83.01371,fragment_127.00358,fragment_81.04596,loss_105.99035,fragment_130.06597,mzdiff_61.01604,fragment_142.06619,fragment_128.0512,loss_69.07148,fragment_265.10253,fragment_249.06151,loss_126.10481,fragment_264.10214,fragment_209.08321
Topic 24,fragment_61.98795,loss_18.01079,loss_342.1168,fragment_115.00333,fragment_197.1307,mzdiff_43.98964,fragment_73.02948,fragment_99.0085,mzdiff_25.97909,loss_74.00063,fragment_133.01456,fragment_120.51564,fragment_78.08823,fragment_89.13591,fragment_225.11318,fragment_200.13057,fragment_141.10286,fragment_182.1184,fragment_115.00444
Topic 25,fragment_125.06066,fragment_195.06543,fragment_68.99802,fragment_165.05674,fragment_79.01874,mzdiff_84.05739,mzdiff_42.04726,fragment_207.067,fragment_107.05022,fragment_83.01371,fragment_193.05058,mzdiff_70.00483,mzdiff_82.0058,fragment_263.12888,fragment_57.03411,mzdiff_26.01614,mzdiff_56.06271,fragment_223.13469,fragment_139.07742
Topic 26,loss_43.99034,loss_105.99035,fragment_168.06763,loss_504.17013,loss_46.00581,fragment_77.71067,fragment_84.9225,fragment_111.01973,fragment_151.07613,fragment_84.02146,fragment_133.06684,fragment_205.089,mzdiff_30.01121,fragment_205.05205,fragment_283.04393,fragment_147.02973,fragment_130.05041,loss_104.01114,fragment_158.09716
