Topic 18,fragment_135.05033,fragment_117.03912,fragment_143.01856,fragment_163.04463,fragment_207.03434,fragment_119.01908,fragment_145.03511,fragment_161.02979,fragment_251.02578,fragment_74.00601,fragment_189.02332,fragment_58.99828,fragment_189.02515,fragment_174.98625,fragment_156.9758,fragment_174.97494,fragment_103.0237,fragment_148.00556,fragment_266.96433
Topic 19,fragment_59.0494,fragment_147.0656,fragment_103.07524,fragment_191.09065,fragment_131.07068,fragment_163.09605,fragment_103.0395,fragment_87.04387,loss_225.12119,loss_181.09524,fragment_235.11649,fragment_99.04448,loss_225.08475,fragment_265.12789,loss_165.0633,loss_137.06878,fragment_233.18961,loss_239.13679,fragment_132.04388
Topic 20,loss_211.06879,loss_193.0585,loss_235.06923,loss_253.07958,fragment_131.03373,loss_239.06387,fragment_159.02906,fragment_215.10389,fragment_127.11195,fragment_85.02826,fragment_134.04498,fragment_134.03645,fragment_134.02756,loss_334.21407,fragment_134.01282,fragment_133.10075,fragment_133.09783,fragment_133.09596,fragment_133.59714
Topic 21,fragment_147.08077,fragment_161.09562,fragment_128.0619,loss_211.06879,fragment_109.10116,fragment_141.01836,fragment_67.0545,fragment_287.20235,fragment_169.10079,fragment_143.08502,fragment_145.10125,fragment_101.09624,loss_148.06019,fragment_131.08488,fragment_269.19131,loss_229.07929,fragment_229.15948,fragment_129.06982,fragment_95.01322
Topic 22,fragment_136.06225,fragment_119.0351,fragment_61.01084,fragment_145.03171,fragment_250.09302,fragment_102.05461,fragment_105.05461,fragment_195.11206,loss_179.05897,fragment_94.03965,loss_101.04741,fragment_74.02347,fragment_298.09725,fragment_75.02608,fragment_164.09482,fragment_137.04605,fragment_74.0597,loss_153.06369,fragment_177.10154
Topic 23,fragment_140.02608,fragment_91.05405,fragment_354.05545,loss_176.03198,fragment_125.01505,fragment_137.00651,fragment_155.02613,fragment_276.02578,fragment_109.01041,fragment_65.03876,fragment_240.04859,fragment_165.09197,fragment_105.03338,fragment_294.03497,fragment_105.07012,fragment_183.02031,fragment_53.03885,fragment_136.02168,fragment_200.0482
Topic 24,fragment_98.05994,loss_148.08464,loss_121.07353,fragment_144.11338,loss_146.10547,fragment_117.10269,fragment_98.09679,fragment_130.12219,fragment_85.05205,loss_108.05328,loss_120.07848,loss_104.04715,fragment_102.09081,fragment_67.05394,fragment_146.11771,fragment_134.05987,fragment_134.9566,fragment_135.02955,fragment_135.02194
Topic 25,loss_60.05727,loss_61.05254,fragment_129.05455,fragment_131.06782,fragment_191.10581,loss_99.05336,fragment_134.04803,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.09674,fragment_134.05987,fragment_134.08154
Topic 26,fragment_57.04508,fragment_117.0547,fragment_99.04448,loss_103.0267,loss_133.07378,loss_147.08937,fragment_101.07888,loss_42.01076,fragment_134.02756,fragment_134.01282,loss_334.21407,fragment_134.04498,fragment_133.59714,fragment_133.10075,fragment_133.09783,fragment_133.09596,fragment_134.03645,fragment_134.04803,fragment_134.04673
Topic 27,fragment_169.00492,fragment_51.02335,fragment_137.00501,fragment_155.01648,fragment_276.02578,fragment_179.07156,fragment_113.01571,fragment_130.06456,fragment_154.03123,fragment_133.06434,fragment_154.03287,fragment_161.05882,fragment_281.10071,fragment_294.03497,fragment_125.01422,loss_221.12602,fragment_76.07555,fragment_119.0498,fragment_111.02645
