Topic 16,fragment_130.08581,fragment_56.04978,fragment_67.05455,fragment_126.09181,loss_118.02644,loss_105.04249,loss_147.05328,loss_114.03136,loss_133.07373,loss_129.07874,mzdiff_17.02628,loss_63.03183,loss_103.0638,fragment_274.12622,loss_160.0369,fragment_147.11301,fragment_111.04429,fragment_146.08112,loss_177.09986
Topic 17,loss_160.0369,loss_132.04205,fragment_106.06503,fragment_108.04426,fragment_81.03337,loss_163.04805,loss_66.03222,loss_201.06337,loss_173.06877,loss_64.01556,fragment_53.03889,fragment_188.07057,fragment_206.0825,loss_148.03699,fragment_94.06505,loss_36.02083,loss_146.05776,fragment_134.05999,mzdiff_27.01083
Topic 18,fragment_176.1067,fragment_53.03889,fragment_80.04949,loss_102.03162,fragment_126.05565,loss_93.04256,fragment_115.05434,fragment_132.08134,loss_105.04249,loss_107.05823,fragment_104.04995,loss_64.01556,mzdiff_24.00008,loss_90.03154,fragment_103.03868,mzdiff_29.02632,mzdiff_27.01127,mzdiff_51.01074,mzdiff_41.02706
Topic 19,fragment_116.07114,loss_161.06862,fragment_70.06514,loss_226.0948,fragment_227.10395,loss_115.0632,loss_144.04206,fragment_84.04422,fragment_209.09245,fragment_97.02839,mzdiff_46.00583,mzdiff_27.9947,fragment_226.12017,fragment_164.07061,fragment_181.09784,loss_179.07935,fragment_98.05999,fragment_192.06425,fragment_130.04926
Topic 20,fragment_67.05455,fragment_81.07,fragment_55.05468,mzdiff_26.0153,fragment_93.06982,fragment_91.05413,fragment_95.08537,mzdiff_23.99973,fragment_69.07013,fragment_107.08554,fragment_79.05417,fragment_121.10156,mzdiff_38.01529,fragment_123.11715,fragment_149.13246,fragment_57.07007,fragment_135.11735,fragment_109.10129,mzdiff_68.06273
Topic 21,fragment_80.04949,fragment_98.05999,fragment_195.11211,fragment_167.1183,fragment_125.07087,loss_59.04851,loss_60.03238,fragment_194.12832,loss_174.11115,fragment_114.08889,fragment_74.0963,fragment_140.06835,fragment_303.05042,fragment_82.065,fragment_96.99495,fragment_153.01751,fragment_229.05108,fragment_68.99727,fragment_137.02375
Topic 22,fragment_112.08703,fragment_116.07114,fragment_60.0558,fragment_130.09705,loss_105.05437,fragment_175.12006,loss_59.04757,loss_60.03238,loss_115.0632,fragment_60.0559,fragment_158.09178,fragment_71.0494,loss_45.02229,loss_63.03183,fragment_115.08711,fragment_72.08072,mzdiff_59.04778,fragment_301.15214,fragment_204.09937
Topic 23,loss_198.07419,loss_180.06335,loss_246.09516,loss_387.13762,loss_226.06843,loss_312.10563,loss_150.05297,fragment_310.12707,loss_196.05806,fragment_292.11665,fragment_132.08134,fragment_81.03337,loss_324.10561,loss_360.12677,fragment_130.06466,fragment_244.09625,fragment_87.03159,fragment_112.03985,mzdiff_27.9947
Topic 24,fragment_206.0825,fragment_205.07619,fragment_140.04986,fragment_167.06103,fragment_495.26484,fragment_327.07802,fragment_193.0757,fragment_195.09145,fragment_219.09326,fragment_115.05434,fragment_207.09112,fragment_247.08591,fragment_551.33272,loss_108.0422,fragment_185.07118,fragment_182.0845,loss_96.0424,fragment_91.05413,fragment_283.106
Topic 25,fragment_98.05999,fragment_182.08216,fragment_194.08209,fragment_110.05976,fragment_69.03368,fragment_248.11294,fragment_68.0498,loss_180.06335,mzdiff_29.02632,mzdiff_30.01007,fragment_86.06014,fragment_87.04389,fragment_97.02839,mzdiff_84.02197,fragment_212.09231,mzdiff_42.00997,mzdiff_18.01032,mzdiff_27.9947,fragment_128.07032
Topic 26,fragment_96.04414,fragment_53.03889,loss_27.99523,loss_55.98959,fragment_78.03416,fragment_176.8761,loss_18.00904,loss_43.98978,fragment_206.10223,mzdiff_42.00997,fragment_188.09246,fragment_368.1567,fragment_323.19641,fragment_164.10657,fragment_353.20422,fragment_371.21719,fragment_120.08161,fragment_137.066,mzdiff_17.02651
Topic 27,loss_193.10288,loss_236.10888,loss_219.08244,loss_160.03397,fragment_72.08072,fragment_98.05999,loss_134.0566,fragment_131.12918,fragment_157.10848,loss_126.09326,fragment_165.07001,loss_56.08736,fragment_178.07836,fragment_235.07575,fragment_261.63818,loss_200.10904,fragment_91.05413,fragment_114.10281,fragment_278.05554
Topic 28,fragment_85.02833,fragment_97.02839,fragment_145.04997,fragment_127.0387,fragment_163.06062,fragment_325.11203,fragment_103.03868,fragment_73.0647,loss_342.1163,fragment_61.02892,fragment_259.11604,mzdiff_60.02168,fragment_173.09132,mzdiff_53.97429,mzdiff_89.99556,fragment_101.02309,mzdiff_15.99464,fragment_277.16484,fragment_279.23344
Topic 29,fragment_132.10161,loss_208.05803,fragment_276.14368,loss_162.05266,fragment_81.03337,fragment_88.03909,loss_18.01103,fragment_230.14,fragment_112.03985,loss_84.04249,fragment_97.02839,fragment_210.1116,fragment_57.03369,loss_180.06335,loss_64.01556,fragment_84.04422,fragment_144.10184,loss_196.05806,fragment_289.09133
Topic 30,fragment_59.04942,fragment_117.09077,loss_134.09416,fragment_91.05413,fragment_57.03369,loss_17.0258,fragment_136.07598,fragment_93.06982,fragment_107.08554,loss_45.05793,fragment_105.07017,fragment_193.14431,fragment_128.06203,fragment_192.10212,fragment_347.18811,fragment_329.17533,fragment_150.05564,fragment_161.06054,fragment_161.05912
Topic 31,fragment_60.04476,loss_59.03701,fragment_114.09125,fragment_71.06871,loss_101.04749,loss_113.08407,loss_249.12114,loss_118.07392,loss_261.12114,loss_101.08372,fragment_72.04465,loss_53.04808,loss_247.10561,fragment_117.07399,fragment_107.08554,fragment_217.08657,fragment_193.08583,fragment_147.08092,fragment_175.07621
Topic 32,fragment_275.12787,loss_148.07347,fragment_225.07566,loss_144.04206,fragment_207.06553,fragment_74.05986,loss_176.06826,fragment_127.0387,fragment_211.0709,loss_120.07822,loss_120.04253,fragment_205.08718,fragment_165.05564,fragment_179.06947,fragment_133.06448,fragment_115.05434,loss_106.02645,fragment_115.0508,fragment_231.08369
Topic 33,fragment_69.03368,fragment_73.02851,fragment_57.03369,fragment_109.0288,fragment_61.02851,fragment_127.0387,fragment_81.03337,mzdiff_23.99973,fragment_55.01824,mzdiff_27.9947,fragment_145.04997,fragment_163.06062,fragment_53.03889,mzdiff_46.00516,fragment_99.04366,loss_359.14286,mzdiff_15.99485,mzdiff_54.01028,mzdiff_42.01046
Topic 34,fragment_98.98387,fragment_98.9847,fragment_116.99462,fragment_127.01556,fragment_57.03369,fragment_152.07031,fragment_173.02215,fragment_97.02839,loss_84.04249,loss_144.04206,fragment_211.0709,loss_36.02194,fragment_259.09184,fragment_87.0554,loss_208.05803,fragment_122.06034,fragment_194.04615,fragment_95.04936,fragment_133.06155
Topic 35,fragment_136.06241,fragment_119.03519,fragment_137.04629,loss_179.07935,fragment_97.02839,loss_135.05318,loss_237.08515,loss_223.06938,fragment_94.03985,fragment_92.02426,fragment_216.02841,loss_116.04727,fragment_61.01085,loss_181.05929,loss_249.08478,fragment_159.0652,fragment_229.0969,fragment_130.06466,fragment_146.0609
Topic 36,loss_95.05815,loss_111.05298,loss_107.05823,loss_119.05808,loss_83.05819,loss_127.04792,loss_53.04808,loss_75.05313,loss_35.03655,loss_123.05299,fragment_53.03889,fragment_105.03345,loss_17.0258,loss_99.05338,loss_125.0685,loss_81.04258,fragment_101.02309,fragment_134.01288,loss_132.0896
Topic 37,loss_89.01085,fragment_130.06466,loss_117.0425,loss_89.04756,fragment_144.08074,fragment_117.05718,fragment_146.05941,fragment_172.07629,fragment_64.9275,loss_119.02147,fragment_158.05975,fragment_62.92941,fragment_115.05434,fragment_91.05413,fragment_218.08163,fragment_189.8815,fragment_200.06981,fragment_53.03889,fragment_147.06769
Topic 38,fragment_55.01824,fragment_72.04465,fragment_149.02364,fragment_89.00601,fragment_143.01554,fragment_143.01708,fragment_90.05539,fragment_115.0216,fragment_223.06189,fragment_105.00079,fragment_277.21754,fragment_280.12934,fragment_283.16892,fragment_283.12837,fragment_283.106,fragment_282.13232,fragment_282.10975,fragment_281.15008,fragment_281.13706
Topic 39,loss_142.07382,loss_125.04751,fragment_154.07315,loss_154.07421,fragment_83.01292,fragment_153.06584,fragment_98.05999,fragment_91.05413,fragment_199.02413,loss_73.01579,loss_27.9937,fragment_93.06982,mzdiff_27.9947,fragment_142.03245,fragment_167.03433,fragment_217.13508,fragment_181.01236,fragment_147.04377,fragment_172.11319
Topic 40,fragment_225.07566,fragment_81.07,fragment_57.07007,fragment_79.05417,fragment_67.05455,fragment_331.19013,fragment_261.14913,fragment_53.0026,fragment_149.05997,fragment_263.12955,fragment_69.07013,fragment_91.05413,mzdiff_26.0153,mzdiff_24.00008,fragment_105.07017,fragment_133.06448,mzdiff_21.98399,loss_88.05246,fragment_113.0602
Topic 41,fragment_108.04426,fragment_136.07598,fragment_53.03889,fragment_122.06034,fragment_80.04949,fragment_95.04936,fragment_94.06505,loss_28.03102,fragment_164.03461,fragment_126.05442,fragment_136.03974,fragment_182.08216,fragment_182.04465,fragment_165.05397,fragment_178.08711,fragment_138.05451,mzdiff_55.99043,fragment_154.04951,fragment_165.05564
Topic 42,fragment_91.05413,fragment_79.05417,fragment_105.07017,fragment_221.08119,mzdiff_50.01547,loss_56.06222,fragment_119.0857,fragment_293.13725,fragment_129.07001,loss_212.17723,fragment_119.04986,loss_154.13594,fragment_361.20082,fragment_107.08554,fragment_167.03433,fragment_239.09204,loss_74.07291,fragment_311.14977,loss_120.07822
Topic 43,fragment_152.05613,fragment_153.04074,loss_150.05297,fragment_135.02961,loss_132.0896,fragment_134.05999,fragment_110.05976,fragment_128.04552,fragment_176.09115,fragment_65.03877,fragment_97.02839,fragment_110.03498,fragment_296.14969,fragment_71.06064,loss_211.10548,loss_221.08974,loss_261.12114,fragment_98.98387,loss_219.11048
Topic 44,fragment_53.0026,loss_18.0095,fragment_84.04487,loss_193.07363,loss_87.03188,fragment_581.24226,fragment_125.1079,loss_115.02685,loss_99.03179,fragment_191.07107,fragment_173.05919,fragment_175.00169,fragment_167.03433,loss_118.07392,fragment_209.08106,fragment_56.04978,fragment_277.14312,fragment_280.09383,fragment_283.106
Topic 45,fragment_57.07007,fragment_85.06477,loss_130.06264,loss_150.08907,fragment_115.05434,loss_198.12539,fragment_117.07034,loss_148.07347,fragment_201.12805,fragment_131.08493,loss_56.06222,fragment_239.09204,fragment_90.05539,fragment_67.05455,fragment_184.09601,fragment_116.03449,fragment_70.02898,fragment_124.07536,loss_96.0424
Topic 46,fragment_55.05468,loss_42.04695,mzdiff_25.97912,mzdiff_27.99553,fragment_139.03977,fragment_123.04462,fragment_278.05981,fragment_130.066,fragment_119.04986,fragment_207.08258,fragment_115.05434,fragment_245.09342,fragment_111.04429,fragment_118.06547,fragment_68.99727,fragment_159.09255,fragment_132.08134,fragment_227.08139,mzdiff_29.00226
Topic 47,fragment_136.06241,fragment_101.05975,loss_213.08497,loss_185.09038,loss_146.05776,fragment_75.04398,fragment_57.03369,loss_201.08487,fragment_85.02833,fragment_119.03519,loss_225.08489,loss_181.05929,loss_223.06938,fragment_59.04942,fragment_87.04389,loss_195.07466,loss_163.08425,fragment_97.02839,fragment_93.05445
Topic 48,fragment_112.08703,loss_225.08489,fragment_114.10281,fragment_257.16048,fragment_84.08071,fragment_260.11164,loss_277.11587,fragment_175.12006,loss_223.06938,fragment_100.07534,loss_387.13762,fragment_72.08072,fragment_60.0558,mzdiff_42.02198,loss_207.07436,fragment_130.09705,fragment_97.07643,fragment_71.0494,fragment_173.13899
Topic 49,loss_17.02648,loss_45.0213,fragment_55.02948,loss_43.00568,loss_27.01114,fragment_82.04028,loss_17.02676,fragment_94.03985,fragment_119.03519,fragment_110.03459,fragment_109.05048,fragment_92.02426,fragment_107.03523,fragment_134.04674,fragment_128.04552,fragment_67.02929,fragment_135.02961,mzdiff_27.01083,fragment_80.02432
Topic 50,fragment_393.13834,loss_136.037,mzdiff_26.0153,mzdiff_42.01109,mzdiff_54.011,loss_66.03112,fragment_146.05941,loss_108.0422,fragment_236.0907,fragment_190.08515,mzdiff_109.05223,fragment_110.05976,fragment_162.09143,loss_92.01082,loss_64.01685,fragment_96.04414,mzdiff_38.0159,mzdiff_52.03123,mzdiff_66.01125
Topic 51,fragment_83.04895,fragment_55.05468,fragment_129.05473,fragment_111.04429,fragment_85.02833,loss_54.03217,loss_108.0422,loss_110.02127,fragment_147.06556,fragment_59.04942,loss_82.02658,fragment_101.05975,loss_100.03743,loss_128.03138,mzdiff_15.99464,loss_96.0424,mzdiff_52.03123,fragment_67.05455,mzdiff_27.99436
Topic 52,loss_113.08407,mzdiff_29.00178,fragment_273.10911,fragment_83.06042,fragment_129.06583,fragment_195.07569,fragment_153.06584,fragment_267.10114,fragment_175.12006,fragment_179.08312,fragment_139.03837,fragment_146.09279,fragment_206.07155,fragment_166.07419,mzdiff_27.99301,mzdiff_74.01517,fragment_88.03967,mzdiff_179.99578,mzdiff_123.02346
Topic 53,loss_18.01013,fragment_68.0498,fragment_95.06076,loss_48.02067,loss_89.04756,loss_61.02871,fragment_202.09773,loss_171.0529,fragment_93.05723,fragment_124.03981,fragment_99.05557,fragment_69.04509,loss_170.06921,loss_195.07466,fragment_280.12934,fragment_281.11089,fragment_280.11613,fragment_278.13892,fragment_281.13706
Topic 54,fragment_86.09652,fragment_104.10731,fragment_71.0731,fragment_98.98387,loss_173.10494,loss_59.07329,fragment_125.00056,loss_85.08914,fragment_184.07456,fragment_221.01905,fragment_258.10964,fragment_280.09383,fragment_184.07218,loss_36.02083,loss_201.13611,fragment_196.09544,fragment_124.9993,fragment_537.19464,fragment_236.12595
Topic 55,fragment_136.06241,fragment_97.02839,fragment_291.06357,fragment_219.08071,fragment_114.10281,fragment_115.05434,fragment_263.06919,fragment_247.07449,fragment_96.04414,fragment_119.03519,fragment_191.08582,fragment_97.07643,fragment_237.09192,fragment_98.05999,fragment_189.0702,fragment_207.07983,fragment_216.02841,fragment_265.08377,fragment_235.07575
Topic 56,fragment_71.0494,fragment_99.04455,fragment_73.02851,fragment_57.03369,fragment_117.05484,mzdiff_18.01058,fragment_53.03889,mzdiff_46.00516,mzdiff_18.01116,mzdiff_15.99464,mzdiff_46.00583,loss_137.0686,fragment_246.05003,mzdiff_15.99485,fragment_103.02173,fragment_280.12934,fragment_280.11613,fragment_281.11089,fragment_280.09383
Topic 57,fragment_177.05473,fragment_89.03862,fragment_145.02839,fragment_117.03314,fragment_78.04654,fragment_149.05997,fragment_134.03644,mzdiff_27.9947,fragment_63.02323,fragment_106.04123,mzdiff_55.98974,mzdiff_71.01339,mzdiff_43.01819,fragment_72.08072,fragment_248.12779,fragment_91.05413,loss_193.07363,fragment_135.04439,fragment_186.05403
Topic 58,mzdiff_74.05195,mzdiff_50.01547,mzdiff_78.04661,mzdiff_48.03634,mzdiff_105.0578,fragment_310.12707,mzdiff_51.01074,mzdiff_77.06283,fragment_120.08041,mzdiff_101.06283,mzdiff_24.00044,mzdiff_26.01606,mzdiff_64.031,loss_208.05803,fragment_292.11665,loss_18.01191,mzdiff_27.01083,mzdiff_60.036,loss_225.08489
Topic 59,fragment_72.08072,loss_77.04746,fragment_143.11762,loss_89.05962,fragment_129.10184,fragment_276.1563,fragment_189.12435,fragment_175.10681,fragment_171.11266,fragment_157.09711,fragment_185.1641,mzdiff_74.04741,mzdiff_46.00516,fragment_257.16048,fragment_278.05981,fragment_277.14312,fragment_277.10355,fragment_282.10975,fragment_281.15008
Topic 60,fragment_57.03369,fragment_85.02833,fragment_61.02851,fragment_74.06037,loss_329.13215,fragment_133.04983,mzdiff_27.9947,loss_275.13653,fragment_57.03405,mzdiff_15.99464,loss_211.06909,fragment_193.08583,mzdiff_76.01615,mzdiff_18.01084,fragment_68.99727,mzdiff_56.02601,mzdiff_72.021,fragment_139.00237,fragment_111.00762
Topic 61,loss_272.08959,fragment_276.12192,loss_66.03222,fragment_324.14693,fragment_108.08067,fragment_208.09792,loss_134.0566,mzdiff_38.0159,mzdiff_50.01547,mzdiff_55.04241,mzdiff_35.9999,mzdiff_26.01566,fragment_174.03908,mzdiff_26.0153,mzdiff_38.01529,mzdiff_27.99513,mzdiff_66.01026,mzdiff_55.98974,mzdiff_42.01046
Topic 62,fragment_61.01085,fragment_144.08074,loss_47.0369,fragment_115.05434,fragment_120.04802,loss_18.01058,fragment_91.05413,fragment_78.03737,fragment_143.0739,fragment_117.07034,loss_71.03707,fragment_130.06466,loss_45.0213,fragment_103.02173,loss_59.03701,fragment_60.04476,fragment_53.03889,fragment_103.05449,fragment_73.0843
Topic 63,mzdiff_52.03123,mzdiff_54.04685,mzdiff_38.01529,fragment_105.07017,mzdiff_26.01606,mzdiff_28.03138,mzdiff_16.03136,fragment_119.0857,mzdiff_26.0153,mzdiff_40.03112,fragment_79.05417,fragment_109.10129,fragment_53.03889,fragment_93.06982,fragment_95.08537,fragment_277.21754,mzdiff_30.04728,mzdiff_50.01547,mzdiff_66.04691
Topic 64,fragment_69.03368,loss_207.11028,fragment_100.07624,loss_144.04206,loss_190.04798,fragment_258.13332,fragment_85.08404,fragment_232.11905,fragment_214.12288,loss_27.9937,fragment_149.07378,fragment_280.11613,fragment_278.09062,fragment_280.12934,fragment_280.09383,fragment_281.11089,fragment_281.13706,fragment_281.15008,fragment_279.23344
Topic 65,fragment_162.0756,loss_125.0685,fragment_56.96508,fragment_84.04422,fragment_72.04465,loss_18.01103,loss_96.0424,loss_99.05338,loss_108.0422,loss_120.04178,fragment_60.04476,fragment_112.08703,loss_59.04757,mzdiff_27.99436,mzdiff_42.02153,fragment_113.07058,fragment_116.07015,fragment_168.11266,loss_174.0641
Topic 66,fragment_70.06514,fragment_181.09784,loss_143.05793,fragment_84.04422,fragment_116.07114,fragment_209.09245,fragment_56.04978,loss_254.09018,loss_208.08492,mzdiff_125.04784,loss_115.0632,loss_111.0318,loss_271.11657,fragment_125.07087,loss_157.03751,loss_46.00455,loss_171.0529,mzdiff_27.99436,fragment_169.06132
Topic 67,loss_60.021,fragment_98.05999,loss_78.03146,loss_106.02645,fragment_126.05565,fragment_144.06586,loss_108.0422,fragment_138.05451,loss_102.03162,loss_66.03222,fragment_116.07015,loss_144.04206,loss_135.05318,loss_18.01103,loss_178.04751,loss_190.04798,loss_18.01191,fragment_158.08037,fragment_88.03967
Topic 68,loss_324.10561,loss_180.06335,loss_162.05266,fragment_57.03369,fragment_347.09545,fragment_365.10727,loss_342.1163,fragment_509.15049,fragment_527.15802,mzdiff_39.9948,mzdiff_26.0153,mzdiff_58.00503,fragment_65.03877,fragment_179.03309,mzdiff_30.01044,loss_190.04798,fragment_244.11768,fragment_197.04434,loss_178.04751
Topic 69,fragment_84.08071,fragment_128.07032,fragment_98.09682,loss_157.07381,loss_89.04756,loss_129.07874,loss_183.0892,loss_135.05318,fragment_67.05455,loss_175.08434,loss_387.13762,fragment_246.13424,fragment_130.0871,fragment_168.10226,loss_118.07392,fragment_213.12438,loss_175.04792,fragment_130.12226,mzdiff_46.00583
Topic 70,loss_75.03188,loss_87.03188,loss_73.01648,loss_46.00544,fragment_81.04506,fragment_83.06042,fragment_82.05229,fragment_125.07087,loss_100.027,fragment_54.03416,loss_73.01579,loss_45.0213,mzdiff_27.01083,mzdiff_41.02643,fragment_124.087,fragment_97.07643,fragment_109.04829,fragment_109.07644,fragment_107.06036
Topic 71,loss_341.13229,loss_120.04178,fragment_143.03192,loss_329.13215,fragment_377.19044,loss_162.05266,loss_146.06892,fragment_360.168,loss_246.09516,fragment_198.1136,fragment_89.10723,fragment_167.1183,fragment_130.04926,loss_129.04222,loss_343.14788,loss_175.04792,loss_189.06336,loss_263.12151,fragment_146.11787
Topic 72,mzdiff_26.0153,mzdiff_42.01046,mzdiff_24.00008,mzdiff_27.01083,mzdiff_27.9947,mzdiff_16.03111,mzdiff_22.02089,mzdiff_18.01032,loss_36.02001,fragment_276.09134,fragment_61.01085,fragment_294.10162,loss_18.0095,mzdiff_28.03097,mzdiff_30.01044,mzdiff_175.06556,mzdiff_38.0159,loss_162.05266,loss_179.07935
Topic 73,fragment_81.03337,fragment_53.03889,fragment_109.0288,loss_162.05266,mzdiff_27.9947,fragment_195.0292,fragment_219.10217,fragment_177.01894,fragment_233.08174,fragment_289.14181,loss_212.17723,fragment_275.16664,fragment_151.04026,fragment_281.13706,fragment_279.15812,fragment_281.11089,fragment_280.12934,fragment_280.11613,fragment_280.09383
Topic 74,fragment_65.03877,fragment_91.05413,fragment_119.04876,fragment_147.04377,fragment_123.04462,mzdiff_38.01529,loss_188.07961,fragment_260.13924,loss_135.05318,loss_137.0686,fragment_175.12224,mzdiff_26.01566,mzdiff_27.99513,loss_176.06826,loss_207.07436,fragment_242.1036,fragment_134.09682,loss_171.0529,fragment_102.98524
Topic 75,fragment_216.08561,fragment_102.05469,loss_178.04751,fragment_170.08149,fragment_90.05539,loss_150.05297,loss_196.05806,fragment_234.09787,fragment_188.09246,fragment_74.05986,fragment_97.02839,fragment_143.05747,loss_64.01556,fragment_58.06553,fragment_122.06034,loss_162.05266,mzdiff_27.9947,loss_36.02194,fragment_112.03985
