Topic 0,fragment_91.05413,fragment_79.05417,fragment_105.07017,fragment_119.04876,fragment_93.06982,fragment_107.08554,fragment_123.04462,fragment_195.06547,fragment_175.07621,fragment_259.13141,fragment_119.0857,fragment_193.08583,fragment_128.06203,fragment_287.12822,fragment_176.8761,fragment_147.08092,fragment_119.04986,fragment_305.13796,fragment_153.05477
Topic 1,fragment_72.08072,fragment_55.05468,fragment_60.0559,fragment_114.10281,fragment_183.11187,fragment_347.09545,fragment_365.10727,fragment_509.15049,fragment_527.15802,fragment_211.09389,fragment_182.10135,fragment_183.1142,fragment_203.05179,fragment_319.16251,fragment_114.09125,fragment_130.12226,fragment_133.06448,fragment_133.05119,fragment_133.05284
Topic 2,fragment_120.08041,fragment_83.01292,fragment_276.12192,fragment_108.08067,fragment_134.09682,fragment_199.02413,fragment_180.10128,fragment_101.02309,fragment_208.09792,fragment_258.13332,fragment_324.14693,fragment_167.03433,fragment_246.13424,fragment_181.01236,fragment_139.03977,fragment_263.08114,fragment_67.01808,fragment_212.12765,fragment_80.04949
Topic 3,fragment_120.08041,fragment_166.08632,fragment_103.05449,fragment_132.08134,fragment_91.05413,fragment_105.07017,fragment_130.06466,fragment_79.05417,fragment_292.11665,fragment_118.06547,fragment_310.12707,fragment_117.05718,fragment_115.05434,fragment_264.12442,fragment_244.09625,fragment_119.07336,fragment_87.03159,fragment_176.1067,fragment_104.04995
Topic 4,fragment_84.04422,fragment_56.04978,fragment_130.05052,fragment_181.09784,fragment_116.07114,fragment_209.09245,fragment_53.0026,fragment_102.05469,fragment_129.06583,fragment_147.07582,fragment_116.07015,fragment_101.07117,fragment_195.07569,fragment_167.08158,fragment_227.10395,fragment_213.08624,fragment_241.082,fragment_213.12438,fragment_240.09852
Topic 5,fragment_65.03877,fragment_148.03977,fragment_166.04983,fragment_182.11724,fragment_148.11175,fragment_68.04931,fragment_89.0594,fragment_128.04973,fragment_175.12224,fragment_260.13924,fragment_67.04206,fragment_92.04951,fragment_107.06984,fragment_122.06811,fragment_146.09623,fragment_107.06036,fragment_138.05451,fragment_118.06547,fragment_221.12831
Topic 6,fragment_80.04949,fragment_108.04426,fragment_105.03345,fragment_53.03889,fragment_94.06505,fragment_109.05257,fragment_122.06034,fragment_56.96508,fragment_134.01288,fragment_136.03974,fragment_110.05976,fragment_164.03461,fragment_67.05455,fragment_126.05442,fragment_138.05451,fragment_116.00241,fragment_68.01312,fragment_81.05755,fragment_182.04465
Topic 7,fragment_98.98387,fragment_62.92941,fragment_57.03369,fragment_91.05413,fragment_116.99462,fragment_224.12739,fragment_242.13989,fragment_98.9847,fragment_127.01556,fragment_121.96575,fragment_134.09682,fragment_189.8815,fragment_162.1031,fragment_229.11687,fragment_221.1404,fragment_173.02215,fragment_137.07039,fragment_161.10742,fragment_119.07336
Topic 8,fragment_127.0387,fragment_69.03368,fragment_85.02833,fragment_145.04997,fragment_97.02839,fragment_61.02851,fragment_81.03337,fragment_109.0288,fragment_99.04455,fragment_57.03369,fragment_73.02851,fragment_163.06062,fragment_99.04366,fragment_162.0756,fragment_91.03921,fragment_101.02309,fragment_115.03913,fragment_103.03868,fragment_141.05511
Topic 9,fragment_53.0026,fragment_88.07588,fragment_72.08072,fragment_58.06553,fragment_123.01112,fragment_90.09112,fragment_59.04942,fragment_168.0692,fragment_209.08106,fragment_110.07086,fragment_67.01808,fragment_109.0288,fragment_163.07451,fragment_108.04426,fragment_126.05442,fragment_209.0439,fragment_458.1229,fragment_181.08644,fragment_191.07107
Topic 10,fragment_69.03368,fragment_55.05468,fragment_83.04895,fragment_101.05975,fragment_73.0647,fragment_129.05473,fragment_103.03868,fragment_147.06556,fragment_99.04366,fragment_259.11604,fragment_124.07536,fragment_70.02898,fragment_116.03449,fragment_184.09601,fragment_160.96762,fragment_581.24226,fragment_115.0508,fragment_230.04731,fragment_184.04364
Topic 11,fragment_112.08703,fragment_60.0558,fragment_78.03416,fragment_125.00056,fragment_123.05504,fragment_98.98387,fragment_89.00601,fragment_143.01708,fragment_106.02879,fragment_92.05787,fragment_71.01309,fragment_129.11296,fragment_184.07456,fragment_300.14333,fragment_74.07118,fragment_125.04693,fragment_120.05288,fragment_57.04508,fragment_305.16257
Topic 12,fragment_84.08071,fragment_128.07032,fragment_60.04476,fragment_56.04978,fragment_98.09682,fragment_61.01085,fragment_225.12393,fragment_120.04802,fragment_78.03737,fragment_273.14302,fragment_130.04926,fragment_103.02173,fragment_147.11301,fragment_146.08112,fragment_130.0871,fragment_164.10657,fragment_142.08712,fragment_291.15295,fragment_291.15733
Topic 13,fragment_55.01824,fragment_143.01554,fragment_68.99727,fragment_219.10217,fragment_203.07143,fragment_139.00237,fragment_277.14312,fragment_111.00762,fragment_157.01314,fragment_283.16892,fragment_130.066,fragment_261.14913,fragment_163.03908,fragment_301.1767,fragment_153.09094,fragment_165.09196,fragment_135.04439,fragment_135.08015,fragment_239.17965
Topic 14,fragment_68.0498,fragment_81.03337,fragment_114.05541,fragment_96.08073,fragment_174.0763,fragment_124.07647,fragment_102.06629,fragment_74.07118,fragment_164.09263,fragment_144.9935,fragment_85.03953,fragment_140.11901,fragment_127.0495,fragment_90.05539,fragment_133.06448,fragment_133.05119,fragment_133.05284,fragment_134.04528,fragment_133.06055
Topic 15,fragment_125.07087,fragment_95.06076,fragment_91.05413,fragment_128.10739,fragment_97.07643,fragment_121.02826,fragment_124.087,fragment_169.06132,fragment_96.06838,fragment_151.03858,fragment_109.07644,fragment_179.03309,fragment_197.04434,fragment_299.09138,fragment_163.07451,fragment_235.09632,fragment_53.0026,fragment_107.04885,fragment_92.99744
Topic 16,fragment_86.09652,fragment_84.04487,fragment_143.11762,fragment_146.11787,fragment_69.04509,fragment_95.02388,fragment_52.01851,fragment_160.1326,fragment_112.05107,fragment_189.12435,fragment_68.01312,fragment_129.10184,fragment_267.13461,fragment_90.09184,fragment_211.04215,fragment_315.15511,fragment_179.03537,fragment_175.00169,fragment_170.04555
Topic 17,fragment_111.04429,fragment_95.04936,fragment_89.06008,fragment_133.08628,fragment_137.05983,fragment_177.11272,fragment_155.07009,fragment_113.0602,fragment_239.14817,fragment_99.04455,fragment_195.12241,fragment_283.17358,fragment_151.0967,fragment_162.05453,fragment_243.12234,fragment_327.20145,fragment_131.07078,fragment_85.1013,fragment_99.04366
