PiMP Compound ID,Polarity,Detected m/z,RT,Intensity
2424,+,354.1295,429.48,3967390.75
2477,+,354.1408,735.04,3767671.667
5138,+,260.0826,232.43,3451589
777,+,256.03,693.5,2427559.083
181,+,270.1091,470.62,2189550.333
2299,+,238.092,518.05,1643203.253
2300,+,243.0474,519.31,1495664.377
2605,+,206.0457,539.75,1314105.67
4372,+,230.9999,695.1,1305630.42
5419,+,397.2238,236.37,1299405.087
6428,+,323.0789,413.15,1336570.21
778,+,274.0405,693.09,1229798.713
3322,+,324.0591,613.39,890533.17
1255,+,428.1411,597.15,861084.0433
3208,+,330.1295,622.05,862293.2333
5421,+,413.219,245.14,843271.3133
2758,+,254.1173,269.86,837660.25
2672,+,378.1403,447.5,821693.6033
4373,+,246.9775,695.38,795583.25
5918,+,566.2631,294.89,778493.44
3108,+,211.0812,503.57,753995.0633
2858,+,175.0965,266.27,760807.3233
3209,+,368.1561,616.76,721030.23
820,+,283.0326,499.83,755638.24
3354,+,218.0811,253.86,709775.76
6744,+,220.073,429.76,680206.71
478,+,266.0536,513.15,680347.0233
910,+,166.1074,494.94,625425.8333
4844,+,288.0719,470.11,600080.0033
3527,+,439.1925,493.39,590681.6867
779,+,272.0076,693.49,552816.92
3542,+,134.1176,713.58,552042.0867
823,+,150.1125,497.02,518532.54
4988,+,565.1771,581.15,517137.0567
2668,+,269.0878,524.03,2569696.25
2682,+,590.1805,565.37,1060588.42
6663,+,322.045,613.81,840622
5143,+,289.074,232.15,886942.21
4313,+,308.9924,643.81,1007959.793
3494,+,231.0975,616.01,640782.3567
1309,+,244.129,539.65,900080.23
2407,+,415.181,547.32,624152.8567
536,+,567.1912,582.05,628593.595
6660,+,261.079,270.02,519690.095
6701,+,319.0843,280.35,650521.3567
460,+,455.1883,514.21,4000435.167
2852,+,393.1366,550.18,1878598.753
1953,+,225.0968,449.04,1562341.543
2172,+,606.2326,292.18,1104562.543
4314,+,188.9719,643.81,626548.5233
3075,+,296.1128,482.11,695297.02
3393,+,324.0592,622.28,764969.25
6280,+,310.9026,1392.21,1208669.503
5014,+,301.1199,411.81,731658.25
2652,+,234.077,596.3,671467.0633
4371,+,212.9894,697.61,3908850.917
5165,+,145.0143,632.21,17087336.67
6063,+,173.0456,266.55,3685243.667
4879,+,87.0088,421.65,42337389.33
776,+,210.0608,696.16,29793915.33
4834,+,395.1325,469.46,7040971.333
5137,+,217.0527,229.45,28823858.67
1938,+,291.6649,674.84,2015934.187
247,+,487.1784,559.83,46749638.67
4833,+,266.0898,469.14,5719657.667
180,+,268.1039,470.81,244884144
2062,+,332.1339,506.41,2112093.46
3198,+,187.1229,1423.46,1179916.583
3143,+,187.1228,1420.67,1220622.71
2854,+,141.0546,269.68,1789204.67
1867,+,275.0526,482.1,2825390.583
248,+,509.1607,560.76,6087367.333
5771,+,145.0507,569.88,2994952.917
5924,+,173.0092,542.41,4784228.917
5501,+,379.2133,248.7,10812150
5474,+,383.2082,242.85,949461.6267
5149,+,353.1511,240.02,710827.6267
4965,+,99.0088,294.26,33116210
6621,+,235.0826,478.62,775297.5433
3107,+,185.0419,501.49,1125102.42
6646,+,288.9877,701.32,890985
3483,+,169.1335,776.01,564030.5433
2855,+,381.2273,262.86,1477519.21
830,+,215.0161,709.97,1909495.587
3356,+,385.2221,249.67,574684.3033
4966,+,161.0456,296.44,11701058.67
2061,+,258.1082,518.86,6458264.5
2170,+,238.0709,293.63,4288407.25
2405,+,437.1629,547.88,1949070.253
2171,+,568.2769,292.41,2153501.793
4998,+,333.135,220.34,8064108.167
4969,+,395.2079,298.1,3883880.667
5141,+,333.1351,227.03,1985867.127
465,+,250.0797,513.78,1393836.587
5277,+,242.0786,558.46,20867005.33
2404,+,388.1813,549.53,2997966.75
6706,+,185.0457,297.83,573729.3133
5809,+,114.0197,416.22,1105772.587
4677,+,487.1326,498.11,848097.4567
534,+,284.0987,583.45,44096980
1866,+,254.1234,480.64,4902429.167
6672,+,322.045,621.15,647102.79
4967,+,236.0567,293.99,7468338.667
5416,+,281.1397,240.61,15463010.33
5841,+,319.1192,224.99,5983610.167
2754,+,137.0597,275.45,2085911.377
5720,+,365.1975,250.62,7957970.5
