"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","bin_id"
"12900",12900,495,2,186.604,111.055533541279,40102.97265625,1,575,0,"111.0555"
"12901",12901,534,2,193.955,189.881559973915,80397.96875,1,1642,0,"189.8815"
"12902",12902,534,2,193.955,64.9275647804492,23302.875,1,1642,0,"64.9275"
"12903",12903,534,2,193.955,62.9295068131536,23054.62109375,1,1642,0,"62.92941"
"12907",12907,590,2,205.005,261.113346065044,188174.546875,1,0,0,"261.11335"
"12908",12908,590,2,205.005,205.048657685722,139232.296875,1,0,0,"205.04866"
"12909",12909,590,2,205.005,195.029556448968,60385.19921875,1,0,0,"195.0292"
"12910",12910,590,2,205.005,81.0334566848144,33689.078125,1,0,0,"81.03337"
"12911",12911,590,2,205.005,177.055173151647,26901.080078125,1,0,0,"177.05473"
"12912",12912,590,2,205.005,109.028767287597,20585.994140625,1,0,0,"109.0288"
"12913",12913,590,2,205.005,53.0389173259437,16738.3359375,1,0,0,"53.03889"
"12914",12914,590,2,205.005,91.0543137923531,15373.5517578125,1,0,0,"91.05413"
"12915",12915,590,2,205.005,55.018211496056,10838.8115234375,1,0,0,"55.01824"
"12916",12916,590,2,205.005,103.054507047857,9888.9453125,1,0,0,"103.05449"
"12917",12917,590,2,205.005,69.0700968443898,9306.6875,1,0,0,"69.07013"
"12918",12918,590,2,205.005,219.102444872904,9272.337890625,1,0,0,"219.10217"
"12919",12919,590,2,205.005,175.03870268868,9240.13671875,1,0,0,"175.03868"
"12920",12920,590,2,205.005,79.054155927172,8885.791015625,1,0,0,"79.05417"
"12921",12921,590,2,205.005,159.044365988252,8400.7109375,1,0,0,"159.04437"
"12941",12941,620,2,208.577,91.0541129324665,11714.1640625,1,0,0,"91.05413"
"12942",12942,620,2,208.577,128.062008260041,10088.2900390625,1,0,0,"128.06203"
"12955",12955,667,2,212.587,69.0701146233544,10386.93359375,1,0,0,"69.07013"
"12956",12956,667,2,212.587,91.0541479779736,8102.69189453125,1,0,0,"91.05413"
