"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","fragment_bin_id","loss_bin_id"
"12905",12905,3860,2,407.625,111.009034021816,15420.7392578125,1,0,0,"111.00859",NA
"12908",12908,3908,2,420.226,153.067720814576,32843.40234375,1,0,0,"153.06785",NA
"12909",12909,3908,2,420.226,125.035402376847,21237.771484375,1,0,0,"125.03545",NA
"12910",12910,3908,2,420.226,67.0300982217484,14999.98046875,1,0,0,"67.0301",NA
"12919",12919,3944,2,417.031,195.065590550538,1925248.75,1,0,0,"195.06543","162.05307"
"12920",12920,3944,2,417.031,111.045353730898,261727.0625,1,0,0,"111.04523",NA
"12921",12921,3944,2,417.031,81.034356973797,259182.703125,1,0,0,"81.03449",NA
"12922",12922,3944,2,417.031,109.065698250878,142440.71875,1,0,0,"109.06559",NA
"12923",12923,3944,2,417.031,125.024894482792,109599.9765625,1,0,0,"125.02487",NA
"12924",12924,3944,2,417.031,65.0031625075415,88610.65625,1,0,0,"65.00311",NA
"12925",12925,3944,2,417.031,87.0450014547238,54924.609375,1,0,0,"87.04517",NA
"12926",12926,3944,2,417.031,133.065701953654,52002.3984375,1,0,0,"133.06559",NA
"12927",12927,3944,2,417.031,85.0660848347834,51086.7421875,1,0,0,"85.06605",NA
"12928",12928,3944,2,417.031,57.0342352769803,34787.25,1,0,0,"57.03411",NA
"12929",12929,3944,2,417.031,59.0134366769189,20547.41015625,1,0,0,"59.01349",NA
"12930",12930,3944,2,417.031,127.076972213483,19843.802734375,1,0,0,"127.07695",NA
"12934",12934,4002,2,278.131,93.0342815511688,68658.671875,1,0,0,"93.03432","43.98962"
"12936",12936,4013,2,294.895,124.040289603094,504899.59375,1,0,0,"124.04034","86.03709"
"12937",12937,4013,2,294.895,94.0301864476201,399632.8125,1,0,0,"94.03029","116.04741"
"12938",12938,4013,2,294.895,66.034583512892,190344.484375,1,0,0,"66.03468","144.04304"
"12939",12939,4013,2,294.895,78.0347264470121,15602.8310546875,1,0,0,"78.03467","132.04241"
"12940",12940,4014,2,417.327,124.040314824524,353274.78125,1,0,0,"124.04034","86.03709"
"12941",12941,4014,2,417.327,94.0302508023151,245155.03125,1,0,0,"94.03029","116.04741"
"12942",12942,4014,2,417.327,66.0347047379593,102638.046875,1,0,0,"66.03468","144.04304"
"12943",12943,4014,2,417.327,122.025370276954,16592.822265625,1,0,0,"122.02532","88.05276"
