,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
73.06479_468.549_6134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.797333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781333333333,0.0,0.0,0.0,0.0
76.0757_1027.18_12147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.791005291005,0.0,0.830687830688,0.0,0.0
81.03351_565.722_7700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558974358974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08205128205,0.0,0.0,0.0,0.0,0.0
81.03351_671.807_9177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06133333333,0.0,0.0,0.0,0.0,0.0
84.04436_483.773_6482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.818407960199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743781094527,0.0,0.0,0.0
84.08074_565.722_7701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.751243781095,0.0,0.0,0.0,0.0,0.0,0.766169154229,0.0,0.0,0.0
85.02839_669.781_9597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821333333333,0.0,0.0,0.0,0.805333333333,0.0
86.06001_427.263_5101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.05967_437.038_5624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.550724637681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272463768116,0.0,0.0,1.82028985507,0.0,0.0,0.359420289855,0.0,0.0,0.0,0.0
89.10731_756.994_10470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.811594202899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795783926219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.05496_630.413_8889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.04438_393.576_5186,0.0,0.0,0.0,0.797333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.02843_466.972_6357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.660173160173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0367965368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.02844_669.781_9933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86402266289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56940509915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184135977337,0.0,0.0,0.0,0.0,0.0
97.02844_699.829_9934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.797333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.06005_356.523_5976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34583333333
98.06006_390.305_5974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955696202532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26898734177,0.0,0.0,0.0,0.319620253165,0.0,0.0,0.0,0.0,0.0
99.04405_443.301_6974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813333333333,0.0,0.0,0.0,0.0,0.0
100.07567_387.071_6229,1.09649122807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.168261563,0.54625199362,0.0,1.04864433812
104.07057_645.99_10478,0.254125412541,0.0,0.0,1.25412541254,0.0,0.0,0.0,0.907590759076,0.0,0.0,0.0,0.0,0.0,1.05610561056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.07058_556.072_7803,0.0,0.0,0.722415795587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736353077816,0.0,0.0
104.0706_403.273_7215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.779487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.10683_933.266_12205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829885057471,0.0,0.0
104.10696_1012.39_12209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81917211329,0.0,0.0
104.10696_988.951_12207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821648216482,0.0,0.0
105.06974_241.536_3885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604747162023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08152734778,0.0,0.0,0.0,0.0,0.0
108.04439_422.465_5674,0.0,0.0,0.599176954733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618930041152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77448559671,0.0,0.0,0.0,0.342386831276,0.0
109.02845_464.065_6117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46756152125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199105145414,0.0,0.0,0.0,0.0,0.0
109.02845_668.607_9342,0.0,0.0,0.0,0.0,0.0,0.0,1.09122807018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57543859649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575438596491,0.0,0.0,0.0,0.20701754386,0.0
110.06007_380.61_6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763020833333,0.0,0.0,0.0,0.263020833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55208333333
111.04405_593.907_10460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424100156495,0.0,0.0,0.0,0.0,0.0,0.0,0.461658841941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.11681_183.681_6834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398666666667,0.0,0.414666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.11682_229.964_6828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101449275362,0.0,0.315734989648,0.116977225673,0.312629399586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.05052_552.842_7704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359595959596,0.0,0.0,0.0,0.0,0.368686868687,0.0,0.0,0.0,0.0,0.0,0.0,0.105050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.07092_452.947_6418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0763187429854,0.0,0.0,0.0,0.0,0.194163860831,0.0,0.0,0.0,0.564534231201
116.07048_578.163_12287,0.0,0.0,0.406666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.07059_876.985_12288,0.0,0.0,0.406666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0706_619.436_12290,0.0,0.0,0.406666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.07061_433.724_7002,0.0,0.0,0.397932816537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.394056847545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.05465_414.504_7009,0.0,0.0,0.0621147463253,0.0,0.0,0.0,0.0706495969654,0.348032242769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134660976766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19724988146,0.0,0.0734945471788,0.0,0.0
117.09101_277.93_4420,0.0,0.0,0.0,0.0,0.0,0.555555555556,0.189435336976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.08616_532.509_7762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806666666667,0.0,0.0
118.08621_568.665_7764,0.0,0.0,0.235439900867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237298636927,0.0,0.0,0.0,0.0,0.436183395291,0.0,0.0
118.08624_380.61_7763,0.0,0.0,0.322463768116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349637681159,0.0,0.0,0.0,0.0,0.140398550725,0.0,0.0
119.08965_568.665_7706,0.0,0.0,0.306103286385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452582159624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779342723005,0.0,0.0
120.06555_633.586_9983,0.0,0.0,0.368553459119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779874213836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.383647798742,0.0,0.0,0.0
120.08076_499.47_6670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35372069317,0.0,0.0,0.0,0.0662589194699,0.0,0.0,0.0,0.442405708461,0.0,0.0,0.0,0.0,0.0
121.06477_183.681_7017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406535947712,0.386928104575,0.0,0.0,0.0,0.0
121.06478_196.185_7013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890648567119,0.0,0.0,0.0,0.0,0.0
