	RT	M1_1	M1_2	M1_3	M14_1	M14_2	M14_3	M18_1	M18_2	M18_3	M19_1	M19_2	M19_3	M2_1	M2_2	M2_3	M22_1	M22_2	M22_3_150410163257	M23_1	M23_2	M23_3	M24_1	M24_2	M24_3	M26_1	M26_2	M26_3	M28_1	M28_2	M28_3	M3_1	M3_2	M3_3	M4_1	M4_2	M4_3	M5_1	M5_2	M5_3	SOLVENT_BLANK	NDC24_1	NDC24_2	NDC24_3	NDC6_1	NDC6_2	NDR_3	NDC8_1	NDC8_2	NDC8_3	relation.id	relation.ship	codadw	charge
115.06310499119935	721.7927756796078	1.8008922E7	1.515165E7	2.3644918E7	1.5316098E7	1.3150888E7	2.0769322E7	2.417914E7	1.5253008E7	2.3249842E7	1.7099868E7	2.2361676E7	2.4374728E7	2.0627714E7	1.7264624E7	2.6735756E7	2.8367516E7	1.9717422E7	1.8960944E7	2.8608942E7	1.9912658E7	2.3950968E7	1.7757232E7	2.4260942E7	2.0896472E7	1.7144966E7	2.972957E7	2.255377E7	1.5915063E7	2.1971776E7	1.4429412E7	1.7447992E7	2.069658E7	2.3480808E7	2.2806144E7	1.5506297E7	2.2242172E7	1.7979422E7	2.4373698E7	1.7224624E7	4434.12548828125	1.8475544E7	2.2211092E7	1.7606632E7	1.8644354E7	1.7628282E7	3.0860216E7	2.0309174E7	2.5375238E7	3.5457812E7	0	bp	0.9600136550636772	1
69.05779330016865	721.6803676060268	1723365.25	1473772.25	1837821.125	1421283.125	1219306.125	1584140.875	1589927.125	1684861.75	1881344.75	1676606.0	1843038.375	1919510.875	1914006.25	1685209.25	2263609.25	2080013.0	1754212.75	1786323.125	2352082.5	1839057.375	1902292.125	1816203.75	2125545.25	1990364.375	1784606.25	2176791.0	2193097.0	1532686.5	1851658.375	1406018.125	1647350.5	1715573.0	2007478.75	1846982.0	1485771.125	1747834.375	1687474.125	1632753.25	1545825.125	500.1047668457031	1726150.75	2009625.5	1985766.625	1925937.25	1795808.5	2458366.25	1933865.75	2355422.25	2489743.5	0	formic acid	0.9583623486636631	
116.06623007759579	721.7249394630899	1014356.5	846734.4375	1302891.875	855552.4375	737322.25	1183789.625	1333939.625	848828.125	1316047.375	937348.8125	1219791.125	1321135.75	1144251.75	956901.1875	1474542.5	1584187.625	1104351.75	1045353.5	1588456.375	1118726.375	1322300.25	993343.625	1378855.125	1171570.125	948749.4375	1630030.5	1281667.125	876249.125	1202482.0	797054.625	989961.625	1138613.0	1290403.125	1263959.625	873945.6875	1231347.75	976318.25	1332195.875	970182.6875	208.4986114501953	1026843.3125	1253984.5	975732.6875	1062723.75	1015460.5	1739227.0	1135663.625	1383046.75	1975815.75	0	bp|C13 isotope #1	0.9546760785926028	
117.06702578793319	721.5900001525879	66969.40625	49764.32421875	83674.78125	57612.75390625	49239.0390625	70166.1015625	80334.5	51675.5546875	77511.53125	60529.80078125	79427.6875	75589.796875	66887.609375	60741.8046875	89163.9765625	103650.0625	67571.78125	67690.296875	95745.2421875	70245.9296875	88038.3515625	60997.484375	84933.4140625	72488.7421875	58659.37890625	94569.53125	80905.28125	56477.26171875	86919.0234375	50601.5625	60859.45703125	75856.734375	80595.03125	83032.296875	50626.21484375	85422.6484375	61234.3671875	85072.859375	62216.609375	0.0	72573.4609375	79223.5859375	56928.15625	62814.83984375	66815.140625	108715.6796875	69710.90625	85084.2109375	119191.296875	0	bp|O18 isotope #1	0.943312350933377	
70.061101744023	721.4428774515787	73550.84375	58971.578125	66059.0390625	59544.97265625	51916.4140625	61632.69140625	54010.71484375	69140.171875	78109.5078125	64772.109375	73871.4296875	77289.0703125	83546.8671875	69411.5703125	86042.0859375	82801.609375	66010.9296875	72454.890625	89821.71875	81736.828125	70144.4375	76870.3828125	87774.609375	73376.3203125	74757.1796875	84785.7890625	87330.1640625	62406.75	68068.8984375	56377.19140625	64735.8046875	67318.8203125	73559.8203125	66853.4453125	65066.37109375	73190.0234375	74871.859375	61932.0078125	60741.03125	0.0	71750.9609375	89277.765625	79403.9453125	82896.1953125	72338.2109375	93100.3671875	76371.3515625	100025.0234375	96714.0234375	0	formic acid|C13 isotope #1	0.9548365715165363	
116.05991889092722	721.6651255289713	36530.1328125	30010.41796875	45799.7890625	31051.3671875	24129.189453125	48704.9140625	51725.8046875	31910.734375	49248.55078125	30604.0234375	44643.046875	51753.9453125	47192.68359375	34897.76953125	50295.375	53946.18359375	38919.796875	37308.0859375	56714.71875	37824.640625	46794.62109375	33092.82421875	46305.05078125	49042.15625	32388.306640625	65708.4921875	42966.78515625	30731.939453125	43943.38671875	31761.166015625	31504.46484375	45771.66015625	50728.55078125	48878.3515625	30662.96875	40919.578125	36403.8671875	51612.015625	35207.1953125	0.0	36898.37109375	46622.69921875	34191.0703125	31357.54296875	37511.21875	61504.24609375	42901.546875	49813.890625	79870.125	0	bp|N15 isotope #1	0.9573701207822447	
156.08951352393242	721.0749748385682	13271.232421875	8471.8447265625	24975.541015625	9851.9560546875	6772.13671875	18739.662109375	38980.453125	10226.8427734375	20484.43359375	10882.8408203125	15968.98046875	20213.26953125	11278.3212890625	13448.03125	28154.3046875	15499.1123046875	19790.671875	9775.0185546875	33836.92578125	9543.3076171875	27595.365234375	13803.2080078125	39351.5859375	17002.546875	12604.18359375	30680.515625	15299.7001953125	11252.3115234375	15956.609375	6651.47607421875	11736.6240234375	22019.0	31349.919921875	21615.703125	9905.4384765625	23588.724609375	14420.8466796875	21143.458984375	17056.7890625	386.5179443359375	8153.45751953125	14727.9443359375	10865.9033203125	12123.765625	18216.376953125	37457.8203125	15554.625	21176.947265625	45467.37890625	0	2M+ACN+H	0.9295103718364978	
230.1259239392499	722.1459986368815	9693.064453125	4415.37060546875	21417.630859375	7295.3818359375	3540.29833984375	10552.1435546875	26079.248046875	5711.48876953125	17321.375	5800.2314453125	15902.244140625	9572.349609375	8250.962890625	7866.81787109375	13281.322265625	17558.001953125	9615.0556640625	6286.98095703125	13035.51953125	3797.162109375	10133.4375	11464.1494140625	11465.9892578125	7980.99072265625	6298.69677734375	28663.6640625	11024.00390625	5977.205078125	12829.646484375	4497.5322265625	3970.972412109375	7678.24560546875	10468.8486328125	13534.01171875	5231.1728515625	20092.986328125	12521.0751953125	23276.1796875	10079.654296875	0.0	6736.06005859375	7192.76025390625	4851.19140625	8524.0634765625	7591.84326171875	22342.369140625	11980.7744140625	10856.4775390625	30105.333984375	0	2-mer	0.8749656322971208	
117.06960209378657	721.5952504475912	12959.546875	13400.3974609375	17761.01953125	12650.046875	9400.1650390625	15225.46875	20498.677734375	11663.572265625	17491.650390625	11593.673828125	15869.7421875	16948.072265625	14273.87890625	11142.5908203125	17066.72265625	29235.36328125	16252.7490234375	14672.775390625	23741.638671875	15257.9443359375	16829.298828125	13067.6943359375	18970.8203125	15715.6015625	12878.36328125	24961.947265625	18463.640625	12341.2822265625	14794.88671875	9831.6943359375	12151.21484375	16502.3828125	20840.919921875	21473.658203125	9933.6318359375	19175.841796875	12907.6298828125	18489.8828125	12646.76171875	0.0	14139.884765625	18150.6171875	12763.65234375	13063.5927734375	14442.2158203125	23531.091796875	15879.720703125	20334.44140625	27677.1171875	0	bp|C13 isotope #2	0.9476085482175126	
141.07877402918928	723.4680026307398	3993.113525390625	1840.399169921875	6114.1796875	3036.39111328125	2314.505615234375	5730.46875	5890.30126953125	3817.623046875	4605.37353515625	2831.829345703125	3336.073486328125	5087.916015625	7020.580078125	3328.9482421875	6785.921875	7831.431640625	6854.29833984375	3831.908447265625	7032.1123046875	4436.96923828125	5544.14697265625	3629.619384765625	5363.53564453125	4205.53125	5140.74609375	7576.11474609375	6474.3759765625	2984.71240234375	4251.505859375	2769.99853515625	3759.432373046875	3980.6650390625	6958.38671875	4726.68603515625	2552.2529296875	5774.828125	3170.359375	5635.0146484375	4966.8134765625	237.851318359375	3498.52587890625	4349.90966796875	3591.20556640625	3790.9970703125	4715.52783203125	11080.5849609375	5125.58935546875	6993.9638671875	8377.310546875	0	potential bp	0.9331413857373422	
