Topic 0,128.03588,84.04536,200.05778,212.05781,170.04613,89.02425,173.1038,272.07798,239.068,70.02953,154.08736,86.03324,113.03571,125.02465,125.06177,125.06049,125.03528,111.04609,125.03123
Topic 1,135.03005,109.06645,161.04638,267.10015,164.03557,125.0976,263.13189,59.01341,254.15077,285.04084,259.09937,182.11815,123.00906,122.98584,123.03244,125.03123,123.04527,123.08151,124.01656
Topic 2,116.07133,188.09308,128.03588,127.00339,101.06055,78.00962,155.0722,306.14967,141.05646,141.02003,235.09803,297.13797,123.08151,122.06068,122.02516,122.98584,123.00906,121.06565,121.03018
Topic 3,108.04539,138.05615,120.04517,86.9908,181.02757,94.03013,125.03123,296.12999,122.06068,122.98584,122.02516,123.03244,123.04527,123.08151,124.01656,124.04013,125.00078,121.06565,121.03018
Topic 4,57.03399,72.99277,251.11248,143.03582,104.03551,99.00927,84.02205,69.03438,74.99077,83.0136,128.05507,125.03123,125.02465,125.00078,124.04013,124.01656,123.08151,123.03244,123.04527
Topic 5,101.02396,186.07829,271.02517,192.06688,226.08401,125.00078,124.04013,124.01656,123.08151,123.04527,123.03244,869.29095,123.00906,125.02465,122.06068,122.02516,121.06565,121.03018,121.029
Topic 6,130.08809,139.07729,171.10213,212.10493,147.04621,108.04539,65.00303,194.09477,200.13038,214.10801,124.04013,124.01656,123.08151,123.04527,123.03244,122.98584,123.00906,125.02465,122.06068
Topic 7,111.04506,181.05066,193.04999,133.0667,207.14011,180.04312,184.03768,248.1063,233.08365,205.05016,121.06565,179.0368,118.04224,154.06194,183.02838,205.08867,181.01369,123.00906,122.06068
Topic 8,87.00927,60.99272,56.99529,139.00404,314.04695,177.05637,128.01797,197.02193,71.95467,122.06068,122.02516,121.06565,122.98584,125.03123,123.03244,123.04527,123.08151,124.01656,121.03018
Topic 9,154.94739,76.97013,94.98082,208.09911,170.11934,153.01782,264.13477,371.22055,124.01656,125.02465,125.00078,124.04013,123.04527,123.08151,125.03528,123.03244,123.00906,122.98584,122.06068
Topic 10,78.95928,96.96984,78.9591,152.99588,171.00662,122.98584,125.00078,51.7904,138.98082,164.07159,124.04013,125.02465,123.08151,124.01656,125.03528,123.04527,123.03244,123.00906,122.06068
