Topic 11,fragment_152.02578,fragment_212.04858,fragment_184.05331,fragment_155.02613,fragment_89.03855,fragment_183.02031,fragment_77.03869,fragment_138.99476,fragment_105.03338,fragment_370.05065,fragment_352.04231,fragment_51.02335,fragment_125.01505,fragment_65.03876,fragment_133.07609,fragment_132.07688,fragment_132.08126,fragment_132.10153,fragment_132.39426
Topic 12,loss_75.03203,loss_127.02662,loss_85.01616,loss_103.0267,fragment_95.04928,fragment_77.03869,loss_113.0474,fragment_133.04976,loss_197.12615,fragment_133.05262,fragment_133.06434,fragment_133.04831,fragment_133.05131,fragment_133.08622,fragment_132.99595,fragment_132.39426,fragment_133.07609,fragment_133.10075,fragment_133.09596
Topic 13,fragment_55.01819,loss_197.12615,fragment_133.09783,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.10075,fragment_132.08126,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645
Topic 14,fragment_84.04465,fragment_133.08622,fragment_89.06003,fragment_177.11272,fragment_107.07075,fragment_156.02859,fragment_106.06595,loss_197.12615,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.09783,fragment_133.09596,fragment_132.39426,fragment_133.10075,fragment_133.59714
Topic 15,fragment_166.09832,fragment_148.08754,fragment_194.09252,fragment_195.12512,loss_173.07976,fragment_81.04501,fragment_96.08069,loss_116.09482,loss_18.01099,fragment_264.18127,fragment_138.1021,fragment_183.12377,fragment_81.05751,fragment_150.07828,loss_117.07887,fragment_165.11373,fragment_121.07613,loss_132.08952,fragment_138.06682
Topic 16,loss_181.0735,fragment_91.05405,loss_135.06759,loss_174.06387,loss_164.04699,loss_118.04179,fragment_101.07114,loss_182.05756,loss_136.0522,fragment_83.06033,fragment_136.07581,fragment_147.07584,fragment_129.0656,fragment_102.05461,fragment_133.09783,fragment_133.04976,fragment_132.08126,fragment_132.10153,fragment_132.39426
Topic 17,loss_131.05802,fragment_111.05517,fragment_129.0656,fragment_174.08719,fragment_156.06334,fragment_121.07613,loss_36.02171,fragment_163.08595,loss_88.05254,fragment_131.08199,fragment_114.05524,fragment_133.06434,fragment_133.05131,fragment_133.05262,fragment_133.04976,fragment_133.04831,fragment_132.99595,loss_197.12615,fragment_133.08622
Topic 18,fragment_81.03328,fragment_115.03912,fragment_132.39426,loss_197.12615,fragment_132.08126,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756
Topic 19,fragment_76.07555,fragment_118.08606,loss_117.07887,loss_135.08938,loss_59.04848,fragment_128.0811,loss_177.09994,fragment_129.07678,fragment_98.03512,fragment_160.0977,fragment_107.04976,fragment_135.04424,fragment_133.05262,fragment_133.05131,loss_197.12615,fragment_133.04976,fragment_133.04831,fragment_132.99595,fragment_132.39426
Topic 20,loss_79.95759,loss_97.96652,fragment_127.01268,fragment_332.10604,fragment_302.0609,fragment_316.13383,fragment_331.09798,fragment_151.0506,fragment_370.06085,fragment_154.02381,fragment_143.00691,fragment_299.12543,fragment_115.01211,fragment_125.01505,fragment_314.09611,fragment_84.08065,fragment_134.02756,fragment_132.39426,fragment_132.99595
Topic 21,fragment_61.02856,fragment_78.9669,loss_163.04779,fragment_74.00601,loss_89.04752,loss_122.00377,fragment_120.01169,fragment_152.96706,fragment_90.96681,loss_17.02628,fragment_224.98878,fragment_134.9566,fragment_74.02347,fragment_196.00966,fragment_73.02844,fragment_92.01676,fragment_142.15939,fragment_151.0506,fragment_74.98971
Topic 22,fragment_87.05538,fragment_90.05527,fragment_132.07688,fragment_115.0507,loss_132.04208,loss_174.06387,fragment_114.06575,loss_192.07405,loss_150.0526,fragment_264.11969,loss_149.06856,loss_18.01064,fragment_133.59714,fragment_133.05131,fragment_134.04673,fragment_132.10153,fragment_134.04498,fragment_132.39426,fragment_132.99595
Topic 23,fragment_88.0397,fragment_85.08404,loss_173.06837,loss_192.07405,fragment_109.0525,loss_77.04739,loss_89.04752,fragment_73.08415,fragment_162.11279,fragment_145.10502,loss_161.0685,fragment_195.14811,fragment_167.01597,fragment_134.01282,fragment_133.59714,fragment_133.04976,fragment_134.05987,fragment_133.05131,fragment_134.04803
Topic 24,fragment_68.04975,loss_197.12615,fragment_133.09783,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.10075,fragment_132.08126,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645
Topic 25,loss_146.06905,loss_129.04234,fragment_70.06511,loss_192.07405,fragment_89.10709,fragment_172.95326,fragment_130.0857,fragment_147.11293,fragment_121.02825,fragment_199.10682,fragment_154.94192,fragment_190.96291,fragment_216.13412,fragment_200.13914,fragment_200.98519,fragment_136.93208,fragment_252.91892,fragment_167.11825,loss_135.08938
