Topic 0,loss_235.10536,loss_207.11061,loss_179.11526,fragment_60.08102,loss_221.12634,loss_249.12121,loss_205.13126,loss_143.09447,loss_59.07318,fragment_231.0867,fragment_103.03928,fragment_101.0597,fragment_59.04942,fragment_83.08553,fragment_93.06973,fragment_139.07613,fragment_114.06575,loss_146.05764,fragment_175.09596
Topic 1,fragment_70.06513,fragment_116.07112,fragment_156.97438,fragment_174.98605,fragment_179.99153,fragment_129.06715,fragment_128.07029,fragment_128.08127,fragment_128.10734,fragment_128.95326,fragment_129.01853,fragment_129.05473,fragment_129.06574,fragment_129.06998,fragment_128.04549,fragment_129.07704,fragment_129.10188,fragment_129.13808,fragment_130.04914
Topic 2,fragment_82.06495,fragment_128.07029,fragment_83.0733,fragment_67.04148,fragment_87.05545,loss_99.03184,loss_60.03235,fragment_163.10822,fragment_115.05092,fragment_158.09155,loss_114.04281,fragment_97.03923,fragment_112.08706,loss_74.00005,loss_130.03763,fragment_126.05561,fragment_168.07525,fragment_69.04508,fragment_130.06463
Topic 3,loss_87.06815,fragment_142.08715,loss_159.08932,loss_115.06313,fragment_68.04979,fragment_58.06552,fragment_70.06513,loss_133.0737,fragment_60.08102,loss_161.10504,fragment_114.05535,loss_171.08936,loss_169.07369,fragment_114.09122,fragment_96.0807,fragment_124.07643,fragment_132.06556,fragment_145.10643,fragment_71.06862
Topic 4,fragment_70.02898,loss_130.0625,fragment_90.05534,loss_150.08904,loss_153.06352,loss_132.07838,fragment_116.03439,fragment_67.05452,loss_90.0677,loss_136.0735,loss_165.06366,fragment_156.10283,fragment_130.0505,fragment_88.03906,loss_18.00902,loss_96.04244,fragment_202.10874,fragment_124.07643,loss_148.07342
Topic 5,loss_74.02407,fragment_110.07171,loss_88.02713,loss_73.01635,loss_100.02703,fragment_83.06038,loss_61.01626,fragment_93.04508,fragment_95.06072,loss_75.03199,fragment_82.05292,fragment_81.04505,loss_63.0319,loss_102.04297,fragment_68.04979,fragment_114.06575,loss_42.01101,fragment_109.07629,fragment_125.09083
Topic 6,fragment_55.01824,loss_192.07441,fragment_114.05535,fragment_193.08267,fragment_193.08074,loss_327.09575,fragment_129.06715,fragment_128.07029,fragment_128.08127,fragment_128.10734,fragment_128.95326,fragment_129.01853,fragment_129.05473,fragment_129.06574,fragment_129.07704,fragment_129.06998,fragment_128.04549,fragment_129.10188,fragment_129.13808
Topic 7,fragment_105.07013,fragment_93.06973,fragment_119.08562,fragment_91.05409,fragment_79.05413,fragment_135.11726,fragment_81.06995,fragment_133.10082,loss_136.0735,fragment_147.11638,fragment_107.08553,fragment_117.07025,fragment_145.10124,fragment_159.11665,loss_211.06889,fragment_269.1536,fragment_131.08489,fragment_165.09182,fragment_255.15776
Topic 8,loss_131.05816,loss_89.04798,fragment_126.05561,loss_159.05297,loss_17.02708,loss_186.06384,loss_105.04253,fragment_140.01677,fragment_139.05059,loss_75.06848,fragment_165.06581,fragment_125.02306,fragment_78.03406,fragment_122.02327,fragment_141.04221,fragment_158.11829,fragment_109.07629,loss_147.05326,fragment_191.11844
Topic 9,fragment_130.06463,fragment_80.04947,fragment_106.06497,fragment_117.05711,fragment_120.0804,fragment_163.12376,fragment_118.0654,fragment_132.08137,fragment_146.06088,fragment_193.09832,fragment_177.10161,fragment_176.07102,fragment_58.02902,fragment_148.07573,fragment_103.05447,loss_71.07348,loss_102.03144,loss_79.04205,loss_43.04198
Topic 10,fragment_83.04892,loss_17.02627,loss_45.05773,fragment_120.06542,fragment_53.03917,loss_73.05259,fragment_93.06973,fragment_249.19522,fragment_277.19057,fragment_201.07726,fragment_124.11165,fragment_119.03009,fragment_97.00743,fragment_126.06646,fragment_126.05561,fragment_129.01853,fragment_129.05473,fragment_125.09083,fragment_129.06574
Topic 11,fragment_144.04772,fragment_81.04505,loss_101.0472,fragment_160.03618,fragment_122.07173,fragment_116.04735,fragment_126.03686,loss_59.01315,fragment_107.0729,loss_79.04205,fragment_63.00672,fragment_121.01197,fragment_92.04942,fragment_120.0804,fragment_106.06497,fragment_168.94036,fragment_75.00648,fragment_74.02354,fragment_124.08689
