	RT	M1_1	M1_2	M1_3	M14_1	M14_2	M14_3	M18_1	M18_2	M18_3	M19_1	M19_2	M19_3	M2_1	M2_2	M2_3	M22_1	M22_2	M22_3_150410163257	M23_1	M23_2	M23_3	M24_1	M24_2	M24_3	M26_1	M26_2	M26_3	M28_1	M28_2	M28_3	M3_1	M3_2	M3_3	M4_1	M4_2	M4_3	M5_1	M5_2	M5_3	NDC24_1	NDC24_2	NDC24_3	NDC6_1	NDC6_2	NDR_3	NDC8_1	NDC8_2	NDC8_3	relation.id	relation.ship	codadw	charge
166.0822833768075	614.182248433431	25859.134765625	22205.62109375	54162.1875	32515.7578125	17931.416015625	38842.6953125	59945.75	38285.23046875	56406.58984375	36563.04296875	42895.58203125	48976.4921875	39519.24609375	26156.490234375	42436.1953125	53223.9609375	49252.66796875	26152.34765625	37313.66796875	21521.298828125	30500.41796875	55596.54296875	25863.380859375	19592.962890625	21327.865234375	62812.4375	56610.79296875	30520.4921875	47622.63671875	34395.8203125	17669.666015625	28747.58984375	31169.08203125	44957.859375	30816.091796875	46349.83203125	36249.16796875	51121.2421875	31847.12890625	20623.458984375	30015.091796875	16524.9375	21502.765625	26493.13671875	39994.625	34767.046875	26649.080078125	52987.12109375	0	fragment?|C13 isotope #1	0.981024962444251	
714.2954036139217	611.8245023091634	26535.60546875	21235.01171875	41735.1796875	30309.96484375	15083.708984375	31074.89453125	62653.0546875	28115.345703125	41246.4765625	25625.98828125	53531.44921875	31342.681640625	28428.203125	25700.0078125	28206.05859375	39879.6875	44897.140625	26550.728515625	23030.908203125	19829.08984375	23239.6328125	35208.91796875	22040.744140625	18562.904296875	25660.453125	60955.19140625	31905.720703125	20640.69921875	37898.91015625	21888.658203125	14256.0224609375	13457.2919921875	25811.791015625	43939.97265625	19940.265625	45069.00390625	44174.796875	45711.1796875	26505.072265625	17298.94921875	14108.6884765625	13410.0380859375	22567.90625	20339.857421875	30087.908203125	38566.0546875	16637.705078125	59557.4609375	0	3-mer	0.917520423017431	
479.1954925480095	612.1207504272461	27808.5234375	23336.849609375	34816.6796875	38374.8203125	21580.005859375	28945.72265625	32423.447265625	38855.5234375	38075.5234375	32690.12890625	47293.88671875	28078.7734375	31756.3515625	36008.53125	25509.2734375	35339.3828125	40545.16015625	29918.037109375	20419.109375	20963.462890625	16226.8974609375	38642.1953125	20998.740234375	18463.54296875	27339.66796875	45606.23046875	35638.5703125	26628.458984375	37447.171875	30030.4453125	17112.51953125	13845.3212890625	24845.419921875	36681.6953125	24791.099609375	33944.78125	41648.44140625	36925.6953125	27804.01953125	18474.326171875	12529.76953125	19644.490234375	28757.39453125	23396.251953125	37859.3984375	37911.15625	16863.548828125	33954.125	0	potential bp	0.9470625494256419	
241.0971683987464	610.2306315104166	22511.173828125	5651.56591796875	33452.09375	9514.7822265625	16233.0224609375	25618.845703125	36746.26953125	26286.484375	32527.33984375	25104.59765625	32195.125	24108.833984375	28368.484375	24293.9296875	22831.365234375	27322.873046875	30191.294921875	16938.41796875	22364.900390625	19876.068359375	17736.005859375	28424.8125	18634.0625	16371.5927734375	7539.6142578125	33725.03125	29767.953125	19293.4765625	28194.3828125	20093.78125	14530.0927734375	14352.8427734375	23395.3203125	26753.462890625	20767.84375	29538.34765625	29702.693359375	30640.205078125	21881.193359375	14398.900390625	14927.166015625	15025.2587890625	22001.125	18477.9453125	27164.724609375	25087.443359375	15010.05078125	28910.81640625	0	halogen (F) exchange (hydroxy)|C13 isotope #1	0.9759131668103002	
137.04180263971932	614.338249206543	8717.1484375	7089.31884765625	13665.97265625	10729.572265625	6430.03662109375	9202.6787109375	18229.056640625	9219.9716796875	13257.76171875	10133.7607421875	11647.0048828125	13705.66796875	11780.3125	9839.630859375	11049.6787109375	11352.48828125	12215.818359375	7582.56982421875	10026.7275390625	8806.435546875	9913.423828125	12228.3525390625	8948.376953125	8220.29296875	8203.658203125	14548.8017578125	12152.88671875	6853.1767578125	12285.4375	10452.5908203125	7586.75634765625	8377.3388671875	8926.0146484375	8368.025390625	8062.634765625	10574.361328125	9426.2705078125	13285.791015625	9576.3779296875	9287.0498046875	9881.72265625	7228.65625	6654.2216796875	9015.9033203125	11692.0830078125	9339.75390625	8714.59375	13653.1640625	0	fragment?|C13 isotope #1	0.9528331648053996	
477.1697697052089	612.0325050354004	12321.7373046875	9208.6708984375	14652.548828125	14012.51171875	7351.04345703125	14534.6953125	17285.95703125	12628.4833984375	16407.73828125	15066.9541015625	17652.4453125	11480.9951171875	15412.3603515625	12906.1201171875	10739.4765625	12541.16015625	17465.34375	10061.5791015625	10999.595703125	10206.3564453125	8021.80908203125	17823.205078125	9661.814453125	9022.625	11692.4306640625	15848.5380859375	11897.3984375	11036.5	12025.205078125	10383.2470703125	6691.13037109375	7136.259765625	10370.435546875	14423.5244140625	10604.080078125	13376.669921875	16017.7431640625	13734.25390625	12373.2861328125	7028.1767578125	5487.962890625	7497.47265625	13547.5029296875	10969.9140625	12053.376953125	17271.5390625	8057.54443359375	13067.6796875	0	potential bp|N15 isotope #1	0.9537216391187594	
240.10611185662682	610.7660865783691	6046.66748046875	6580.79296875	12482.833984375	10050.2099609375	5430.3271484375	9689.33984375	15284.4443359375	9796.146484375	10451.787109375	6390.58740234375	13484.216796875	9759.193359375	10440.478515625	8005.705078125	8320.140625	9285.912109375	12012.1220703125	7479.5	7894.990234375	7744.89892578125	7651.89794921875	12019.7685546875	7550.1640625	6653.24267578125	7844.330078125	12030.8251953125	10450.3857421875	5544.48095703125	9157.341796875	6814.99560546875	1822.663818359375	5248.94384765625	10249.3154296875	8940.271484375	8139.05029296875	10582.9921875	12030.990234375	11087.947265625	8632.6103515625	6280.89501953125	6056.13427734375	3968.791259765625	5705.1923828125	7277.55712890625	10804.4765625	11990.6259765625	7261.9150390625	11098.392578125	0	bp|C13 isotope #2	0.8971744769631463	
82.43715764044849	611.7303377787272	9279.5888671875	7507.77001953125	11117.3583984375	11262.62890625	6654.06103515625	9470.0029296875	12362.892578125	10870.27734375	11661.392578125	10211.853515625	13234.048828125	8047.06103515625	9504.5205078125	9047.4443359375	7769.498046875	10230.4345703125	13604.0791015625	9155.89453125	6621.09716796875	6713.693359375	6239.4501953125	11351.2509765625	6283.93115234375	6242.16943359375	8716.2333984375	12551.9140625	9893.5576171875	8216.7197265625	10718.7783203125	8394.01171875	5862.40478515625	4758.83203125	7307.5263671875	10882.4150390625	7374.162109375	10351.3125	13420.2216796875	10773.9580078125	9036.9990234375	5298.1240234375	5126.96630859375	5721.7451171875	10401.9912109375	2651.1259765625	10994.25	11305.0166015625	5209.00830078125	12004.7568359375	0	fragment?	0.9633584980830526	
80.96190125732379	611.6364199320475	5635.85498046875	5815.2841796875	12814.185546875	10088.9794921875	4964.1650390625	9679.95703125	10602.6494140625	7681.86083984375	12039.96484375	8188.345703125	8615.380859375	8685.8076171875	8136.66650390625	7281.06689453125	6633.7275390625	8564.021484375	9816.8369140625	5503.79296875	5478.93896484375	6550.58935546875	7110.697265625	8384.5478515625	6553.38232421875	5459.73828125	5616.97216796875	12688.26171875	8701.095703125	7013.41162109375	9221.541015625	5962.1904296875	4164.49951171875	4001.306396484375	6423.8134765625	9070.861328125	6553.943359375	8507.5107421875	8407.8955078125	10332.66015625	8062.65673828125	4178.25537109375	4922.08642578125	4306.90673828125	6746.31689453125	6956.37060546875	11067.1904296875	9276.9091796875	5451.63720703125	11137.9150390625	0	fragment?	0.9505531753131391	
478.16150806351976	611.5200017293295	5856.833984375	4254.54736328125	7757.0849609375	5725.2080078125	4365.90087890625	6058.37890625	8372.2763671875	6095.45751953125	8078.0791015625	6892.916015625	8054.19091796875	5450.77099609375	6106.0771484375	5611.0908203125	4810.638671875	6467.85205078125	6991.796875	4889.85107421875	4220.10498046875	4714.92431640625	3037.60791015625	9745.3076171875	3826.64892578125	4227.13232421875	4932.0224609375	7696.26220703125	6866.55224609375	5139.80078125	6620.98974609375	4766.634765625	3413.618896484375	3120.83935546875	5269.59521484375	6509.18701171875	5010.62744140625	6882.10546875	8043.3212890625	5853.7001953125	6048.3515625	3570.97900390625	3309.54638671875	3083.614990234375	6088.873046875	5072.7880859375	6343.81103515625	6346.86376953125	3807.482666015625	7898.669921875	0	potential bp	0.9410168332359691	
241.1063656214999	611.8316688537598	3371.33544921875	2941.92626953125	6324.96923828125	4198.8740234375	2993.023681640625	4929.75341796875	5971.90625	4925.97216796875	5581.8720703125	5738.2080078125	5434.43603515625	4502.95947265625	4143.572265625	3545.291748046875	3035.689697265625	4940.20361328125	5331.55419921875	3525.82666015625	4174.62451171875	3072.92822265625	3618.744140625	4790.86865234375	3131.56591796875	3167.92724609375	3188.903564453125	6869.5556640625	4996.17626953125	3706.96142578125	5224.03173828125	3588.942626953125	2415.178955078125	2138.697021484375	3545.193115234375	4965.2783203125	3398.775634765625	4152.69287109375	5136.31396484375	5358.30078125	4761.9765625	2620.32470703125	2872.165771484375	2458.39111328125	3595.290283203125	4107.5810546875	5043.96240234375	5474.11279296875	3090.073486328125	6921.66748046875	0	potential bp	0.9289305837703474	
89.04761773476544	791.5157457987467	4841854.5	3635028.25	6243639.5	4400229.5	3124206.5	5573869.0	9860990.0	4549593.0	7543221.5	3423491.25	5544809.0	6581902.5	6232185.5	4400467.5	9846295.0	8409344.0	5734103.0	4011722.0	7550265.5	3996414.0	6734538.0	4336099.0	7080988.5	5433031.5	5007692.0	9226756.0	6204793.5	5120854.5	6793698.0	4836700.5	4718883.0	5533684.5	6961023.5	5340988.0	3984329.25	5621627.5	4681083.5	8134942.5	3920841.0	3960704.0	6352287.5	4269612.0	4582714.5	5000398.5	8682399.0	5716792.5	6217270.0	1.0722286E7	1	bp	0.9615821783687629	1
90.05088313985691	791.5163714090983	167646.578125	119963.078125	209438.6875	147597.71875	104010.8671875	189781.828125	334184.65625	155157.359375	262065.3125	114226.8359375	188258.546875	226806.671875	204824.71875	150116.765625	342095.625	278161.5	188939.3125	134492.265625	249168.25	130896.8359375	230512.84375	140051.0625	242520.5	179839.578125	165297.140625	308464.625	206586.359375	169202.453125	229400.90625	160669.03125	158131.125	187939.21875	234371.375	183260.15625	130238.234375	191600.234375	158384.640625	271935.34375	131383.40625	130653.0625	206971.984375	145959.453125	149437.03125	178054.0	296782.6875	184613.265625	212813.125	363017.375	1	bp|C13 isotope #1	0.9518105704656857	
91.05171447665624	791.5834986368815	15594.2587890625	9668.5517578125	14666.6328125	12670.6005859375	10839.78125	18907.89453125	29403.525390625	13401.8427734375	21624.654296875	9460.2470703125	13666.5205078125	19862.998046875	19564.376953125	11546.4580078125	33499.80859375	25315.705078125	17378.046875	14350.6435546875	23159.537109375	12321.5693359375	20906.609375	12093.0654296875	23375.009765625	18985.80859375	13782.98046875	26954.166015625	16954.380859375	15646.251953125	20768.845703125	13256.998046875	13413.0703125	19764.435546875	19695.947265625	14845.7998046875	11017.4140625	16688.154296875	12639.341796875	22913.744140625	9761.7314453125	10050.8427734375	16368.5048828125	12243.7646484375	11983.6728515625	15334.6728515625	25257.6875	18397.68359375	18900.947265625	30569.736328125	1	bp|O18 isotope #1	0.9428555911343366	
90.04459793576082	791.7437477111816	9880.2685546875	6554.95361328125	16295.689453125	9299.88671875	6877.669921875	11122.98046875	17215.294921875	9291.798828125	15169.5068359375	7071.19482421875	11191.5185546875	14203.9130859375	10566.201171875	8491.0556640625	21227.3046875	16944.662109375	9958.4208984375	8523.8037109375	16507.279296875	8370.755859375	14760.283203125	8373.53515625	15281.560546875	11659.6484375	10583.2919921875	20453.349609375	12553.251953125	9465.2314453125	15484.4482421875	9449.5693359375	8322.7216796875	13199.759765625	15063.8974609375	10501.103515625	7289.46337890625	11381.580078125	8287.548828125	14880.734375	7352.72509765625	8063.57177734375	11530.58984375	8672.8203125	9090.693359375	9637.986328125	19363.193359375	10796.4404296875	13242.833984375	22318.474609375	1	bp|N15 isotope #1	0.9414730956971994	
256.2401541056771	222.99851989746094	2263056.0	1953792.625	4516196.0	3948851.25	2281203.25	4136953.25	7159327.5	3223545.0	3262119.0	2391391.25	2481016.75	4079921.0	2674036.5	2447303.25	3261802.5	3261169.5	2427181.25	2795899.75	2476188.0	2791754.25	2895073.75	2626296.0	2083956.375	1603405.125	2306413.0	3726919.0	2626119.5	3263896.25	4128205.5	3031147.5	1896899.125	1425555.875	2266710.0	2232689.0	2623668.25	2755467.5	2109331.5	2079741.875	2518754.75	1669938.125	1696516.875	1541327.0	3700687.25	2665621.25	3995862.25	1671604.75	2303412.5	4224499.0	2	bp	0.9525581768480111	1
284.27127700850434	220.77512486775717	1749140.125	1524976.625	2803481.25	2038378.125	1618637.875	2779065.75	4929771.0	2215397.0	2496715.5	1598110.5	1745691.375	2854664.75	1958432.5	1444719.875	2185440.75	2067033.625	1640729.625	1802000.125	1725264.5	1762016.875	1965181.125	1772093.375	1458663.75	1105133.0	1449043.875	2710254.75	1788304.875	1996764.125	2824653.0	2318209.75	1103839.125	1005731.125	1499896.625	1755326.125	1865323.375	1801481.375	1558978.375	1438331.875	1738822.125	1425431.0	1324204.375	1135920.125	2318918.25	2040877.0	2741549.5	1206578.0	1579349.75	3044038.25	2	natural alkane chains	0.9574621793337961	
257.2433959262886	222.99851989746094	403173.125	344369.65625	802089.875	705295.5	416668.28125	711657.9375	1270484.125	562344.4375	583393.5625	420024.03125	444313.28125	734452.3125	476907.6875	437312.09375	576239.3125	575779.625	419106.625	496639.28125	447255.09375	498386.8125	525280.125	456620.90625	366282.9375	279638.125	421733.09375	655055.8125	463387.375	587964.5625	743342.6875	535288.8125	329437.28125	251117.0625	392432.4375	394238.71875	462291.125	501588.1875	367627.15625	368354.09375	445496.03125	293746.125	296132.15625	275934.3125	639428.5625	473408.6875	712349.375	304192.90625	402200.71875	737748.75	2	bp|C13 isotope #1	0.9516685033848813	
362.2127387656456	224.22637430826822	272425.21875	187391.28125	512402.46875	444034.875	332973.34375	431179.46875	1038467.0	390310.65625	367365.84375	274407.71875	323097.96875	502825.59375	316834.90625	283067.875	333364.0	311512.09375	267886.5	293885.34375	260148.65625	328148.25	312946.625	303999.1875	222358.015625	162410.59375	243615.984375	442926.65625	245335.609375	344469.65625	484821.8125	429502.09375	232154.265625	140966.453125	229536.609375	269483.5625	222895.875	340990.28125	293114.78125	210353.984375	332111.65625	182652.125	159208.78125	169557.125	529653.5	347809.0625	546743.25	130484.25	255202.96875	459668.15625	2	potential bp	0.9467787958499195	
285.2745679093728	220.74033323923746	345283.28125	306232.78125	545612.0	408803.4375	315732.65625	562611.125	969355.375	439697.875	496010.9375	316144.875	348357.1875	554261.8125	383895.53125	286770.5625	451658.5	409806.65625	318350.96875	355514.59375	339467.5625	342334.90625	390956.21875	350503.8125	291451.84375	220261.296875	292287.75	530146.5625	358934.15625	405096.03125	565671.625	466927.34375	217444.0625	202482.90625	293980.71875	350751.3125	381505.34375	351433.34375	311549.65625	287117.0625	338142.6875	283880.78125	257351.890625	225064.65625	454638.28125	406267.03125	549708.125	242870.421875	316982.78125	609330.5	2	natural alkane chains|C13 isotope #1	0.957380998450362	
306.1862990392791	220.3008540471395	306068.53125	266125.9375	448247.09375	419613.0	275430.625	469322.28125	893913.5625	468664.28125	411253.375	304043.46875	328399.03125	506930.25	289335.15625	300207.71875	436539.84375	329912.75	316740.875	377998.65625	264673.53125	314588.84375	311057.40625	298813.21875	278458.0625	218188.078125	265674.96875	422939.71875	247880.5625	442921.625	529272.625	439749.5	256201.4375	186794.03125	241324.40625	327215.875	213242.734375	334698.46875	274937.75	277140.71875	357255.15625	227818.96875	172522.578125	206468.75	393119.125	332277.625	447216.84375	184178.5	268158.28125	486578.65625	2	potential bp	0.9446116608809467	
122.00375880000335	224.46874968210855	243321.5625	162152.40625	350950.03125	417656.46875	288576.21875	346702.84375	711926.25	346057.59375	307054.125	252491.546875	248812.265625	359004.125	294768.96875	242421.609375	280147.84375	230749.734375	224206.640625	270848.75	211919.96875	297883.4375	253724.234375	267915.9375	170024.03125	169298.796875	215568.828125	312301.4375	204544.78125	281435.21875	385841.59375	378226.46875	192426.59375	115689.171875	176686.59375	227843.390625	218709.8125	259488.5	275703.96875	147977.09375	314654.25	152930.453125	124200.75	152290.5625	444403.375	316122.75	403482.53125	136810.46875	209042.125	295856.84375	2	fragment?	0.9546258106554761	
228.20900772406512	225.82020886739096	109674.0078125	125851.0546875	215493.53125	275250.84375	90282.828125	188511.625	317408.15625	125300.6171875	144822.96875	116312.9375	111773.03125	187802.515625	127469.484375	112292.6953125	152914.84375	151663.28125	116008.1796875	136935.375	102221.640625	122668.59375	141096.296875	109247.296875	89476.609375	67663.2421875	99581.28125	163061.9375	132332.234375	148569.625	191700.40625	137219.8125	89058.1171875	63775.52734375	119061.3203125	103702.625	190096.265625	124519.9296875	98681.6171875	88083.3125	102554.5078125	83556.421875	81360.703125	81679.1171875	141654.953125	113611.3046875	194332.984375	71095.546875	105755.078125	262969.125	2	natural alkane chains	0.9567434861917986	
363.2160139508942	224.49539597829184	44070.65234375	29084.412109375	80097.53125	72521.640625	57768.1875	69975.34375	165626.65625	66617.09375	53813.328125	44655.34375	55987.69140625	81814.9765625	47905.44140625	47897.55078125	51578.89453125	44812.046875	43744.5546875	41017.21484375	36791.36328125	46423.38671875	45328.453125	46880.8671875	31304.216796875	23114.36328125	41516.62109375	67772.3125	35916.98828125	53431.31640625	76589.1015625	74073.0	38839.55859375	19374.201171875	35236.40234375	37922.86328125	29912.9296875	54041.11328125	45331.54296875	33798.74609375	53784.98046875	27921.546875	22585.125	24734.5859375	93388.1484375	57726.828125	83702.109375	16034.90234375	36658.7109375	68022.84375	2	potential bp|C13 isotope #1	0.9257390164796799	
307.18962396346797	220.1964375178019	42564.9609375	35726.5390625	60806.61328125	61298.203125	39467.89453125	70945.390625	123456.1171875	72646.015625	56888.3125	42876.390625	46661.796875	70105.5390625	39958.94140625	44749.87109375	63521.62890625	40561.984375	45014.25	54159.56640625	38843.68359375	40040.26953125	41548.91015625	40442.09765625	41967.73828125	32970.265625	38854.50390625	58615.99609375	35508.94140625	67782.6640625	77333.0859375	66725.1328125	39266.2109375	29139.091796875	32383.828125	42559.0234375	24098.0078125	45955.421875	39187.04296875	40109.77734375	49641.41796875	29429.455078125	21310.740234375	27626.7578125	53572.87109375	46573.32421875	63766.12890625	24915.08984375	39015.56640625	72579.6953125	2	potential bp|C13 isotope #1	0.9340791146161441	
258.2467023724326	223.08222770690918	23967.337890625	22563.275390625	49254.2734375	43333.3984375	23696.13671875	43409.2734375	80553.671875	36419.8203125	33134.9296875	27396.845703125	27964.5703125	42831.046875	27149.505859375	26059.9296875	36319.29296875	36956.109375	27817.119140625	32288.775390625	28436.79296875	32448.298828125	32833.4765625	27938.42578125	21139.49609375	16729.671875	25634.251953125	37444.33203125	29500.513671875	36907.4453125	45515.01953125	35029.26953125	20460.783203125	15248.775390625	25709.27734375	26384.107421875	28070.943359375	32891.12890625	24830.73828125	20624.037109375	28140.63671875	17345.693359375	18569.744140625	15660.3095703125	41126.4453125	29153.298828125	49789.1328125	16172.2197265625	25161.107421875	46483.28125	2	bp|C13 isotope #2	0.9382255161136624	
286.2777479447505	220.69658374786377	26532.19921875	24511.7421875	41006.02734375	30876.009765625	24399.86328125	43167.61328125	72935.2265625	35287.73046875	38093.9921875	20786.333984375	27584.240234375	39299.55078125	27148.462890625	20577.30078125	29547.109375	29899.927734375	22495.55078125	24414.001953125	22035.271484375	24297.478515625	29086.38671875	24857.4921875	20639.484375	16359.533203125	22150.419921875	42485.15625	27101.30078125	28035.234375	41972.55078125	33935.23046875	16063.5595703125	14549.6796875	23810.79296875	25848.41796875	28219.744140625	26107.9921875	24442.583984375	22891.443359375	26130.150390625	19705.30859375	22229.486328125	15212.9755859375	35043.76171875	29332.751953125	43750.1015625	17240.36328125	21705.78125	41382.6640625	2	natural alkane chains|C13 isotope #2	0.9459403283871979	
229.21220245819813	225.99131298065186	13141.69921875	16739.86328125	28355.23828125	38171.13671875	11352.41796875	22279.9140625	38167.3203125	15814.125	18061.50390625	13673.908203125	12506.7841796875	25817.111328125	15939.8935546875	14640.978515625	19820.486328125	19961.626953125	15352.427734375	16675.125	10392.04296875	14579.81640625	19665.181640625	13535.7705078125	9535.1396484375	7818.9931640625	11561.9208984375	21038.34375	15217.7802734375	20759.826171875	24291.251953125	17036.6171875	10651.1728515625	8073.65625	14441.5478515625	13535.40234375	24477.3828125	15833.3076171875	12005.708984375	10653.068359375	12264.39453125	8832.6630859375	10414.9736328125	10758.8955078125	16670.962890625	14382.5830078125	25327.875	8569.6796875	13639.498046875	30232.435546875	2	natural alkane chains|C13 isotope #1	0.9450472734267796	
