	RT	M1_1	M1_2	M1_3	M14_1	M14_2	M14_3	M18_1	M18_2	M18_3	M19_1	M19_2	M19_3	M2_1	M2_2	M2_3	M22_1	M22_2	M22_3_150410163257	M23_1	M23_2	M23_3	M24_1	M24_2	M24_3	M26_1	M26_2	M26_3	M28_1	M28_2	M28_3	M3_1	M3_2	M3_3	M4_1	M4_2	M4_3	M5_1	M5_2	M5_3	NDC24_1	NDC24_2	NDC24_3	NDC6_1	NDC6_2	NDR_3	NDC8_1	NDC8_2	NDC8_3	relation.id	relation.ship	codadw	charge
238.09859154075767	610.7464408874512	7105007.5	5354968.0	9930655.0	8646560.0	5085615.0	8534299.0	1.152574E7	8587598.0	1.0375427E7	8671648.0	1.0834348E7	7649851.5	8563545.0	7633684.5	7148064.5	8850575.0	1.0413515E7	6275322.0	7056617.5	6385140.0	6418772.0	9871913.0	5884834.0	5510393.0	6213216.5	1.126443E7	9113338.0	6364737.0	8854174.0	6619353.5	4646964.5	4661850.0	6926135.0	9035388.0	6757303.0	8712320.0	9242121.0	1.0052041E7	7797843.5	5074743.5	4912168.5	4512768.5	2445950.5	2597120.5	8445676.0	8830048.0	5455495.5	1.0368358E7	0	bp	0.979846070945114	1
476.19717328248254	611.3498344421387	3106406.0	584692.75	3756646.5	3756818.25	2182533.25	3309557.75	4300935.5	3525176.5	3994542.5	3712994.5	4592468.5	2824321.0	3435613.5	3212106.0	2632627.0	3508277.25	4397317.0	2853655.5	2530484.25	2363352.5	2181529.5	4209066.0	2243284.0	2210030.0	2801838.25	4278704.5	3393122.0	2825806.25	3654195.75	2711957.75	1935071.25	1612129.25	2571018.25	3775958.25	2710834.25	3523743.5	4160572.75	3855377.0	3182978.5	1762553.625	1714097.5	1836907.75	3286653.75	2533401.25	3426966.0	3837138.75	1950906.875	3903268.0	0	2-mer	0.9775962643596477	
239.1015721646767	611.075377146403	627698.6875	468602.0625	854010.125	781528.5625	454543.71875	763209.1875	1035772.0625	270536.75	945176.3125	783881.375	945807.0625	681806.4375	757915.5625	670699.375	643741.25	813448.9375	912171.0625	553020.75	626138.5625	578143.5625	546066.9375	846470.25	508516.71875	507379.0625	552274.8125	1000575.4375	815658.25	562299.6875	795068.0	591984.0	403292.125	421498.96875	625071.125	795661.75	591594.5625	767614.125	819801.5625	897761.4375	677829.3125	456635.0625	446403.6875	407668.28125	664445.1875	232835.1875	785635.875	782162.0625	479839.4375	920020.5	0	bp|C13 isotope #1	0.9805792802326874	
477.2000241025134	610.6525459289551	610975.5	109703.8203125	695582.9375	728896.3125	448410.59375	665043.5	842103.8125	717106.1875	782713.0625	718994.875	890414.25	525346.5	664915.625	645233.125	511897.53125	682291.0	863828.3125	586496.4375	479425.65625	460339.25	404375.8125	830907.5	430227.4375	426363.875	529408.1875	827435.75	645181.5625	556130.4375	727967.125	536444.5625	371568.5	303356.90625	495601.875	751354.5625	530613.8125	695756.5625	830235.625	764926.6875	605845.6875	354988.8125	326194.25	354361.9375	668830.125	125968.4453125	711718.5	741823.625	352632.71875	736397.75	0	2-mer|C13 isotope #1	0.9732080256872244	
165.07902491249948	613.9951235453287	319115.8125	266552.625	609637.375	415292.96875	214598.40625	436578.5625	672722.375	421672.84375	673357.1875	393336.6875	529515.375	502854.9375	462974.875	348876.71875	516355.84375	538621.75	545930.0625	268105.0625	392369.78125	263461.65625	335537.34375	595670.1875	326729.25	225499.171875	276577.34375	669692.625	607404.875	341851.9375	540324.4375	383119.1875	197270.109375	290688.78125	348605.5625	496202.4375	365743.8125	505389.65625	412472.65625	565355.375	359483.28125	246431.09375	324796.5	213241.3125	270462.59375	319647.28125	507894.8125	393893.6875	300867.53125	637658.125	0	fragment?	0.9810754484897514	
240.0941944732723	610.7803141276041	309401.6875	237653.421875	437068.5	387560.8125	223526.046875	357299.53125	510529.03125	371562.90625	464556.53125	392008.5625	470451.625	346540.90625	384015.5625	339995.5625	313963.0625	383791.28125	456128.71875	277910.90625	306284.21875	282928.15625	285538.4375	444501.875	260110.015625	253132.390625	271152.375	486371.28125	407236.125	281523.84375	389999.28125	288586.8125	204492.6875	206092.453125	312411.125	405337.8125	297842.21875	394431.84375	410617.90625	446637.34375	342987.9375	223220.15625	216711.03125	204561.578125	105317.6015625	113475.5390625	379159.78125	385812.25	233622.640625	445550.125	0	halogen (F) exchange (hydroxy)	0.9799143003510358	
478.19246941376497	611.170482635498	233146.125	195909.984375	280513.75	284452.75	162743.28125	247322.484375	299091.46875	284348.75	314916.125	285928.5625	362952.0625	208964.984375	253814.09375	254508.203125	197423.34375	257424.3125	346480.1875	225925.515625	185259.421875	183241.234375	142717.875	332104.5	163054.5	172378.359375	213402.515625	317839.78125	264854.625	226955.21875	283207.5	208282.21875	150631.71875	109895.8828125	183795.8125	300767.78125	205533.546875	264460.8125	334250.9375	283818.84375	249008.265625	137932.515625	117264.3671875	146237.765625	55017.25390625	185945.5625	267335.21875	285151.75	141599.890625	293148.78125	0	2-mer|N15 isotope #2	0.9679883792274913	
136.0385143635343	614.2036247253418	201172.140625	169674.78125	277037.9375	225326.421875	155363.65625	216380.890625	349072.3125	226454.25	297748.09375	203767.21875	237817.1875	280230.4375	246393.421875	206834.734375	273788.34375	282821.1875	256403.078125	156300.75	234204.4375	205686.328125	228862.6875	231546.390625	224104.828125	166638.765625	157050.359375	321326.75	271881.6875	169243.4375	259312.78125	215377.203125	157731.046875	199592.3125	232417.96875	238730.84375	211082.8125	256559.65625	219778.859375	312404.25	190385.796875	205869.71875	222705.65625	162988.265625	155406.0625	214313.625	273308.28125	219735.34375	208571.109375	333724.28125	0	fragment?	0.9747357470520273	
476.17328527918306	611.4336242675781	72929.71875	50462.98828125	91070.7578125	83888.0546875	49200.69140625	82121.9921875	98532.0546875	97996.6484375	89624.78125	92398.3359375	112849.796875	71877.3125	84157.6796875	85322.3359375	66315.7578125	79413.96875	108921.625	67364.703125	58663.765625	60361.33984375	51127.2578125	102103.0859375	51776.8671875	59709.01171875	74854.40625	86326.71875	79654.5703125	66910.375	81503.796875	70684.8125	49133.9765625	38854.4375	63416.37109375	86829.1640625	68600.7265625	80356.9140625	98789.1328125	90824.2734375	76613.390625	43136.58984375	37335.0859375	42116.8203125	86025.7265625	59378.0	72443.59375	95667.375	55283.1796875	88038.3125	0	potential bp	0.9614436139839316	
240.1018754424265	611.9753774007162	38419.21875	30565.443359375	54436.30859375	50031.453125	27072.439453125	45918.33984375	64287.33984375	46918.4765625	58617.1875	48236.33203125	55631.609375	39911.0625	44423.67578125	43820.296875	40416.46875	53686.78125	56881.13671875	33723.828125	41655.04296875	33560.5390625	31515.6328125	50358.0234375	32691.095703125	30053.046875	33285.27734375	59748.796875	45691.98046875	31382.212890625	52726.84375	31777.265625	26582.88671875	24351.1640625	35142.53515625	50387.29296875	35407.1640625	45830.671875	51744.96875	53062.9921875	42847.734375	24783.501953125	28849.431640625	24405.529296875	40992.4140625	33964.328125	51193.90625	46593.1796875	27918.064453125	58859.9375	0	bp|O18 isotope #1	0.976967412456101	
