K, mean_approximate_log_marginal_likelihood
25,-271295.335488
50,-232305.60407
75,-216720.673721
100,-207483.425091
125,-202279.854021
150,-203500.607259
175,-205588.637839
200,-210423.614491
225,-216097.126928
250,-220866.542599
275,-225501.033055
300,-233627.015802
325,-242007.039873
350,-248731.255962
375,-255890.402136
400,-263538.581405
