Topic 0,81.06985,123.11694,84.08088,58.06546,67.05437,79.0543,95.08562,208.13336,222.14932,82.07319,278.21106,68.05782,149.02328,262.22424,115.03896,198.11235,140.14308,254.17448,89.05952
Topic 1,58.06546,60.08106,116.01642,200.20092,162.02151,179.04858,233.05928,59.0733,228.23265,254.24767,103.03896,102.0913,85.0285,172.15288,115.09444,115.02133,111.11681,111.03844,111.04408
Topic 2,79.0543,67.05437,81.06985,93.07005,95.08562,55.05463,91.05433,107.08538,109.10096,135.11715,261.22037,133.10117,121.10145,100.07561,110.03489,110.07154,111.03217,111.03844,111.04408
Topic 3,84.08088,67.05437,56.04978,55.05463,85.08417,236.16458,69.05742,74.0965,112.03688,112.02157,111.97435,111.11681,581.24011,111.04408,112.0756,111.03844,111.03217,110.07154,110.06016
Topic 4,69.06997,91.05433,111.11681,117.07007,131.08549,55.05463,57.07027,581.24011,525.18262,83.04912,147.117,393.0856,105.07,202.92152,176.94272,199.17049,129.06981,216.13791,112.08685
Topic 5,55.05463,69.06997,83.08545,57.07027,81.06985,67.05437,97.10122,95.08562,563.50616,233.22659,131.01646,112.03688,112.02157,111.97435,111.11681,111.04408,111.03844,111.03217,112.0756
Topic 6,53.039,103.05431,91.05433,120.08082,93.07005,79.0543,95.04919,51.02339,81.03355,107.04915,131.0492,77.03866,102.0467,50.01554,101.02337,113.07083,111.03844,111.04408,111.11681
Topic 7,62.92924,83.08579,187.88317,144.99335,75.02626,174.01386,145.03224,112.07333,132.10193,163.0041,189.88126,278.8132,121.96643,163.04247,107.06847,107.08538,109.05081,109.06494,109.10096
Topic 8,128.95362,62.98202,234.91806,61.9741,358.8932,340.88334,380.87419,274.91071,340.88217,252.92793,446.84814,398.88528,234.0768,233.08667,224.97266,111.11681,109.1012,109.10096,109.06494
Topic 9,122.07154,54.0342,81.04488,139.09781,55.05463,82.06514,56.04978,140.08163,52.01862,56.96516,581.24011,111.11681,112.07333,112.03688,112.02157,111.97435,111.03844,111.04408,112.08685
Topic 10,70.02884,90.0552,184.09686,124.07564,98.02378,67.05437,202.10729,72.04454,116.03429,142.08618,99.1,112.08685,110.03489,110.06016,110.07154,111.03217,111.03844,98.07128,111.04408
Topic 11,70.06522,115.08683,116.07093,114.05512,71.04923,113.07083,60.05589,112.08685,159.0764,130.09746,158.09242,175.11864,131.08185,160.06094,134.08107,117.05458,300.2294,110.07154,110.06016
Topic 12,67.05437,85.06493,57.07027,60.04462,98.06016,109.1012,144.10206,325.27267,172.13379,116.07038,95.04919,62.0603,126.11063,100.02146,111.04408,112.03688,112.02157,111.97435,111.11681
Topic 13,98.98411,57.07027,168.13808,159.02791,166.08403,350.34067,406.40274,112.0756,194.0793,94.06499,224.20038,179.11819,152.06818,167.11606,109.10096,111.11681,109.1012,110.03489,110.06016
Topic 14,119.0355,136.06208,137.04588,97.02856,94.03995,92.02414,110.03489,67.02934,55.02946,82.04007,232.08309,428.03557,69.03356,109.05081,111.03844,120.03831,95.04342,120.03207,111.03217
