parent,child,score
113,104.07057_645.99,0.8813261163734732
125,104.07057_645.99,1.1803788903924162
149,104.07057_645.99,0.8461434370771271
154,104.07057_645.99,1.1803788903924162
193,104.07057_645.99,1.1100135317997235
207,104.07057_645.99,1.1100135317997235
227,104.07057_645.99,0.8813261163734732
5,104.07058_556.072,0.9780036968576667
13,104.07058_556.072,0.8763401109057263
66,104.07058_556.072,0.9780036968576667
69,104.07058_556.072,0.8763401109057263
113,104.07058_556.072,1.2219963031423235
118,104.07058_556.072,0.8966728280961144
186,104.07058_556.072,0.8763401109057263
193,104.07058_556.072,0.8763401109057263
225,104.07058_556.072,0.8560073937153382
227,104.07058_556.072,1.2219963031423235
248,104.07058_556.072,0.8560073937153382
125,104.0706_403.273,0.6096085409252684
225,104.0706_403.273,0.7590747330960872
248,104.0706_403.273,1.3676156583629926
13,104.10683_933.266,0.6087837837837811
113,104.10683_933.266,0.6763513513513484
134,104.10683_933.266,1.5479729729729663
13,104.10696_1012.39,0.7082872928176757
113,104.10696_1012.39,0.7524861878452997
134,104.10696_1012.39,1.7469613259668415
248,104.10696_1012.39,0.5204419889502735
113,104.10696_988.951,0.8187192118226633
134,104.10696_988.951,0.9369458128078854
86,105.06974_241.536,0.861585365853663
97,105.06974_241.536,0.861585365853663
127,105.06974_241.536,0.8250000000000044
8,108.04439_422.465,1.7050173010380534
97,108.04439_422.465,1.6790657439446282
127,108.04439_422.465,0.5025951557093401
188,108.04439_422.465,0.4679930795847727
190,108.04439_422.465,0.41608996539792176
82,109.02845_464.065,0.9709251101321624
97,109.02845_464.065,0.8123348017621178
127,109.02845_464.065,0.8299559471365672
190,109.02845_464.065,0.9533039647577132
82,109.02845_668.607,0.9138513513513488
127,109.02845_668.607,0.9138513513513488
184,109.02845_668.607,0.9645270270270244
188,109.02845_668.607,0.8293918918918896
190,109.02845_668.607,0.9645270270270244
51,110.06007_380.61,0.6923588039867128
97,110.06007_380.61,0.772093023255816
179,110.06007_380.61,0.4398671096345527
238,110.06007_380.61,1.5162790697674458
82,111.04405_593.907,1.0117845117845117
97,111.04405_593.907,0.8939393939393937
140,111.04405_593.907,1.129629629629629
149,111.04405_593.907,0.7592592592592591
214,111.04405_593.907,0.7760942760942758
106,111.11681_183.681,0.8077519379845007
202,111.11681_183.681,0.8077519379845007
103,111.11682_229.964,0.8448430493273574
106,111.11682_229.964,0.9345291479820662
202,111.11682_229.964,0.8807174887892409
214,111.11682_229.964,0.8448430493273574
14,112.05052_552.842,2.5325497287522363
28,112.05052_552.842,0.624773960216992
94,112.05052_552.842,0.5253164556961974
154,112.05052_552.842,0.6066907775768476
157,112.05052_552.842,0.4891500904159085
75,113.07092_452.947,0.9188829787234016
94,113.07092_452.947,1.0252659574468057
145,113.07092_452.947,1.0252659574468057
179,113.07092_452.947,0.9188829787234016
197,113.07092_452.947,0.7859042553191469
157,116.07048_578.163,0.88977777777778
227,116.07048_578.163,0.88977777777778
157,116.07059_876.985,0.8566473988439334
227,116.07059_876.985,0.8566473988439334
157,116.0706_619.436,0.8549707602339209
227,116.0706_619.436,0.8549707602339209
5,116.07061_433.724,1.0316831683168273
18,116.07061_433.724,0.7148514851485119
75,116.07061_433.724,0.8534653465346498
81,116.07061_433.724,0.8534653465346498
97,116.07061_433.724,0.8534653465346498
128,116.07061_433.724,0.8534653465346498
157,116.07061_433.724,1.3089108910891032
180,116.07061_433.724,0.8930693069306893
219,116.07061_433.724,0.8534653465346498
227,116.07061_433.724,1.3089108910891032
18,117.05465_414.504,0.9359281437125712
31,117.05465_414.504,0.8101796407185599
40,117.05465_414.504,1.7443113772455023
65,117.05465_414.504,0.7922155688622725
94,117.05465_414.504,0.8281437125748471
109,117.05465_414.504,1.7802395209580768
127,117.05465_414.504,0.7742514970059851
136,117.05465_414.504,0.971856287425146
149,117.05465_414.504,0.8461077844311345
157,117.05465_414.504,0.7742514970059851
190,117.05465_414.504,0.7922155688622725
219,117.05465_414.504,0.7922155688622725
227,117.05465_414.504,0.8820359281437092
231,117.05465_414.504,0.8281437125748471
234,117.05465_414.504,0.9538922155688588
101,117.09101_277.93,0.8428571428571482
109,117.09101_277.93,0.7634920634920683
113,118.08616_532.509,0.8813397129186636
219,118.08616_532.509,0.8813397129186636
98,118.08621_568.665,0.9458770614692612
113,118.08621_568.665,1.5125937031484196
123,118.08621_568.665,0.878410794602695
134,118.08621_568.665,1.0133433283358275
145,118.08621_568.665,0.7164917541229356
211,118.08621_568.665,0.8649175412293817
214,118.08621_568.665,0.8649175412293817
219,118.08621_568.665,0.9188905547226348
227,118.08621_568.665,0.9458770614692612
98,118.08624_380.61,1.0660332541567694
113,118.08624_380.61,0.9330166270783846
166,118.08624_380.61,0.8190023752969119
211,118.08624_380.61,0.9520190023752968
214,118.08624_380.61,0.9520190023752968
219,118.08624_380.61,0.9330166270783846
227,118.08624_380.61,1.0660332541567694
249,118.08624_380.61,0.8190023752969119
113,119.08965_568.665,0.4898167006109976
123,119.08965_568.665,0.4694501018329935
211,119.08965_568.665,2.679226069246434
219,119.08965_568.665,0.4999999999999996
227,119.08965_568.665,0.612016293279022
57,120.06555_633.586,0.9209677419354888
212,120.06555_633.586,0.7596774193548428
227,120.06555_633.586,0.9209677419354888
28,120.08076_499.47,0.6665094339622601
48,120.08076_499.47,2.0816037735848933
52,120.08076_499.47,0.6948113207547129
127,120.08076_499.47,0.6948113207547129
138,120.08076_499.47,0.6806603773584865
248,120.08076_499.47,0.8221698113207498
48,121.06477_183.681,0.8005434782608731
94,121.06477_183.681,0.9472826086956564
191,121.06477_183.681,0.8494565217391343
52,121.06478_196.185,0.46648199445983396
127,121.06478_196.185,0.21163434903047104
191,121.06478_196.185,0.6437673130193909
234,121.06478_196.185,2.3944598337950147
51,121.0648_259.764,0.316774193548386
72,121.0648_259.764,0.3361290322580633
97,121.0648_259.764,1.1038709677419316
138,121.0648_259.764,0.3748387096774181
190,121.0648_259.764,0.316774193548386
234,121.0648_259.764,3.200645161290312
5,121.0648_316.513,0.4876106194690253
51,121.0648_316.513,0.3814159292035389
97,121.0648_316.513,0.6380530973451309
138,121.0648_316.513,0.8150442477876084
190,121.0648_316.513,0.3814159292035389
191,121.0648_316.513,0.7176991150442459
234,121.0648_316.513,2.8769911504424703
52,121.0648_515.409,0.5850678733031689
127,121.0648_515.409,0.36787330316742173
234,121.0648_515.409,1.7117647058823575
94,121.0648_704.213,0.23782696177062326
97,121.0648_704.213,0.447082494969818
191,121.0648_704.213,0.9299798792756518
234,121.0648_704.213,1.6020120724346043
52,121.06481_354.896,0.514473684210524
72,121.06481_354.896,0.5539473684210501
97,121.06481_354.896,1.185526315789468
127,121.06481_354.896,0.3960526315789456
138,121.06481_354.896,1.2776315789473622
234,121.06481_354.896,1.7513157894736755
97,121.06481_459.215,0.4797853309481214
138,121.06481_459.215,0.4833631484794274
191,121.06481_459.215,0.7874776386404291
234,121.06481_459.215,1.5352415026833626
51,121.06484_481.014,0.4503745318352066
52,121.06484_481.014,0.3941947565543076
188,121.06484_481.014,0.4410112359550568
190,121.06484_481.014,0.4316479400749069
234,121.06484_481.014,2.9971910112359588
8,123.05532_414.504,2.706148867313892
80,123.05532_414.504,0.4148867313915821
127,123.05532_414.504,0.3760517799352718
222,123.05532_414.504,0.3436893203883465
127,124.03935_335.339,0.6766233766233829
8,124.03936_354.896,1.6223048327137444
69,124.03936_354.896,0.9680297397769454
75,124.03936_354.896,0.7003717472118914
80,124.03936_354.896,0.9531598513011093
82,124.03936_354.896,0.7003717472118914
127,124.03936_354.896,0.7895910780669095
184,124.03936_354.896,0.9531598513011093
227,124.03936_354.896,0.8044609665427459
69,124.03936_390.305,0.8420382165605151
106,124.03936_390.305,0.8420382165605151
5,126.05496_422.465,1.2081165452653415
8,126.05496_422.465,1.634755463059304
82,126.05496_422.465,1.104058272632668
127,126.05496_422.465,0.5837669094692995
165,126.05496_422.465,0.5317377731529627
184,126.05496_422.465,0.6878251821019732
188,126.05496_422.465,0.5213319458896952
190,126.05496_422.465,0.5005202913631606
225,126.05496_422.465,0.5317377731529627
227,126.05496_422.465,0.6149843912591015
2,126.06624_479.488,0.9191780821917866
81,126.06624_479.488,0.8232876712328822
222,126.06624_479.488,0.9191780821917866
17,127.03897_346.733,0.8254901960784342
127,127.03897_346.733,0.8450980392156893
241,127.03897_346.733,0.8450980392156893
1,127.03897_699.829,0.8952127659574509
90,127.03897_699.829,0.8952127659574509
207,127.03897_699.829,0.8154255319148974
1,127.03898_669.781,1.0866396761133563
12,127.03898_669.781,0.8113360323886611
82,127.03898_669.781,0.7789473684210501
90,127.03898_669.781,1.070445344129551
109,127.03898_669.781,0.7627530364372443
127,127.03898_669.781,0.908502024291495
149,127.03898_669.781,0.8113360323886611
190,127.03898_669.781,0.9732793522267174
207,127.03898_669.781,1.7506072874493863
225,127.03898_669.781,0.7465587044534389
227,127.03898_669.781,0.9732793522267174
241,127.03898_669.781,0.908502024291495
2,127.05023_414.504,2.5846036585365635
28,127.05023_414.504,0.9001524390243826
81,127.05023_414.504,0.4504573170731669
165,127.05023_414.504,0.4657012195121912
227,127.05023_414.504,0.397103658536582
223,129.06579_632.053,0.9925110132158594
227,129.06579_632.053,0.9925110132158594
233,129.06579_632.053,0.6885462555066083
81,130.04989_482.456,0.8378223495702013
165,130.04989_482.456,0.9982808022922646
227,130.04989_482.456,0.9982808022922646
241,130.04989_482.456,0.8607449856733532
12,130.08629_567.28,0.9045161290322592
81,130.08629_567.28,0.9045161290322592
157,130.08629_567.28,0.8658064516129041
219,130.08629_567.28,0.8658064516129041
227,130.08629_567.28,1.07225806451613
233,130.08629_567.28,1.07225806451613
12,130.08631_379.004,0.7727650727650702
53,130.08631_379.004,0.8164241164241137
81,130.08631_379.004,0.7727650727650702
153,130.08631_379.004,0.7145530145530121
157,130.08631_379.004,1.0201663201663167
207,130.08631_379.004,1.5295218295218245
219,130.08631_379.004,1.0201663201663167
5,130.09752_685.551,0.6172323759791108
76,130.09752_685.551,1.36919060052219
157,130.09752_685.551,0.5023498694516959
248,130.09752_685.551,1.254308093994775
5,130.09753_647.573,0.7734177215189855
76,130.09753_647.573,1.1025316455696177
109,130.09753_647.573,0.6848101265822768
157,130.09753_647.573,0.7607594936708842
165,130.09753_647.573,0.6341772151898719
242,130.09753_647.573,1.1658227848101237
248,130.09753_647.573,1.570886075949363
98,131.12911_905.222,0.6554545454545481
242,131.12911_905.222,1.1190909090909136
54,131.12912_1037.05,0.7731591448931132
98,131.12912_1037.05,0.8325415676959637
222,131.12912_1037.05,0.7375296912114031
242,131.12912_1037.05,1.260095011876487
247,131.12912_1037.05,1.0938242280285058
98,131.12912_825.457,0.8532544378698269
242,131.12912_825.457,0.8532544378698269
54,131.12912_973.922,0.7843373493975905
98,131.12912_973.922,0.8566265060240965
214,131.12912_973.922,0.6036144578313254
215,131.12912_973.922,0.6879518072289158
222,131.12912_973.922,0.7602409638554218
242,131.12912_973.922,1.8927710843373495
247,131.12912_973.922,1.121686746987952
54,131.12913_630.413,0.6464150943396246
98,131.12913_630.413,0.7143396226415115
242,131.12913_630.413,1.359622641509438
54,131.12913_775.167,0.6885416666666678
98,131.12913_775.167,0.7510416666666679
222,131.12913_775.167,0.6677083333333346
242,131.12913_775.167,1.7406250000000032
247,131.12913_775.167,0.8968750000000016
54,131.12913_850.604,0.6575757575757596
98,131.12913_850.604,0.7181818181818203
242,131.12913_850.604,1.3646464646464689
98,131.12915_872.604,0.9773195876288686
222,131.12915_872.604,0.8536082474226828
242,131.12915_872.604,0.9773195876288686
247,131.12915_872.604,0.8536082474226828
41,132.06554_435.357,0.9207207207207198
129,132.06554_435.357,1.046846846846846
134,132.06554_435.357,0.8126126126126118
188,132.06554_435.357,0.8126126126126118
219,132.06554_435.357,0.9207207207207198
225,132.06554_435.357,1.046846846846846
12,132.10188_518.554,0.6637499999999978
113,132.10188_518.554,0.8512499999999972
134,132.10188_518.554,1.7762499999999943
153,132.10188_518.554,0.6887499999999978
202,132.10188_518.554,1.5137499999999953
206,132.10188_518.554,0.6637499999999978
211,132.10188_518.554,0.6512499999999979
214,132.10188_518.554,1.3887499999999953
225,132.10188_518.554,0.6387499999999979
227,132.10188_518.554,0.8637499999999971
5,132.10192_380.61,0.8588921282798839
23,132.10192_380.61,0.8588921282798839
98,132.10192_380.61,1.0163265306122455
134,132.10192_380.61,0.9113702623906712
214,132.10192_380.61,0.8763848396501464
219,132.10192_380.61,1.0163265306122455
98,132.10193_281.137,0.9183333333333324
118,132.10193_281.137,0.7183333333333327
134,132.10193_281.137,0.8016666666666659
202,132.10193_281.137,1.7183333333333315
211,132.10193_281.137,0.7516666666666659
214,132.10193_281.137,0.8016666666666659
219,132.10193_281.137,0.9183333333333324
227,132.10193_281.137,0.9683333333333324
112,133.06885_565.722,1.3430379746835488
134,133.06885_565.722,0.6341772151898756
227,133.06885_565.722,0.7101265822784834
26,133.09711_876.985,1.1422818791946274
94,133.09711_876.985,0.8067114093959707
130,133.09711_876.985,0.7932885906040243
157,133.09711_876.985,0.8872483221476481
211,133.09711_876.985,1.075167785234896
248,133.09711_876.985,0.9543624161073796
31,134.08113_662.16,1.843961352656997
81,134.08113_662.16,0.8520128824476613
96,134.08113_662.16,0.8520128824476613
109,134.08113_662.16,0.8874396135265661
157,134.08113_662.16,0.8520128824476613
159,134.08113_662.16,0.9051529790660184
166,134.08113_662.16,0.7988727858293041
180,134.08113_662.16,0.9582930756843758
188,134.08113_662.16,0.8874396135265661
211,134.08113_662.16,0.8874396135265661
231,134.08113_662.16,0.8520128824476613
12,134.08115_383.864,0.7896496815286571
26,134.08115_383.864,0.703662420382161
57,134.08115_383.864,2.208439490445845
64,134.08115_383.864,0.7896496815286571
94,134.08115_383.864,0.703662420382161
100,134.08115_383.864,0.703662420382161
134,134.08115_383.864,0.703662420382161
159,134.08115_383.864,0.8756369426751535
219,134.08115_383.864,0.9186305732484016
57,134.08116_404.875,0.8440251572327102
219,134.08116_404.875,0.8440251572327102
44,134.10046_876.985,1.4340974212034383
109,134.10046_876.985,0.8467048710601721
157,134.10046_876.985,0.7893982808022925
211,134.10046_876.985,0.8467048710601721
222,134.10046_876.985,0.7320916905444128
101,135.10155_369.407,1.1189189189189233
103,135.10155_369.407,0.7765765765765796
110,135.10155_369.407,0.7945945945945977
149,135.10155_369.407,0.848648648648652
52,135.1168_268.114,0.7124999999999952
86,135.1168_268.114,1.1269736842105191
101,135.1168_268.114,0.9098684210526256
103,135.1168_268.114,0.8901315789473625
106,135.1168_268.114,0.9493421052631514
110,135.1168_268.114,1.1861842105263078
127,135.1168_268.114,0.8703947368420994
138,135.1168_268.114,0.8309210526315735
208,135.1168_268.114,1.0480263157894667
28,136.06172_496.313,1.0982517482517389
222,136.06172_496.313,0.8150349650349579
28,136.11211_186.676,0.5646288209606943
48,136.11211_186.676,0.4205240174672457
53,136.11211_186.676,0.6956331877729204
86,136.11211_186.676,1.8746724890829551
127,136.11211_186.676,0.4860262008733587
181,136.11211_186.676,1.54716157205239
5,137.04578_512.17,0.188844621513943
28,137.04578_512.17,1.7452855245683818
242,137.04581_482.456,0.7293478260869563
5,137.04582_438.661,0.3055452865064667
28,137.04582_438.661,2.318484288354877
136,137.04582_438.661,0.2390018484288333
72,137.05974_390.305,1.0435606060606069
138,137.05974_390.305,0.8162878787878793
187,137.05974_390.305,0.8162878787878793
208,137.05974_390.305,0.8162878787878793
225,137.05974_390.305,1.0435606060606069
72,137.05975_406.488,0.8162962962963016
225,137.05975_406.488,0.8162962962963016
88,138.05249_578.163,0.7628318584070809
210,138.05249_578.163,0.7628318584070809
6,138.05488_546.349,0.954664179104474
69,138.05488_546.349,1.0199626865671605
80,138.05488_546.349,0.9285447761193992
127,138.05488_546.349,0.8763059701492503
210,138.05488_546.349,1.0199626865671605
225,138.05488_546.349,0.9285447761193992
227,138.05488_546.349,0.954664179104474
53,138.09137_459.215,0.3693590869183512
123,138.09137_459.215,0.357067603160669
179,138.09137_459.215,0.3632133450395101
181,138.09137_459.215,1.0208077260755095
191,138.09137_459.215,2.28683055311678
193,138.09137_459.215,0.7319578577699771
222,138.09137_459.215,0.412379280070239
97,139.05018_187.597,0.8077519379845006
241,139.05018_187.597,0.8077519379845006
37,140.06811_529.173,1.3027397260274045
41,140.06811_529.173,0.5767123287671265
80,140.06811_529.173,0.7821917808219221
94,140.0706_353.265,1.00915750915751
157,140.0706_353.265,0.8443223443223451
182,140.0706_353.265,0.7710622710622718
210,140.0706_353.265,1.0824175824175832
227,140.0706_353.265,0.8443223443223451
5,140.07064_412.921,0.20317940953822905
39,140.07064_412.921,0.29704769114307394
106,140.07064_412.921,0.3757759273277828
123,140.07064_412.921,0.917789553368662
1,141.05462_462.438,0.7616580310880796
59,141.05462_462.438,0.7443868739205495
69,141.05462_462.438,0.7443868739205495
76,141.05462_462.438,0.7789291882556098
120,141.05462_462.438,0.8480138169257303
127,141.05462_462.438,0.8480138169257303
145,141.05462_462.438,0.9343696027633812
160,141.05462_462.438,0.8307426597582003
187,141.05462_462.438,2.0742659758203708
219,141.05462_462.438,1.0207253886010321
5,142.09753_877.741,0.8664092664092633
18,142.09753_877.741,1.6849420849420786
64,142.09753_877.741,0.7119691119691094
103,142.09753_877.741,0.6656370656370633
141,142.09753_877.741,0.7583011583011556
145,142.09753_877.741,0.8200772200772172
153,142.09753_877.741,1.6849420849420786
154,142.09753_877.741,0.7583011583011556
160,142.09753_877.741,0.8664092664092633
193,142.09753_877.741,1.4841698841698787
223,142.09753_877.741,0.6656370656370633
233,142.09753_877.741,0.6656370656370633
39,143.08145_582.999,1.6221957040572754
41,143.08145_582.999,0.8704057279236257
81,143.08145_582.999,0.7534606205250579
157,143.08145_582.999,0.7367541766109769
174,143.08145_582.999,0.7367541766109769
215,143.08145_582.999,0.93723150357995
227,143.08145_582.999,0.93723150357995
5,143.08151_501.043,0.6317102137767182
12,143.08151_501.043,0.4713776722090232
18,143.08151_501.043,3.688717339667436
39,143.08151_501.043,0.5248218527315882
75,143.08151_501.043,0.5248218527315882
141,143.08151_501.043,0.6210213776722051
145,143.08151_501.043,1.1340855106888292
160,143.08151_501.043,0.5355106888361012
219,143.08151_501.043,0.5034441805225622
44,144.06557_437.038,0.874554707379133
81,144.06557_437.038,0.8211195928753163
96,144.06557_437.038,0.8923664122137385
120,144.06557_437.038,0.8567430025445274
157,144.06557_437.038,1.0882951653943995
160,144.06557_437.038,1.0704834605597942
165,144.06557_437.038,0.874554707379133
180,144.06557_437.038,1.1773536895674273
188,144.06557_437.038,1.0704834605597942
205,144.06557_437.038,0.8567430025445274
214,144.06557_437.038,0.8389312977099218
219,144.06557_437.038,0.874554707379133
227,144.06557_437.038,1.1773536895674273
241,144.06557_437.038,1.0882951653943995
10,144.10189_515.409,1.1152354570637042
79,144.10189_515.409,0.7828254847645375
81,144.10189_515.409,0.5667590027700792
96,144.10189_515.409,1.1152354570637042
113,144.10189_515.409,0.9988919667589958
227,144.10189_515.409,1.0155124653739542
18,145.04955_668.607,1.5666666666666615
31,145.04955_668.607,0.7840579710144902
43,145.04955_668.607,0.899999999999997
90,145.04955_668.607,0.8275362318840553
93,145.04955_668.607,0.7405797101449251
109,145.04955_668.607,0.7115942028985484
127,145.04955_668.607,0.7695652173913019
164,145.04955_668.607,0.8275362318840553
166,145.04955_668.607,0.7405797101449251
185,145.04955_668.607,0.7840579710144902
187,145.04955_668.607,0.7695652173913019
188,145.04955_668.607,0.8275362318840553
207,145.04955_668.607,1.798550724637675
219,145.04955_668.607,0.943478260869562
43,145.04956_393.576,1.4456703910614477
109,145.04956_393.576,0.7696927374301649
118,145.04956_393.576,1.9526536312849088
127,145.04956_393.576,0.7236033519553048
164,145.04956_393.576,0.7082402234636846
185,145.04956_393.576,0.7236033519553048
188,145.04956_393.576,0.7082402234636846
207,145.04956_393.576,1.4303072625698274
219,145.04956_393.576,0.7389664804469248
231,145.04956_393.576,0.7082402234636846
241,145.04956_393.576,0.7236033519553048
43,145.04957_466.972,0.7689591078066897
65,145.04957_466.972,0.7169144981412623
120,145.04957_466.972,1.3804832713754611
164,145.04957_466.972,0.7039033457249055
188,145.04957_466.972,0.7039033457249055
207,145.04957_466.972,1.588661710037171
219,145.04957_466.972,0.8210037174721171
64,145.13354_908.986,0.5023310023309989
98,145.13354_908.986,0.5606060606060569
118,145.13354_908.986,2.3438228438228284
153,145.13354_908.986,0.6538461538461494
202,145.13354_908.986,0.6072261072261032
3,146.06009_412.921,2.295588235294102
5,146.06009_412.921,0.7808823529411709
51,146.06009_412.921,0.6779411764705836
52,146.06009_412.921,0.8544117647058764
66,146.06009_412.921,0.8544117647058764
97,146.06009_412.921,0.7808823529411709
127,146.06009_412.921,0.7955882352941122
202,146.06009_412.921,0.751470588235289
225,146.06009_412.921,0.7955882352941122
39,146.08117_471.593,0.5987288135593201
81,146.08117_471.593,0.6495762711864386
109,146.08117_471.593,0.5987288135593201
164,146.08117_471.593,2.6453389830508387
165,146.08117_471.593,0.5987288135593201
231,146.08117_471.593,0.5987288135593201
31,146.08117_590.713,0.8126126126126132
81,146.08117_590.713,0.8306306306306313
164,146.08117_590.713,0.8306306306306313
214,146.08117_590.713,0.9027027027027033
227,146.08117_590.713,1.0468468468468477
249,146.08117_590.713,1.0468468468468477
5,146.08118_660.522,0.9380664652567966
31,146.08118_660.522,0.8474320241691835
167,146.08118_660.522,0.9380664652567966
190,146.08118_660.522,0.9682779456193342
214,146.08118_660.522,0.8927492447129901
10,146.09237_644.357,0.6569131832797451
125,146.09237_644.357,0.7244372990353724
242,146.09237_644.357,1.3803858520900372
10,146.11753_776.753,0.8252491694352101
13,146.11753_776.753,1.3966777408637774
119,146.11753_776.753,0.4398671096345483
125,146.11753_776.753,1.0112956810631155
101,146.11755_486.862,0.56801007556675
145,146.11755_486.862,2.1423173803526425
214,146.11755_486.862,0.6057934508816114
227,146.11755_486.862,0.8073047858942055
230,146.11755_486.862,0.56801007556675
12,146.11756_325.502,0.6733441033925661
79,146.11756_325.502,0.8542810985460386
98,146.11756_325.502,0.6733441033925661
113,146.11756_325.502,0.5699515347334388
134,146.11756_325.502,2.0562197092083925
149,146.11756_325.502,0.6216478190630025
202,146.11756_325.502,1.3712439418416749
219,146.11756_325.502,0.8672051696284295
13,146.11756_369.407,0.7466467958271216
19,146.11756_369.407,0.6870342771982096
64,146.11756_369.407,0.7168405365126657
94,146.11756_369.407,0.7317436661698935
134,146.11756_369.407,1.596125186289116
149,146.11756_369.407,0.7466467958271216
176,146.11756_369.407,0.7317436661698935
202,146.11756_369.407,1.9239940387481316
219,146.11756_369.407,1.014903129657225
225,146.11756_369.407,0.7466467958271216
12,146.11757_274.685,0.6273162939297101
98,146.11757_274.685,0.6273162939297101
134,146.11757_274.685,1.9132587859424848
149,146.11757_274.685,0.5937699680511159
202,146.11757_274.685,1.5330670926517511
219,146.11757_274.685,0.8062300319488787
248,146.11757_274.685,0.6273162939297101
65,147.06516_613.13,0.6821482602117985
140,147.06516_613.13,0.91361573373676
159,147.06516_613.13,0.8183055975794229
164,147.06516_613.13,2.0981845688350926
185,147.06516_613.13,0.6957639939485608
188,147.06516_613.13,0.668532526475036
207,147.06516_613.13,1.5671709531013571
214,147.06516_613.13,0.4779122541603618
231,147.06516_613.13,0.7229954614220858
24,147.07636_630.413,2.92506142506141
57,147.07636_630.413,0.8857493857493812
84,147.07636_630.413,0.7383292383292345
149,147.07636_630.413,0.5294840294840267
157,147.07636_630.413,0.5417690417690391
165,147.07636_630.413,0.8120393120393078
177,147.07636_630.413,0.8611793611793567
207,147.07636_630.413,1.1314496314496256
211,147.07636_630.413,0.6891891891891856
227,147.07636_630.413,0.5909090909090878
64,148.06029_494.747,1.02297872340426
120,148.06029_494.747,1.02297872340426
166,148.06029_494.747,0.7676595744680885
172,148.06029_494.747,0.7676595744680885
57,148.0604_598.691,1.5212418300653572
94,148.0604_598.691,0.8676470588235281
165,148.0604_598.691,1.0473856209150307
177,148.0604_598.691,1.1454248366013051
185,148.0604_598.691,0.9003267973856197
207,148.0604_598.691,0.7205882352941166
211,148.0604_598.691,0.7369281045751623
225,148.0604_598.691,0.704248366013071
227,148.0604_598.691,0.9003267973856197
231,148.0604_598.691,1.0473856209150307
31,148.09678_843.717,0.8790254237288097
66,148.09678_843.717,0.8790254237288097
75,148.09678_843.717,0.8599576271186402
81,148.09678_843.717,1.6608050847457552
140,148.09678_843.717,0.8599576271186402
164,148.09678_843.717,0.8218220338983016
166,148.09678_843.717,0.8408898305084708
210,148.09678_843.717,0.8599576271186402
225,148.09678_843.717,0.8790254237288097
12,148.0968_372.653,0.6740061162079481
57,148.0968_372.653,1.8238532110091663
163,148.0968_372.653,0.5639143730886825
164,148.0968_372.653,0.6373088685015263
1,149.02337_239.89,0.8438596491228123
51,149.02337_239.89,0.8789473684210579
184,149.02337_239.89,0.8438596491228123
66,150.07606_649.151,0.7581488933601572
75,150.07606_649.151,0.6293762575452685
105,150.07606_649.151,1.9975855130784608
125,150.07606_649.151,0.6132796780684074
207,150.07606_649.151,0.5810865191146852
211,150.07606_649.151,0.725955734406435
227,150.07606_649.151,0.7581488933601572
231,150.07606_649.151,1.5468812877263505
21,150.07745_438.661,0.2539598732840541
106,150.07745_438.661,0.6816261879619829
