parent,child,score
94,73.06479_468.549,0.8241134751773102
214,73.06479_468.549,0.8241134751773102
94,76.0757_1027.18,0.6417475728155367
113,76.0757_1027.18,1.117475728155345
1,81.03351_565.722,0.567811158798285
97,81.03351_565.722,1.340343347639489
127,81.03351_565.722,0.7609442060085861
97,81.03351_671.807,0.8162962962963016
127,81.03351_671.807,0.8162962962963016
81,84.04436_483.773,0.9975903614457869
97,84.04436_483.773,0.9975903614457869
149,84.04436_483.773,0.8048192771084369
181,84.04436_483.773,0.8048192771084369
81,84.08074_565.722,0.9974248927038668
208,84.08074_565.722,0.9974248927038668
226,84.08074_565.722,0.7914163090128788
248,84.08074_565.722,0.7914163090128788
1,85.02839_669.781,0.8135338345864706
188,85.02839_669.781,0.8135338345864706
207,86.06001_427.263,0.7983739837398387
248,86.06001_427.263,0.7983739837398387
41,89.05967_437.038,0.8480769230769264
94,89.05967_437.038,0.8480769230769264
98,89.05967_437.038,0.9826923076923116
109,89.05967_437.038,0.8480769230769264
41,89.10731_756.994,0.6974226804123739
98,89.10731_756.994,0.9603092783505192
154,89.10731_756.994,0.9603092783505192
98,90.05496_630.413,0.6635135135135182
75,96.04438_393.576,0.8189781021897868
97,96.04438_393.576,0.8189781021897868
97,97.02843_466.972,0.93971291866029
134,97.02843_466.972,0.8248803827751221
149,97.02843_466.972,0.8248803827751221
207,97.02843_466.972,0.93971291866029
97,97.02844_669.781,1.450871080139371
117,97.02844_669.781,0.6703832752613232
149,97.02844_669.781,0.7540069686411142
207,97.02844_669.781,0.7818815331010444
97,97.02844_699.829,0.7880341880341899
207,97.02844_699.829,0.7880341880341899
28,98.06005_356.523,0.9249999999999986
119,98.06005_356.523,1.0211538461538443
154,98.06005_356.523,0.8288461538461527
190,98.06005_356.523,0.8288461538461527
214,98.06005_356.523,0.9249999999999986
28,98.06006_390.305,1.3147465437788093
127,98.06006_390.305,0.623502304147469
214,98.06006_390.305,0.6926267281106031
1,99.04405_443.301,0.8162962962963008
207,99.04405_443.301,0.8162962962963008
5,100.07567_387.071,0.923529411764709
81,100.07567_387.071,0.9431372549019641
113,100.07567_387.071,0.8647058823529441
225,100.07567_387.071,0.8647058823529441
238,100.07567_387.071,0.923529411764709
5,104.07057_645.99,1.0572395128552046
13,104.07057_645.99,0.7757780784844345
31,104.07057_645.99,0.8637347767253001
66,104.07057_645.99,1.0572395128552046
69,104.07057_645.99,0.7757780784844345
75,104.07057_645.99,0.8637347767253001
