	RT	T0R1L	T0R1R	T0R2L	T0R2R	T1R3L	T1R3R	T1R4L	T1R4R	T2R5L	T2R5R	T2R6L	T2R6R	T3R7L	T3R7R	T3R8L	T3R8R	relation.id	relation.ship	codadw	charge
298.0642195781011	548.1593132019043	1.881408512E10	1.9603662848E10	2.4398280704E10	2.0031551488E10	2.2144290816E10	2.322898944E10	2.5992497152E10	2.6819483648E10	2.4344154112E10	2.3698200576E10	2.306286592E10	2.1654884352E10	2.6693699584E10	2.4515610624E10	2.3114401792E10	2.1331470336E10	0	bp	0.9766844952077681	1
299.064930968774	548.0917472839355	4.303661056E9	4.334987264E9	5.636908544E9	4.343133184E9	5.007593472E9	5.075270656E9	5.81976064E9	6.08798208E9	5.466813952E9	5.293182464E9	5.0725504E9	4.812109312E9	5.901185024E9	5.437019648E9	5.103315968E9	4.826161664E9	0	potential bp	0.9765261212453394	
300.06073823373475	548.0355567932129	1.833791872E9	1.926780928E9	2.329915648E9	1.903139328E9	2.095178368E9	2.1523584E9	2.493087232E9	2.689628928E9	2.30532992E9	2.242379008E9	2.24094336E9	2.089756928E9	2.548251904E9	2.36239104E9	2.25119488E9	2.098144512E9	0	halogen (F) exchange (hydroxy)	0.978109695497844	
224.04537382938003	548.1368103027344	1.426071168E9	1.539101184E9	1.943694464E9	1.533201024E9	1.683452672E9	1.866547584E9	2.196011008E9	2.241369344E9	1.945515136E9	1.972666112E9	1.868170112E9	1.721977856E9	2.327319552E9	2.053543168E9	1.913249664E9	1.736061056E9	0	222.03+H2	0.9745260005536591	
282.03298930988666	548.1593742370605	1.501998464E9	1.529155584E9	1.916678528E9	1.536112E9	1.800592128E9	1.867345152E9	2.110620672E9	2.157668608E9	1.889308928E9	1.850944384E9	1.811803648E9	1.72872576E9	2.09406336E9	1.89821888E9	1.845968384E9	1.622559616E9	0	fragment?	0.9765916588017771	
313.08769601953844	548.1594390869141	1.292608896E9	1.321571328E9	1.540168832E9	1.272134784E9	1.586270976E9	1.46180864E9	1.5451712E9	1.565276416E9	1.454653824E9	1.53110848E9	1.4594816E9	1.394631552E9	1.490786688E9	1.48753856E9	1.446633472E9	1.403277952E9	0	potential bp	0.9775751287502606	
209.99331570427645	548.215690612793	1.177044224E9	1.135238272E9	1.39496576E9	1.169113472E9	1.486109184E9	1.370282752E9	1.473264512E9	1.447549824E9	1.380013184E9	1.460540288E9	1.32771968E9	1.28351744E9	1.397417088E9	1.370910976E9	1.393248128E9	1.271650432E9	0	fragment?	0.9783827252638445	
189.99376613117954	548.1481246948242	8.37617408E8	8.2957088E8	1.077610496E9	8.79372032E8	1.020441536E9	1.011133504E9	1.171895936E9	1.187892864E9	1.069709632E9	1.112500864E9	1.008907456E9	9.38494848E8	1.172690304E9	1.105745664E9	1.087938688E9	9.47860416E8	0	187.98+H2	0.9771352657995815	
191.97306212109655	548.1368141174316	5.5502144E8	5.67559616E8	7.41828288E8	5.89323392E8	6.81247872E8	6.98665088E8	7.65080192E8	8.13358144E8	7.1060672E8	6.9921664E8	6.7261856E8	6.4899008E8	8.01486848E8	7.22393856E8	7.2056544E8	6.48319424E8	0	193.99-H2	0.976238590823647	
150.0266392736079	548.1594429016113	3.73932448E8	4.11524832E8	5.99686976E8	4.2673104E8	4.34282208E8	5.07010528E8	6.84380672E8	7.00641984E8	5.5187456E8	5.47026816E8	5.28116928E8	4.61400384E8	7.25325952E8	6.14758464E8	5.61563648E8	4.55057248E8	0	fragment?	0.9712311303192286	
179.94639461447622	548.114559173584	2.98169504E8	2.98841248E8	3.71633536E8	3.12687168E8	3.7482384E8	3.49697792E8	3.84339872E8	3.98672224E8	3.67037024E8	3.69633888E8	3.55732832E8	3.33043712E8	3.90038112E8	3.82514592E8	3.59998464E8	3.342776E8	0	181.96-H2	0.9776112753807635	
226.02470195711456	548.125560760498	1.91366736E8	2.01438064E8	2.52035856E8	1.85700912E8	2.11267776E8	2.29434928E8	2.913528E8	2.67910224E8	2.53302544E8	2.64588432E8	2.2975576E8	2.20752E8	3.03855968E8	2.4686832E8	2.45531536E8	2.17875728E8	0	fragment?	0.9725470793127967	
188.01452532414234	548.1593818664551	1.9523272E8	1.95283776E8	2.49399072E8	2.00752512E8	2.40023248E8	2.3838168E8	2.82240064E8	2.98687744E8	2.57256672E8	2.69199936E8	2.44467824E8	2.32259824E8	2.6940624E8	2.66355168E8	2.51484368E8	2.27841568E8	0	190.03-H2	0.9738896119102861	
192.00943260165397	548.1483116149902	1.91656144E8	1.89019632E8	2.398372E8	1.98626016E8	2.23551504E8	2.22384592E8	2.72003008E8	2.8123744E8	2.48235984E8	2.38411104E8	2.26493072E8	2.22771632E8	2.7104304E8	2.41905584E8	2.36507632E8	2.14570784E8	0	189.99+H2	0.975619361803311	
283.03191564332775	548.2268104553223	1.84685664E8	1.9197736E8	2.55800656E8	1.90261344E8	2.10270192E8	2.21394832E8	2.62801056E8	2.74497536E8	2.48782912E8	2.35178416E8	2.22083392E8	2.0802024E8	2.52107472E8	2.34623728E8	2.21321376E8	2.14042784E8	0	fragment?	0.9730719499014062	
266.00171548002635	548.1705627441406	2.02517744E8	2.0229088E8	2.41248816E8	2.00577712E8	2.25548656E8	2.4284504E8	2.653544E8	2.62343888E8	2.43034896E8	2.38722176E8	2.3803832E8	2.24339152E8	2.719928E8	2.4975416E8	2.45155152E8	2.15118128E8	0	268.02-H2	0.9777594511014274	
